Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,1713823,10,10,2,1711409,0
1,0,32772,100,100,1,29866,1
0,0,373899,31,31,2,371611,1
0,0,721934,78,78,2,719244,1
0,0,428427,91,91,3,425755,0
0,0,1324430,92,92,2,1322082,0
0,0,465591,162,162,2,462814,0
0,0,54199,34,34,2,51578,1
1,0,952113,117,117,1,949273,1
0,0,1024944,233,233,2,1022305,0
1,0,199898,38,38,1,197364,1
0,0,404584,119,119,2,402206,0
0,0,473501,202,202,3,470631,0
0,0,246580,90,90,2,243767,0
0,0,33755,29,29,2,30969,0
0,0,355891,244,244,2,353552,0
0,0,602339,47,47,2,600009,0
1,0,1100880,194,194,1,1098211,1
1,0,1123469,221,221,1,1120611,0
0,0,1147282,168,168,2,1144757,1
1,0,32977,216,216,1,30248,1
0,0,33431,28,28,2,30843,1
0,0,184674,7,7,2,182293,0
0,0,1516533,46,46,2,1514173,1
0,0,553480,173,173,3,550610,0
0,0,16153,32,32,2,13502,0
0,0,292921,245,245,2,290183,1
0,0,256062,178,178,2,253732,0
0,0,25495,53,53,2,22811,0
0,0,8691,195,195,2,6085,1
0,0,180436,213,213,2,177890,1
0,0,15222,212,212,2,12538,1
0,0,849988,205,205,2,847319,0
0,0,1919214,106,106,2,1916677,1
0,0,546874,143,143,2,544250,0
1,0,1014233,135,135,1,1011738,0
0,0,519004,251,251,2,516413,0
0,0,1161129,167,167,2,1158613,0
0,0,82609,138,138,3,79808,1
1,0,316755,120,120,1,314314,0
0,0,622377,44,44,2,620053,0
0,0,483376,99,99,2,480707,1
0,0,1176004,166,166,2,1173581,0
0,0,1015945,209,209,2,1013150,1
0,0,204433,66,66,2,201761,1
0,0,1745786,15,15,2,1743231,0
0,0,125132,84,84,2,122370,1
1,0,17633,24,24,1,14982,0
0,0,4209,122,122,2,1423,0
0,0,187941,232,232,2,185287,0
0,0,1035713,61,61,2,1032837,0
0,0,425184,136,136,2,422410,0
0,0,513629,257,257,3,510834,0
0,0,565358,86,86,2,563163,1
0,0,1115182,220,220,2,1112378,0
1,0,432436,159,159,1,429818,0
0,0,218715,58,58,2,215884,1
1,0,86749,153,153,1,84020,1
1,0,396102,73,73,1,393418,0
1,0,107074,254,254,1,104540,0
0,0,602587,45,45,2,600077,0
1,0,389747,164,164,1,387120,0
0,0,422008,200,200,2,419294,0
0,0,1065877,198,198,2,1063010,0
0,0,378614,163,163,2,375975,0
0,0,309384,111,111,2,306937,0
0,0,585607,85,85,2,583331,1
0,0,7162,22,22,2,4697,0
0,0,650434,42,42,3,647633,1
0,0,23290,218,218,2,20606,1
0,0,9867,64,64,2,7462,0
1,0,442799,201,201,1,439932,1
0,0,1695278,9,9,2,1692543,1
0,0,700388,17,17,2,697620,0
0,0,14845,50,50,3,11996,0
0,0,8092,214,214,2,5759,0
1,0,13979,197,197,1,11352,1
0,0,1045611,208,208,3,1042786,0
0,0,15062,89,89,2,12438,0
0,0,1061168,113,113,4,1059124,0
0,0,8115,172,172,3,5269,1
0,0,379418,170,170,2,376740,1
0,0,1966199,105,105,2,1963551,1
0,0,585177,204,204,3,582301,0
0,0,475012,142,142,2,472298,0
0,0,1314205,93,93,2,1311887,0
0,0,1096585,235,235,2,1093946,1
1,0,9580,196,196,1,6749,1
0,0,50888,152,152,2,48174,1
0,0,1062895,234,234,2,1060310,1
0,0,758419,48,48,2,756089,0
0,0,12594,151,151,2,9967,0
0,0,9089,217,217,2,6579,1
1,0,45075,125,125,1,42286,0
1,0,1578209,102,102,1,1575672,1
0,0,1818146,110,110,2,1815771,0
