Gene_Type,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,155219,154,154221,0
1,434666,127,433053,0
0,1524263,35,1522857,0
0,831522,12,830434,1
0,10687,111,9590,0
0,1108489,110,1107152,1
0,33930,49,32737,0
0,340376,74,339975,0
0,566165,33,564966,0
1,6500,30,5433,0
1,496522,95,495068,1
0,447552,1,446896,0
0,1494962,36,1493559,1
0,405983,7,405798,0
0,726501,38,725125,1
0,1117420,109,1116176,1
0,617159,57,615924,0
0,1404649,106,1403372,0
1,3182,21,2247,0
1,553803,92,552229,0
0,1359,83,532,1
1,492874,56,492284,0
0,512575,152,511070,0
0,1689293,41,1687962,1
0,7259,6,6249,0
1,452810,96,452175,0
0,68405,136,67296,1
0,1047742,141,1046660,1
0,526360,149,525035,1
0,1898756,45,1897875,1
0,1944921,122,1944244,0
0,2480,75,1071,1
0,437973,97,437293,1
0,209311,50,208193,1
0,1587887,120,1586445,1
1,1867030,44,1865636,0
0,15753,10,14641,0
0,580857,34,579490,0
1,10644,94,9307,1
0,367224,148,366097,0
0,1267766,61,1266495,1
0,1499180,116,1497708,0
0,626028,39,624868,1
0,290343,73,289018,0
0,1172370,108,1171051,0
1,411413,90,410007,1
0,42426,101,41221,0
0,532332,150,531106,1
1,1789020,72,1787623,1
0,523945,114,522770,1
0,601068,113,599905,1
0,151073,138,149964,0
0,1733432,126,1732098,0
1,924253,86,923378,1
0,1651899,46,1651012,1
0,228042,115,226948,0
0,432268,5,431189,0
0,1002291,88,1001194,0
0,1751668,125,1750310,0
0,211061,153,209817,0
1,18783,26,17596,0
1,65502,29,63997,0
0,754771,53,753767,1
0,2018230,119,2016848,0
0,207419,58,207000,0
0,598434,76,597786,1
0,1248251,62,1246854,1
0,559992,91,558766,1
0,231983,84,230514,1
0,423600,145,422017,0
1,9275,47,7716,1
0,2090497,20,2089121,1
0,472615,52,471425,0
0,412929,51,411703,0
0,1933792,4,1933010,0
1,1778404,124,1777100,1
0,1093548,134,1092211,0
0,1741983,15,1740772,0
0,437003,65,436320,0
0,155993,112,154689,1
0,146779,93,145715,1
1,379854,80,379126,0
1,1015761,64,1014583,0
0,1277102,66,1275858,0
0,308539,82,307640,0
1,52782,135,51379,1
1,852,48,1,0
0,233697,2,233434,1
0,1572694,70,1571525,1
1,2053277,19,2051877,1
1,597683,128,596868,1
1,23787,25,22417,0
0,494627,40,493452,0
0,1622991,121,1622125,1
1,169772,31,168840,1
0,1413484,11,1412150,0
0,54854,27,53844,0
0,2157389,43,2156019,0
0,6378,59,4900,1
0,439354,102,437786,0
1,1072628,132,1071504,0
0,211328,151,209856,1
0,59441,100,58461,0
1,1804221,71,1803316,1
0,1506761,117,1505442,1
1,1143832,133,1142492,0
1,6733,24,6122,0
0,12244,28,11150,0
0,1420721,69,1419405,0
0,67849,99,66767,0
0,340851,8,340480,0
0,298468,79,296987,0
0,586,0,2,0
0,1398991,107,1398122,0
0,458510,16,457881,1
0,899374,77,898190,0
0,13267,22,11954,0
1,1459767,37,1458433,0
0,7956,32,6742,1
1,162444,139,161326,0
0,484137,81,482659,0
1,262696,60,261617,0
0,1683736,13,1682645,0
0,497535,155,496600,0
1,114367,137,112967,0
0,799780,140,799199,0
1,417432,103,415855,0
0,1370954,68,1369569,1
0,318880,147,317777,1
0,799094,55,798498,0
0,8841,17,7366,1
0,37052,129,35940,0
0,1361937,105,1361035,1
0,174865,131,173582,1
0,485,3,3,1
0,27971,85,26910,1
0,403184,98,402012,0
0,85134,89,83866,1
0,1951553,123,1950669,0
1,1386264,104,1384861,0
1,2074708,18,2073437,1
1,1071422,143,1070148,1
0,987463,87,986558,0
0,383794,23,382214,0
1,1365596,67,1364481,0
0,936561,78,935551,0
0,1026521,63,1025604,0
0,24760,144,23234,1
0,304330,146,303281,1
0,17944,130,16457,1
1,813285,54,812281,0
0,1672453,14,1671053,0
0,349644,9,348280,0
0,1547471,118,1546002,1
0,6048,42,4708,0
0,1065367,142,1064159,1
