Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,NativeName,Languages,WeightKg,BirthDate,FirstName,GoogleKnowledgeGraphId,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,CyclingDiscipline,SportCountry
0,9,71992.0,26637.0,7,6,4,201838,2,4,111683,1,1,76.0,9,6,1,125323,61988,176.0,1,4
0,2,82827.0,30643.0,9,9,4,217465,2,7,227110,2,1,,10,8,6,151350,97547,184.0,1,4
0,7,65955.0,26396.0,3,11,0,189441,4,1,92304,4,3,,5,11,0,110201,41293,186.0,1,1
0,1,,,8,7,4,239223,2,3,221617,2,1,,11,7,5,137570,96312,,2,3
0,5,27804.0,15286.0,0,5,4,137756,2,11,55839,2,3,,1,5,9,39975,5273,170.0,1,6
0,8,,26392.0,6,4,4,193131,2,6,148275,0,1,69.0,7,4,2,89152,45363,176.0,1,0
0,10,,,10,8,4,259695,2,10,199947,2,2,,12,9,7,166006,127939,,1,4
0,11,41076.0,13362.0,11,10,2,139405,3,12,65995,3,1,70.0,2,10,9,51551,3277,177.0,2,5
0,0,56070.0,20777.0,5,3,1,179769,1,5,86568,2,3,71.0,4,3,8,79781,18575,180.0,2,4
0,6,69671.0,28448.0,4,2,4,197781,2,2,152803,2,1,,6,2,3,101978,53489,191.0,0,0
0,4,,26965.0,1,1,4,206730,2,0,162997,2,0,70.0,8,0,4,128820,71333,176.0,1,2
0,10,,2762.0,0,8,4,138150,2,9,30887,2,3,,0,1,9,10624,9030,,0,4
0,3,52038.0,20697.0,2,0,3,156131,0,8,86630,2,0,68.0,3,0,9,68186,20584,180.0,1,2
