Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,38827,224,224,1,35924,3,1
1,0,4679,182,182,1,1893,3,0
0,0,9869,53,53,0,8244,0,1
1,0,825842,310,310,1,823350,3,0
0,0,502030,129,129,0,499289,0,0
1,0,79193,76,76,1,76656,3,1
1,0,2449,0,0,1,11,3,0
0,0,7010,291,291,0,4233,0,1
0,0,66235,246,246,0,64469,0,1
1,0,21822,317,317,1,18838,3,1
0,0,104384,70,70,0,101526,0,1
0,0,77950,17,17,0,74987,0,1
1,0,510295,140,140,1,507728,3,1
1,0,847503,311,311,1,845194,3,0
1,0,6673,231,231,1,3815,3,0
1,0,181574,314,314,1,180063,3,1
1,0,625252,227,227,1,622190,3,0
1,0,981807,277,277,1,979324,3,1
1,0,16715,185,185,1,14439,3,1
1,0,2940,211,211,1,73,3,1
0,0,8383,218,218,0,7271,0,0
1,0,2351295,263,263,1,2348338,3,0
1,0,13435,271,271,1,10745,3,0
0,0,86361,187,187,0,83876,0,1
1,0,225780,77,77,1,223900,3,0
1,0,578138,98,98,1,576360,3,0
1,0,504140,267,267,1,500865,3,0
1,0,636457,212,212,1,635763,3,0
1,0,847195,162,162,1,845501,3,0
1,0,492362,27,27,1,490971,3,0
1,0,236472,222,222,1,233641,3,0
0,0,779582,202,202,0,776703,0,0
1,0,7188,123,123,1,4384,3,0
1,0,8831,109,109,1,6234,3,1
0,0,650247,100,100,0,648161,0,0
1,0,984,304,304,1,31,3,0
1,0,1094,23,23,1,159,3,1
0,0,24358,272,272,0,21590,0,0
0,0,1225,52,52,0,1,0,1
1,0,628999,142,142,1,626735,3,0
1,0,13990,114,114,1,11384,3,1
0,0,14595,64,64,0,12280,0,1
1,0,3158,253,253,1,408,3,1
1,0,2327020,262,262,1,2324351,3,0
0,0,9939,56,56,0,8926,0,0
0,0,65081,82,82,0,62292,0,1
1,0,9052,245,245,1,7148,3,1
0,2,805554,313,313,0,804478,0,0
0,0,782600,203,203,0,781197,0,0
1,0,3790,209,209,1,806,3,0
1,0,1573917,165,165,1,1571158,3,0
0,0,1995400,173,173,0,1993454,0,0
0,0,794113,241,241,0,793295,1,0
1,0,644271,96,96,1,641242,3,1
0,0,56433,247,247,0,54619,1,1
1,0,654938,251,251,1,652152,3,0
1,0,1032018,49,49,1,1029001,3,0
0,0,1140600,195,195,0,1138639,0,0
1,0,411506,58,58,1,408474,3,0
1,0,924785,235,235,1,922281,3,1
0,0,1204,125,125,0,2,0,0
0,0,8397,15,15,0,5578,0,1
0,0,764760,201,201,0,762982,0,0
1,0,976,20,20,1,2,3,1
1,0,587182,273,273,1,584897,3,1
1,0,3258,40,40,1,436,3,0
1,0,6116,57,57,1,4224,3,1
0,0,606712,236,236,0,603989,0,0
1,0,21218,240,240,1,18921,3,1
0,0,2501,81,81,0,102,1,1
1,0,7457,213,213,1,4911,3,1
0,0,490870,45,45,0,489493,0,0
1,0,4777,18,18,1,2027,3,1
1,0,110366,248,248,1,107442,3,1
1,0,22430,44,44,1,19944,3,1
1,0,15107,261,261,1,12237,3,1
1,0,41742,307,307,1,39727,3,1
0,0,663320,257,257,0,660522,0,0
0,0,58458,113,113,0,55432,0,1
1,0,486237,24,24,1,483109,3,0
1,0,353345,137,137,1,350952,3,0
1,0,16574,221,221,1,14088,3,1
0,0,3713,283,283,0,2106,1,0
1,0,44770,25,25,1,42977,3,1
0,0,3597,233,233,0,1834,0,0
1,0,5794,134,134,1,3014,3,0
0,1,655728,167,167,0,653962,0,0
0,0,33262,308,308,0,31331,0,1
0,0,791878,120,120,0,790079,0,0
1,0,760085,242,242,1,757590,3,0
0,0,1852491,172,172,0,1847980,0,0
1,0,130785,103,103,1,128263,3,0
1,0,122539,189,189,1,120197,3,1
0,0,594892,225,225,0,591674,0,0
0,0,571445,197,197,0,567813,0,0
1,0,690966,178,178,1,687994,3,0
1,0,9553,112,112,1,7784,3,0
1,0,582823,21,21,1,581135,3,0
0,0,67475,296,296,0,65139,0,1
1,0,25743,229,229,1,24748,3,1
1,0,71114,194,194,1,69705,3,1
0,0,103187,323,323,0,101616,1,0
0,0,702008,179,179,0,700188,0,0
1,0,585311,226,226,1,582390,3,0
1,0,2325261,42,42,1,2323705,3,0
1,0,491613,132,132,1,488857,3,1
1,0,12191,230,230,1,9909,3,1
1,0,1182,90,90,1,1,3,1
1,0,59561,139,139,1,57681,3,1
0,0,4036,63,63,0,1289,0,1
1,0,9360,254,254,1,6577,3,0
0,0,1434052,153,153,0,1432280,0,0
1,0,29749,160,160,1,26915,3,1
1,0,430057,184,184,1,427406,3,0
1,0,14455,88,88,1,11690,3,0
0,0,30562,278,278,0,28739,1,1
0,0,4524,239,239,0,2574,0,0
0,0,4216,131,131,0,1460,0,1
0,0,19758,183,183,0,17038,0,0
0,0,47207,79,79,0,45534,0,1
0,0,36437,101,101,0,35517,0,1
1,0,5595,67,67,1,2761,3,1
1,0,912033,71,71,1,909235,3,0
1,0,2693,280,280,1,396,3,0
1,0,30617,148,148,1,28410,3,1
0,0,75311,149,149,0,73533,0,1
1,0,11733,72,72,1,9154,3,0
1,0,706189,14,14,1,704129,3,0
0,0,120500,322,322,0,118605,0,0
1,0,26060,258,258,1,23298,3,1
0,0,201879,299,299,0,200095,0,0
0,0,8589,29,29,0,6541,0,1
0,0,1385359,152,152,0,1383590,0,0
1,0,688837,86,86,1,685982,3,0
0,0,54516,92,92,0,53479,0,1
0,0,1739,12,12,0,3,1,1
1,0,201254,157,157,1,198909,3,0
1,0,670094,37,37,1,667467,3,0
1,0,628364,99,99,1,625434,3,0
0,0,3779,181,181,0,1517,0,0
0,0,61849,46,46,0,60071,0,1
1,0,4799,270,270,1,2103,3,0
1,0,7313,234,234,1,4734,3,0
0,0,19476,158,158,0,17815,0,1
1,0,7957,141,141,1,5381,3,0
1,0,829858,118,118,1,827087,3,0
1,0,2071578,163,163,1,2068987,3,0
1,0,411543,243,243,1,408877,3,0
1,0,848494,161,161,1,847454,3,0
1,0,8756,144,144,1,5919,3,1
0,0,169188,306,306,0,166855,0,1
1,0,16396,294,294,1,13598,3,0
1,0,492103,128,128,1,489575,3,0
1,0,14953,302,302,1,12005,3,1
0,0,427483,287,287,0,425420,0,0
1,0,570499,250,250,1,567725,3,0
1,0,3857,102,102,1,1095,3,1
1,0,68621,190,190,1,67503,3,1
1,0,245943,61,61,1,244298,3,0
1,0,556405,238,238,1,554000,3,1
0,0,9141,219,219,0,8410,0,0
1,0,873816,170,170,1,871123,3,0
1,0,14712,220,220,1,11650,3,0
1,0,2350211,166,166,1,2347587,3,0
1,0,11256,252,252,1,8914,3,1
1,0,7825,89,89,1,5795,3,0
0,0,1137976,135,135,0,1133828,0,0
1,0,96498,207,207,1,94816,3,1
1,0,83774,186,186,1,82602,3,1
0,0,1981,297,297,0,2,0,0
1,0,483389,320,320,1,481422,3,0
0,0,85945,309,309,0,83153,0,1
0,0,21702,59,59,0,18811,0,0
0,0,22871,4,4,0,21810,0,1
1,0,5339,51,51,1,2904,3,1
0,0,728090,36,36,0,725151,0,0
1,0,3210,22,22,1,616,3,1
0,0,258722,217,217,0,256827,0,0
0,0,10587,180,180,0,8119,0,1
1,0,145152,315,315,1,142906,3,1
1,0,572075,300,300,1,569139,3,0
0,0,2028848,177,177,0,2027736,2,0
1,0,33122,281,281,1,30594,3,1
1,0,690828,274,274,1,688522,3,0
0,0,45706,259,259,0,43370,0,1
1,0,588116,3,3,1,586977,3,0
0,0,4613,116,116,0,1626,0,1
0,0,12865,289,289,0,9965,0,1
1,0,4342,80,80,1,1385,3,1
1,0,15683,255,255,1,12888,3,0
0,0,367390,215,215,0,364778,1,0
0,0,25602,133,133,0,22921,0,1
0,0,563158,321,321,0,560651,0,0
0,0,467624,169,169,0,464685,0,0
0,0,2010044,11,11,0,2009265,2,0
0,0,4567,55,55,0,1604,0,0
1,0,24449,111,111,1,21516,3,0
1,0,33240,54,54,1,30436,3,1
1,0,197559,192,192,1,195199,3,1
0,0,955,154,154,0,2,1,1
0,0,447897,285,285,0,446350,1,0
1,0,36839,205,205,1,34572,3,1
1,0,1721524,41,41,1,1718519,3,1
1,0,21022,62,62,1,18272,3,1
1,0,517997,130,130,1,514713,3,0
1,0,1984663,164,164,1,1981777,3,0
1,0,4543,136,136,1,1706,3,1
1,0,16034,124,124,1,13233,3,0
1,0,1133115,269,269,1,1130755,3,1
0,0,1973,1,1,0,3,1,1
1,0,1174681,74,74,1,1172813,3,0
0,0,3158,6,6,0,342,0,1
1,0,648458,159,159,1,645735,3,0
0,0,31215,301,301,0,30121,1,1
0,0,1171911,146,146,0,1168945,0,0
0,0,2772,318,318,0,301,0,1
1,0,265804,200,200,1,263906,3,0
0,0,496864,168,168,0,494066,0,0
1,0,1626838,106,106,1,1624217,3,0
1,0,29971,143,143,1,27197,3,1
1,0,5025,156,156,1,2677,3,1
1,0,474181,191,191,1,471830,3,0
0,0,20670,138,138,0,18052,0,1
0,0,1430611,97,97,0,1429409,1,0
1,0,2149200,264,264,1,2146741,3,0
1,0,3014,93,93,1,228,3,1
0,0,750304,208,208,0,747923,0,0
1,0,10460,75,75,1,8049,3,1
1,0,754760,204,204,1,752910,3,0
1,0,6217,319,319,1,3602,3,1
1,0,396132,244,244,1,393928,3,0
1,0,128705,206,206,1,127131,3,1
1,0,496021,26,26,1,493463,3,0
1,0,56619,316,316,1,53854,3,1
0,0,4421,31,31,0,3684,0,1
0,0,117865,210,210,0,115973,0,1
0,0,6529,155,155,0,4547,0,1
1,0,174847,193,193,1,172793,3,1
1,0,8963,175,175,1,6399,3,1
0,0,6840,284,284,0,3826,0,0
1,0,1175229,145,145,1,1172704,3,0
1,0,388046,38,38,1,385203,3,0
1,0,7278,94,94,1,4399,3,0
1,0,22938,84,84,1,21226,3,1
1,0,1130391,196,196,1,1127446,3,0
1,0,11829,32,32,1,8980,3,1
1,0,1443,19,19,1,1,3,1
0,0,7112,282,282,0,4374,0,1
1,0,1008775,188,188,1,1006142,3,0
1,0,7245,290,290,1,4687,3,1
1,0,12451,174,174,1,9695,3,1
0,0,2274,50,50,0,1,0,0
1,0,1767155,266,266,1,1764399,3,1
1,0,905310,39,39,1,902803,3,0
0,0,729858,199,199,0,727477,0,0
1,0,214887,305,305,1,212992,3,0
0,0,34372,2,2,0,33320,0,1
0,0,38223,30,30,0,36197,0,1
1,0,18751,108,108,1,16475,3,1
1,0,2120212,104,104,1,2117660,3,0
1,0,3783,83,83,1,1453,3,1
1,0,596370,276,276,1,593812,3,0
1,0,19819,121,121,1,16985,3,1
0,0,392186,223,223,0,389424,0,0
0,0,36463,115,115,0,33455,0,1
1,0,439193,286,286,1,435576,3,0
0,0,598524,91,91,0,596251,1,0
0,0,17724,293,293,0,14986,1,1
1,0,107280,48,48,1,104554,3,0
1,0,2892,66,66,1,97,3,0
0,0,478312,10,10,0,477440,0,0
1,0,46833,73,73,1,44356,3,0
1,0,342240,151,151,1,339421,3,1
1,0,2020967,176,176,1,2018517,3,0
1,0,68416,260,260,1,66416,3,1
1,0,4460,126,126,1,2295,3,0
0,0,553364,249,249,0,550602,0,0
1,0,2360044,13,13,1,2358530,3,0
0,0,851849,119,119,0,849015,0,0
1,0,3538,292,292,1,857,3,1
1,0,12394,303,303,1,9605,3,0
0,0,748745,35,35,0,745776,0,0
1,0,14564,60,60,1,12819,3,1
0,0,39476,268,268,0,36720,0,1
1,0,13956,214,214,1,10954,3,0
1,0,58311,298,298,1,56848,3,1
0,0,645301,275,275,0,642806,0,0
1,0,5678,127,127,1,4257,3,1
1,0,458839,16,16,1,457553,3,0
0,0,811998,312,312,0,810235,0,0
1,0,26744,325,325,1,24147,3,1
0,0,968,8,8,0,3,0,0
1,0,905988,95,95,1,903148,3,0
1,0,9121,288,288,1,6152,3,1
1,0,582104,237,237,1,579438,3,0
1,0,79885,228,228,1,77750,3,1
1,0,2982,69,69,1,445,3,1
0,0,169312,65,65,0,166550,0,0
1,0,1113039,295,295,1,1110685,3,1
0,0,531490,33,33,0,528650,0,0
0,0,4734,122,122,0,2191,0,0
1,0,710712,198,198,1,708220,3,0
1,0,351197,216,216,1,348939,3,0
1,0,56555,324,324,1,54387,3,1
0,0,18183,232,232,0,15433,0,0
1,0,4073,5,5,1,1218,3,0
1,0,15577,68,68,1,12521,3,1
1,0,2028531,265,265,1,2025571,3,0
1,0,27589,107,107,1,25172,3,0
0,0,4119,43,43,0,967,0,1
1,0,27235,147,147,1,24623,3,1
1,0,783456,78,78,1,780772,3,0
0,0,11142,110,110,0,8839,0,1
1,0,242630,117,117,1,239769,3,1
1,0,10610,171,171,1,8169,3,1
1,0,106204,279,279,1,104012,4,1
1,0,16963,47,47,1,14936,3,0
1,0,9934,85,85,1,6965,3,1
1,0,577397,7,7,1,576201,3,0
1,0,1820,9,9,1,189,3,0
1,0,485801,34,34,1,483723,3,0
1,3,11541,326,326,1,8509,3,1
1,0,619021,150,150,1,617285,3,0
0,0,13820,28,28,0,12766,0,1
1,0,2194888,105,105,1,2192474,3,1
1,0,10910,87,87,1,8910,3,0
1,0,639965,256,256,1,637563,3,0
