Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,38827,225,225,1,35924,3,1
0,0,3779,182,182,0,1517,0,0
0,0,9869,53,53,0,8244,0,1
1,0,825842,310,310,1,823350,3,0
0,0,502030,129,129,0,499289,0,0
1,0,79193,77,77,1,76656,3,1
1,0,2449,0,0,1,11,3,0
1,0,7245,291,291,1,4687,3,1
0,0,66235,247,247,0,64469,0,1
1,0,21822,317,317,1,18838,3,1
0,0,104384,71,71,0,101526,0,1
0,0,77950,17,17,0,74987,0,1
1,0,510295,141,141,1,507728,3,1
1,0,847503,311,311,1,845194,3,0
1,0,16574,222,222,1,14088,3,1
1,0,181574,314,314,1,180063,3,1
1,0,625252,228,228,1,622190,3,0
1,0,981807,278,278,1,979324,3,1
1,0,16715,185,185,1,14439,3,1
0,0,3108,210,210,0,115,0,0
1,0,2940,212,212,1,73,3,1
1,0,2351295,264,264,1,2348338,3,0
1,0,4799,271,271,1,2103,3,0
0,0,86361,187,187,0,83876,0,1
1,0,225780,78,78,1,223900,3,0
1,0,578138,98,98,1,576360,3,0
1,0,504140,268,268,1,500865,3,0
1,0,636457,213,213,1,635763,3,0
1,0,847195,162,162,1,845501,3,0
1,0,492362,27,27,1,490971,3,0
1,0,236472,223,223,1,233641,3,0
0,0,779582,202,202,0,776703,0,0
0,0,5320,123,123,0,4310,0,1
1,0,3857,103,103,1,1095,3,1
0,0,650247,100,100,0,648161,0,0
1,0,984,304,304,1,31,3,0
1,0,976,20,20,1,2,3,1
1,0,13435,272,272,1,10745,3,0
0,0,2274,50,50,0,1,0,0
1,0,628999,142,142,1,626735,3,0
1,0,13990,114,114,1,11384,3,1
0,0,14595,65,65,0,12280,0,1
1,0,11256,253,253,1,8914,3,1
1,0,2327020,263,263,1,2324351,3,0
1,0,5339,51,51,1,2904,3,1
0,0,65081,83,83,0,62292,0,1
0,0,1335,245,245,0,1,1,1
0,2,805554,313,313,0,804478,0,0
0,0,782600,203,203,0,781197,0,0
0,0,955,155,155,0,2,1,1
1,0,1573917,165,165,1,1571158,3,0
0,0,1995400,174,174,0,1993454,0,0
0,0,794113,241,241,0,793295,1,0
1,0,644271,96,96,1,641242,3,1
0,0,56433,248,248,0,54619,1,1
1,0,654938,252,252,1,652152,3,0
1,0,1032018,49,49,1,1029001,3,0
0,0,1140600,195,195,0,1138639,0,0
1,0,411506,57,57,1,408474,3,0
1,0,924785,236,236,1,922281,3,1
0,0,4734,122,122,0,2191,0,0
0,0,8397,15,15,0,5578,0,1
0,0,764760,201,201,0,762982,0,0
1,0,3210,22,22,1,616,3,1
1,0,587182,274,274,1,584897,3,1
0,0,4421,31,31,0,3684,0,1
0,0,9939,56,56,0,8926,0,0
0,0,606712,237,237,0,603989,0,0
1,0,21218,240,240,1,18921,3,1
0,0,2501,82,82,0,102,1,1
1,0,7457,214,214,1,4911,3,1
0,0,490870,45,45,0,489493,0,0
1,0,4073,5,5,1,1218,3,0
1,0,110366,249,249,1,107442,3,1
1,0,22430,44,44,1,19944,3,1
1,0,15107,262,262,1,12237,3,1
1,0,41742,307,307,1,39727,3,1
0,0,663320,258,258,0,660522,0,0
0,0,58458,113,113,0,55432,0,1
1,0,486237,24,24,1,483109,3,0
1,0,353345,138,138,1,350952,3,0
0,0,9141,220,220,0,8410,0,0
1,0,2693,281,281,1,396,3,0
1,0,44770,25,25,1,42977,3,1
0,0,18183,233,233,0,15433,0,0
1,0,5678,127,127,1,4257,3,1
0,1,655728,167,167,0,653962,0,0
0,0,33262,308,308,0,31331,0,1
0,0,791878,120,120,0,790079,0,0
1,0,760085,242,242,1,757590,3,0
0,0,1852491,173,173,0,1847980,0,0
1,0,130785,104,104,1,128263,3,0
1,0,122539,189,189,1,120197,3,1
0,0,594892,226,226,0,591674,0,0
0,0,571445,197,197,0,567813,0,0
1,0,690966,179,179,1,687994,3,0
1,0,18751,109,109,1,16475,3,1
1,0,582823,21,21,1,581135,3,0
0,0,67475,296,296,0,65139,0,1
1,0,25743,230,230,1,24748,3,1
1,0,71114,194,194,1,69705,3,1
0,0,103187,323,323,0,101616,1,0
0,0,702008,180,180,0,700188,0,0
1,0,585311,227,227,1,582390,3,0
1,0,2325261,42,42,1,2323705,3,0
1,0,491613,133,133,1,488857,3,1
1,0,12191,231,231,1,9909,3,1
