GENE_SUBCLASS,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
1,21,62971,180,2,1,8,62301,1
0,19,839949,139,0,0,5,839030,0
0,1,1026191,30,0,0,0,1025282,1
0,1,3610921,95,0,0,0,3610027,1
1,3,155789,189,2,1,10,154923,0
1,0,3052381,82,2,1,0,3051492,0
0,1,1174013,35,0,0,0,1173317,1
0,5,95815,157,0,0,7,95057,1
0,1,583967,15,0,0,0,583080,1
1,0,129373,6,2,1,0,128459,0
1,16,179961,128,2,1,4,179091,1
0,1,2252035,64,0,0,0,2251144,0
0,7,2004091,149,0,0,6,2003193,0
0,5,2783867,175,0,0,7,2782938,0
0,20,199181,129,0,0,4,198480,1
0,5,7961,154,0,0,7,7128,1
1,21,129615,181,2,1,8,128937,1
0,1,3031781,81,0,0,0,3030872,1
0,1,616887,17,0,0,0,616004,1
0,24,208310,220,0,0,13,207430,1
1,0,2815974,74,2,1,0,2815301,1
0,1,3882969,102,0,0,0,3882101,1
0,20,1767921,133,0,0,4,1767010,0
0,1,3868423,101,0,0,0,3867484,1
0,17,2607933,196,0,0,12,2607058,0
0,1,1893252,54,0,0,0,1892656,1
1,14,324293,163,2,1,7,323385,0
1,0,2291293,65,2,1,0,2290427,0
0,1,1194078,36,0,0,0,1193275,0
0,17,2545626,194,0,0,12,2544759,1
0,5,179067,159,0,0,7,178182,1
0,1,1930786,56,0,0,0,1929878,1
1,5,42700,193,2,1,12,41878,0
1,0,2877942,76,2,1,0,2877270,0
0,17,2733039,202,0,0,12,2732154,0
0,1,983675,27,0,0,0,982762,1
1,14,2551606,170,2,1,7,2550972,0
0,1,3168386,84,0,0,0,3167475,0
1,0,1488335,43,2,1,0,1487596,0
0,20,1786331,134,0,0,4,1785448,0
1,16,4378,123,2,1,4,3485,1
0,2,64524,122,0,0,3,63623,1
0,24,93604,213,0,0,13,92715,1
0,15,1291545,119,0,0,2,1290640,0
0,17,2801127,205,0,0,12,2800200,0
0,15,1318081,120,0,0,2,1317200,0
1,5,2698387,201,2,1,12,2697497,0
0,1,2307482,66,0,0,0,2306646,0
0,20,97344,127,0,0,4,96440,1
0,1,46753,2,0,0,0,45868,0
0,15,1186857,114,0,0,2,1185970,0
0,1,3003728,80,0,0,0,3002854,1
0,20,14893,124,0,0,4,13998,1
0,5,254865,162,0,0,7,253708,1
0,13,43075,179,0,0,8,42181,1
0,8,4754,107,0,0,1,3889,1
0,20,322301,132,0,0,4,321431,1
0,5,2312685,165,0,0,7,2311817,1
0,17,2995898,210,0,0,12,2995002,0
1,0,3182281,86,2,1,0,3181624,0
0,1,2949731,77,0,0,0,2948776,1
0,7,38163,141,0,0,6,37286,1
0,1,880743,25,0,0,0,879833,0
1,0,3220661,87,2,1,0,3220015,1
1,0,1040077,31,2,1,0,1039506,1
1,16,275737,130,2,1,4,274820,1
0,5,2367422,166,0,0,7,2366716,0
1,4,34996,192,2,1,11,34098,1
0,1,105637,5,0,0,0,104764,0
0,20,289183,131,0,0,4,288291,1
0,1,1908900,55,0,0,0,1907989,1
0,13,33425,178,0,0,8,32546,0
0,24,61263,211,0,0,13,60705,1
0,1,2179730,63,0,0,0,2178836,0
0,6,56816,186,0,0,10,55936,1
0,1,3550296,93,0,0,0,3549573,1
0,17,2821965,206,0,0,12,2821073,0
0,1,364621,11,0,0,0,363730,0
0,1,1094682,33,0,0,0,1093809,0
0,1,857958,24,0,0,0,857048,0
1,0,2537510,67,2,1,0,2536628,0
0,5,76101,156,0,0,7,75205,1
0,1,1770959,48,0,0,0,1770066,1
0,1,3910556,104,0,0,0,3909665,1
0,17,2634567,198,0,0,12,2633713,0
1,5,2926376,208,2,1,12,2925636,0
0,1,1248359,39,0,0,0,1247462,0
1,16,38833,125,2,1,4,38004,1
0,24,80766,212,0,0,13,79828,1
0,5,820,153,0,0,7,152,1
0,1,815039,22,0,0,0,814169,0
1,5,2783215,204,2,1,12,2782301,0
0,5,113300,158,0,0,7,112144,1
0,6,133377,188,0,0,10,132540,1
0,1,11796,0,0,0,0,10901,0
1,16,78507,126,2,1,4,77618,1
0,8,1284813,111,0,0,1,1283955,1
1,0,2870102,75,2,1,0,2869325,0
1,0,2705515,71,2,1,0,2704850,1
0,8,120842,109,0,0,1,119945,1
0,1,1153637,34,0,0,0,1152742,1
0,1,2008858,59,0,0,0,2007978,1
0,5,2596095,171,0,0,7,2595159,0
1,0,526126,14,2,1,0,525496,1
1,14,2445932,169,2,1,7,2445267,0
