SportType,StageLabel,StageDistanceKm,EditionNumber,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,GeneralClassificationLeader,StageDescription,EndLocation
1,7,3034.0,59.0,22,15,34,20,7,34,7,25,3,15
1,46,248.0,102.0,23,7,40,18,49,24,46,31,3,2
1,18,205.0,,20,21,20,5,13,11,20,2,2,7
1,11,241.0,90.0,46,16,30,3,14,7,11,22,2,36
0,29,179.3,63.0,11,2,35,10,28,15,29,26,3,10
1,47,167.5,,41,19,22,17,43,25,48,17,2,25
1,21,3241.0,62.0,44,15,11,6,20,34,17,9,3,15
1,12,262.0,92.0,23,7,2,4,15,8,12,1,2,2
1,41,3181.5,69.0,21,15,1,14,40,34,41,0,3,27
1,0,180.6,17.0,35,13,18,20,0,0,0,14,3,18
1,26,1285.5,68.0,31,9,1,9,25,34,26,0,3,17
1,45,196.0,80.0,28,6,2,18,48,23,45,1,3,11
1,39,3445.4,97.0,4,3,29,14,38,34,39,21,1,32
1,34,251.0,106.0,5,4,19,12,33,20,34,15,3,14
1,16,145.0,,0,21,15,5,11,9,18,1,2,6
1,2,,54.0,35,2,42,20,2,3,2,33,3,18
1,35,257.5,98.0,23,7,27,12,34,19,35,20,3,2
1,52,852.3,56.0,13,12,1,18,50,34,47,0,3,9
1,6,1305.0,62.0,9,9,23,20,6,34,6,18,3,17
1,25,171.6,56.0,1,5,35,8,24,13,25,26,2,1
1,14,829.0,46.0,17,12,21,4,17,34,14,16,3,35
1,51,138.0,,37,20,26,17,55,29,52,17,2,22
1,33,256.5,47.0,26,0,12,12,32,18,33,10,3,33
1,30,201.0,75.0,8,6,24,11,29,16,30,24,3,11
1,5,1094.3,61.0,19,9,4,20,5,34,5,2,3,17
1,9,3498.0,88.0,36,3,31,3,9,5,9,23,3,16
1,40,260.0,108.0,10,4,10,14,39,21,40,8,3,4
1,23,3295.3,64.0,2,15,2,7,22,34,23,1,3,15
1,38,3319.1,68.0,45,15,9,13,37,34,38,7,3,15
1,54,188.3,,29,19,2,19,52,31,54,27,2,13
1,44,845.2,55.0,6,12,19,16,47,34,44,15,3,0
1,1,188.8,18.0,35,13,16,20,1,1,1,12,3,18
1,31,1305.5,69.0,16,9,37,11,30,34,31,28,3,17
1,13,1276.3,64.0,19,9,14,4,16,34,13,11,3,17
1,8,191.5,57.0,11,2,17,2,8,6,8,13,3,10
1,28,234.0,31.0,39,1,33,11,27,17,28,24,3,23
1,17,153.0,,14,21,5,5,12,10,19,2,2,29
1,20,1260.2,65.0,19,9,1,6,19,34,16,0,3,17
1,49,212.0,,25,18,36,17,45,27,50,17,2,30
1,53,41.3,,3,22,0,19,51,30,53,3,2,3
1,3,287.0,93.0,30,8,25,0,3,2,3,19,3,24
1,37,3332.6,96.0,34,3,39,13,36,34,37,30,4,5
1,56,182.0,,43,19,2,19,54,33,56,1,2,31
1,50,175.5,,40,17,3,17,46,28,51,17,2,26
1,4,258.5,89.0,23,7,38,1,4,4,4,29,3,2
1,24,260.0,104.0,30,4,33,9,23,14,24,24,3,8
1,43,3360.0,102.0,42,11,8,16,42,34,43,6,0,20
1,55,136.1,,24,17,28,19,53,32,55,27,2,12
1,32,3630.0,98.0,18,11,6,11,31,34,32,4,3,20
1,42,200.0,9.0,38,10,41,15,41,22,42,32,3,28
1,10,3373.5,60.0,14,15,34,3,10,34,10,25,3,15
1,22,3558.5,95.0,7,11,7,20,21,34,22,5,3,20
1,27,724.9,36.0,12,14,1,8,26,34,27,0,3,21
1,15,3213.0,61.0,33,15,4,4,18,34,15,2,3,15
1,48,217.0,,32,17,32,17,44,26,49,17,2,34
1,36,834.6,52.0,15,12,35,12,35,34,36,26,3,19
1,19,142.0,,27,21,13,5,55,12,21,2,2,15
