Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,1458246,66,66,1,1,1457223,1
1,1480230,62,62,1,1,1479247,1
1,7466,70,70,1,1,6656,0
1,2793037,78,78,9,1,2792413,0
1,24068,2,2,1,1,22974,1
1,43863,56,56,1,1,42899,0
1,2734360,76,76,9,1,2733738,0
1,12370,13,13,9,1,11651,1
1,37606,14,14,1,1,36634,0
1,42462,6,6,1,1,41643,1
1,102323,72,72,1,1,101223,0
1,343308,33,33,5,1,342291,1
1,4787888,41,41,6,1,4786968,1
1,1552224,68,68,1,1,1551602,1
1,136147,86,86,8,1,135143,0
1,123255,0,0,10,1,122167,1
1,280404,47,47,1,1,279292,0
1,512368,53,53,1,1,511387,1
1,110828,85,85,1,1,110240,0
1,125246,74,74,1,1,124234,0
1,52860,57,57,1,1,51868,0
1,504,27,27,10,1,1,1
1,106006,73,73,1,1,105019,0
1,4675093,40,40,7,1,4674135,1
1,11481,4,4,10,1,10372,1
1,2701234,75,75,9,1,2700800,1
1,4624842,39,39,5,1,4624609,0
1,4902805,43,43,4,1,4901729,1
1,1525212,67,67,1,1,1524124,1
1,1499119,59,59,1,1,1498235,1
1,28694,12,12,1,1,27603,0
1,11216,17,17,9,1,10914,0
1,1657997,65,65,1,1,1656996,1
1,27963,5,5,0,1,26928,1
1,35768,24,24,10,1,34899,1
1,2894078,80,80,9,1,2893272,1
1,1059325,38,38,1,1,1058269,1
1,43876,3,3,1,1,42775,1
1,1627435,64,64,1,1,1626329,1
0,3881350,37,37,2,0,3880631,0
1,94786,58,58,1,1,94159,0
1,91953,84,84,1,1,91237,0
1,169178,9,9,1,1,168184,1
1,147163,1,1,1,1,146132,1
1,8695,28,28,1,1,7658,0
1,20072,19,19,1,1,19761,0
1,9372,15,15,9,1,8812,0
1,316194,34,34,7,1,315103,0
1,2945516,81,81,9,1,2945082,1
1,4461,21,21,1,1,3660,1
1,2778067,77,77,9,1,2777256,1
1,39682,8,8,1,1,38872,0
1,488570,52,52,1,1,487527,1
1,20661,30,30,1,1,19786,1
1,26009,23,23,1,1,25214,0
1,148742,87,87,1,1,148042,0
1,384305,49,49,5,1,383880,1
1,2828316,79,79,9,1,2828057,1
1,9545,18,18,1,1,8451,1
1,365765,48,48,1,1,364669,1
1,4928890,45,45,4,1,4928031,0
1,40888,71,71,1,1,39787,0
1,2619,26,26,1,1,1549,1
1,389934,50,50,1,1,388935,1
1,642121,54,54,1,1,641041,1
1,5116,31,31,1,1,4451,0
1,54319,83,83,1,1,54090,0
1,1590107,69,69,1,1,1589277,1
1,24585,20,20,1,1,23647,1
0,48649,35,35,2,0,48272,1
1,161602,46,46,3,1,161114,0
1,58538,61,61,1,1,57471,0
0,1336926,36,36,2,0,1336549,0
1,1519931,63,63,1,1,1518837,1
1,194569,11,11,9,1,194282,1
1,17950,22,22,1,1,17621,0
1,4917356,44,44,4,1,4916496,1
1,173247,10,10,1,1,172157,1
1,61655,7,7,1,1,60688,0
1,1748,32,32,1,1,855,1
1,46062,60,60,1,1,45070,0
1,440767,51,51,1,1,439669,1
1,4877098,42,42,4,1,4876662,1
1,11287,29,29,1,1,10360,0
1,13874,55,55,1,1,12861,0
1,8016,16,16,9,1,6937,1
1,3039694,82,82,9,1,3039010,0
1,54340,25,25,1,1,53434,0
