WikimediaFocusList,EncyclopdiaBritannicaOnlineId,YsoId,OnlinePwnEncyclopediaId,UnescoThesaurusId,CommonsCategory,WikiKidsId,EncyclopediaOfChinaThirdEditionId,Image,QuoraTopicId,GreatRussianEncyclopediaOnlineIdOldVersion,NativeLabel,EuKnowledgeGraphItemId,ShortName,BibliothequeNationaleDeFranceId,ZhihuTopicId,MainCategory,BabelNetId,KBpediaId,DescribedBySource,NationalLibraryOfIsraelJ9uId,PermanentDuplicatedItem,KrugosvetArticle,LibraryOfCongressAuthorityId,WordNet31SynsetId,NicoNicoPediaId,NlCrAutId,NdlAuthorityId,GndId,DifferentFrom,IabCode,GitHubTopic,InstanceOf,DeweyDecimalClassification,LoCAndMarcVocabulariesId,PageBanner,DenStoreDanskeId,BbcThingsId,FreebaseId,StoreNorskeLeksikonId
1,0,105294.0,4168999.0,10,0,9,381469.0,5,0,3935164,4,2,5,8,19599421.0,0,0,0,3,9.870075596513052e+17,2,4,6,2,4,8,568970.0,10,0,1243.0,1,6,0,1,0,11,11,10,12
1,12,105182.0,4169076.0,7,12,12,395958.0,8,12,3905368,11,9,4,0,19553727.0,12,10,11,4,9.870075547915052e+17,2,2,8,8,10,1,573706.0,12,7,1447.0,10,6,3,8,7,9,6,5,10
2,2,,3914530.0,0,2,7,,5,2,2265763,3,0,1,12,,2,12,9,0,9.870075354600051e+17,2,1,12,12,0,13,568912.0,0,7,,0,4,9,0,9,7,8,9,8
1,4,105484.0,3912587.0,4,4,2,287141.0,9,4,4177745,10,5,7,4,19550842.0,4,5,3,0,9.870075667365052e+17,1,0,11,0,11,4,563400.0,3,2,1316.0,4,7,9,4,3,2,9,1,2
0,10,105717.0,4169094.0,8,10,6,558705.0,10,10,2168141,1,11,10,3,19563362.0,10,9,8,4,9.870072649415052e+17,2,10,3,9,8,7,567491.0,9,6,1347.0,8,6,6,9,1,6,7,7,7
2,1,94439.0,4169025.0,2,1,0,510813.0,1,1,1940197,0,1,6,1,,1,2,1,1,9.870075548070052e+17,2,5,2,1,6,2,561386.0,1,5,1282.0,2,8,2,2,2,0,0,13,0
1,5,105027.0,4169053.0,1,5,3,,3,5,2009216,8,7,9,2,19556339.0,5,1,4,0,9.870075597778052e+17,2,7,10,3,2,5,564071.0,4,10,1319.0,5,3,9,5,13,3,4,2,3
2,9,169606.0,,0,9,8,,4,9,2168546,3,0,1,12,,9,12,9,8,,2,1,0,12,0,12,,8,8,,0,0,9,0,8,7,8,0,8
1,3,104968.0,4169037.0,11,3,1,,6,3,4721849,5,4,0,7,19552320.0,3,4,2,1,9.870075525332051e+17,0,6,1,7,7,3,563689.0,2,1,1295.0,3,2,1,3,11,1,5,8,1
1,13,105243.0,4169158.0,9,13,10,557937.0,11,13,4178979,9,3,11,9,19647719.0,13,8,12,0,9.870075617917052e+17,2,11,7,11,5,9,572496.0,13,7,1423.0,11,1,5,11,10,10,1,6,11
1,11,105098.0,4169126.0,3,11,11,,0,11,4931442,6,10,3,5,19639816.0,11,11,10,2,9.870075609817052e+17,2,3,4,10,9,0,567657.0,11,9,1409.0,9,6,8,10,12,8,10,11,9
1,7,105280.0,4169056.0,6,7,8,,5,7,2019712,7,6,2,11,19566856.0,7,6,6,6,9.870075596548051e+17,2,9,5,6,1,10,564213.0,6,3,1323.0,7,6,4,7,5,5,3,4,5
2,8,159783.0,3917307.0,0,8,5,558504.0,2,8,4933874,3,0,1,6,,8,7,7,5,9.870075315095052e+17,2,1,13,5,0,11,628626.0,7,4,,0,5,9,0,6,7,8,12,6
1,6,105242.0,4169054.0,5,6,4,558647.0,7,6,2010387,2,8,8,10,19663445.0,6,3,5,7,9.870075525048051e+17,2,8,9,4,3,6,871922.0,5,7,1320.0,6,2,7,6,4,4,2,3,4
