StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,319014,14,23,144,320234
1,0,80905,44,11,39,81801
1,1,14340,37,2,226,15410
0,0,2161639,18,11,64,2162466
0,1,778437,13,2,93,779639
1,0,1097833,17,3,239,1098996
1,0,443996,13,11,201,444826
0,0,1076451,14,11,227,1077230
0,0,46142,2,18,168,46924
0,0,1421220,18,15,53,1422032
0,1,744176,7,2,160,745129
0,0,431740,4,14,247,432927
0,0,16886,57,23,106,18040
1,0,402068,13,11,136,402910
0,0,1151997,17,22,240,1153229
1,0,750031,17,24,153,750678
1,0,8728,22,22,4,9906
1,0,11053,68,23,152,12258
1,0,2202343,18,24,63,2202990
0,0,1010715,17,1,156,1011398
0,0,375253,18,26,23,375897
1,0,991897,13,11,211,992655
1,0,3406,31,22,134,4632
0,0,580287,13,15,205,581117
1,1,492404,14,34,118,493669
1,0,748862,18,16,54,749602
0,0,591,46,22,59,1832
0,1,222386,4,34,245,223492
1,0,1087412,17,16,238,1088191
0,0,821287,13,18,208,822069
0,1,9531,77,2,218,10709
0,0,22262,73,18,193,23056
0,0,690643,13,11,90,691455
0,0,195561,4,14,242,196658
1,0,374896,3,20,35,375903
0,0,9303,65,0,148,9985
0,1,2966,41,2,29,4174
0,0,1069991,13,11,196,1070767
1,0,598465,13,11,204,599280
1,0,25351,41,11,27,26139
1,0,226322,11,0,41,226729
0,0,203728,4,12,243,204825
1,0,394031,13,1,22,394684
0,0,1897239,17,11,125,1897997
1,0,1114,69,0,161,1860
0,0,588062,13,23,206,589228
0,0,399566,14,0,175,400728
0,0,616495,13,11,207,617253
0,1,380962,8,2,14,381597
0,0,1428093,18,26,52,1428734
1,0,1967444,17,11,123,1968229
0,1,12743,40,2,26,13702
0,0,1192936,14,1,232,1193619
0,0,216641,4,12,244,217780
0,1,16553,50,2,77,17599
0,0,1056725,13,22,130,1057942
1,0,662936,17,11,103,663709
0,0,1470884,16,5,183,1471918
1,1,883339,13,2,138,884301
0,0,17131,52,30,95,18090
1,0,1782673,17,11,127,1783506
0,0,1193721,14,0,233,1194158
1,1,4201,53,2,96,5205
0,1,175745,19,2,104,177073
0,0,152606,79,30,235,153559
0,0,3321,75,23,216,4472
1,0,978543,18,30,114,979496
1,0,1904309,18,11,67,1905082
1,1,25858,27,2,43,27009
0,0,37197,74,11,197,38006
0,0,1220947,16,14,178,1221966
1,0,226831,11,1,18,227094
0,1,76494,44,0,38,76658
1,0,987176,18,0,112,987733
1,1,936387,17,2,155,937169
1,0,415021,14,23,119,416187
1,0,982858,18,30,113,983808
1,1,496932,14,34,117,497744
1,1,3070,72,2,169,3831
0,1,2544,70,2,162,3587
1,0,9199,43,11,37,10011
0,0,1473666,18,27,51,1474427
0,0,35690,36,9,223,36547
1,0,530982,1,0,173,531335
1,1,476525,14,2,116,477748
1,1,1925107,18,2,66,1925877
1,0,1564014,18,16,72,1564778
0,0,1105297,14,22,228,1106541
1,0,14710,30,8,108,15525
1,1,1101,58,2,110,2102
1,0,176870,15,21,109,178084
1,0,712129,13,18,91,712890
1,1,651695,6,2,50,652441
0,0,854496,13,7,137,855470
1,0,712,48,29,75,1677
0,0,300510,14,18,145,301271
0,1,10170,74,2,198,11639
1,0,2202237,17,24,185,2202884
1,0,1486264,16,14,181,1487286
1,0,2091,61,11,132,2879
0,0,11231,34,0,220,12102
1,1,561921,13,2,88,563168
1,0,11857,23,0,5,12897
0,0,877761,13,11,140,878597
0,1,1327,32,2,171,2640
1,0,2088630,17,24,122,2089274
0,0,420934,3,14,16,422034
0,1,136807,11,2,158,137805
1,0,76523,6,20,8,77581
0,0,683826,18,30,56,684782
0,0,913814,17,26,154,914563
0,0,29922,47,22,60,31139
0,1,1246121,16,2,180,1247221
1,0,1222181,18,16,105,1222996
0,0,295851,13,22,79,297062
0,0,1048619,13,15,131,1049347
1,0,35402,27,23,44,36628
1,1,1130438,18,2,170,1131697
0,0,31118,36,11,222,31870
1,0,363610,11,0,157,363876
1,0,945539,13,22,6,946792
0,1,1762,35,2,221,2901
0,0,1638709,16,19,121,1639752
0,0,549704,5,11,47,550504
1,0,16873,79,29,236,17814
1,0,825718,17,18,12,826530
0,0,3,24,0,10,335
1,1,5971,0,2,184,7239
0,1,39978,67,2,150,41030
0,0,18244,71,11,166,19059
0,0,1187623,13,31,194,1188618
0,0,1744339,18,16,192,1745136
1,1,1283,57,2,107,2521
0,0,249592,14,22,143,250812
0,0,730422,18,11,55,731234
1,0,1075195,13,1,3,1075329
1,1,181743,11,2,40,182780
0,0,491209,13,22,202,492438
0,0,1603254,17,17,189,1604402
1,0,10047,45,23,48,11189
1,1,13361,25,2,13,13960
0,0,38151,47,22,61,39296
