GeneType,GeneDescription,GenomicStartPosition,OrthologId,ChromosomeId,EncodedProteinDescription,StrandOrientation,GeneDbId,GeneId,GenomicEndPosition
1,0,35924,24,25,3,1,227,227,38827
1,0,1893,184,135,3,0,184,184,4679
1,0,305485,13,59,3,0,304,304,308397
1,0,845194,70,40,3,0,312,312,847503
0,0,499289,138,0,0,0,132,132,502030
1,0,76656,97,3,3,1,80,80,79193
1,0,11,141,153,3,0,0,0,2449
0,0,4233,140,149,0,1,292,292,7010
1,0,488857,129,41,3,1,135,135,491613
1,0,18838,26,13,3,1,317,317,21822
1,0,228,84,67,3,1,97,97,3014
0,0,74987,5,24,0,1,18,18,77950
1,0,507728,4,27,3,1,142,142,510295
1,0,4911,158,41,3,1,215,215,7457
1,0,3815,92,140,3,0,234,234,6673
1,0,180063,9,30,3,1,314,314,181574
1,0,622190,36,28,3,0,230,230,625252
1,0,1130755,144,53,3,1,272,272,1133115
1,0,58218,136,47,3,1,176,176,60671
1,0,73,153,137,3,1,213,213,2940
0,0,7271,19,138,0,0,220,220,8383
0,0,14986,182,60,1,1,294,294,17724
1,0,10745,173,145,3,0,274,274,13435
0,0,83876,162,15,0,1,189,189,86361
1,0,223900,4,27,3,0,81,81,225780
1,0,576360,4,27,3,0,101,101,578138
1,0,500865,27,2,3,0,269,269,504140
1,0,635763,26,13,3,0,214,214,636457
1,0,845501,1,35,3,0,163,163,847195
1,0,490971,167,1,3,0,28,28,492362
1,0,233641,47,3,3,0,224,224,236472
0,0,776703,137,31,0,0,204,204,779582
1,0,4384,110,122,3,0,126,126,7188
1,0,6234,111,120,3,1,112,112,8831
0,0,648161,52,27,0,0,103,103,650247
1,0,31,108,152,3,0,306,306,984
1,0,159,107,76,3,1,24,24,1094
0,0,21590,133,145,0,0,275,275,24358
0,0,1,90,80,0,1,54,54,1225
1,0,626735,124,12,3,0,144,144,628999
1,0,11384,11,16,3,1,117,117,13990
1,0,25282,134,68,3,1,66,66,28068
1,0,408,68,94,3,1,256,256,3158
1,0,2348338,132,59,3,0,266,266,2351295
0,0,8926,29,103,0,0,58,58,9939
0,0,62292,23,25,0,1,86,86,65081
1,0,7148,14,143,3,1,248,248,9052
0,0,810235,46,40,0,0,313,313,811998
0,0,781197,94,31,0,0,205,205,782600
1,0,806,87,90,3,0,211,211,3790
1,0,1718519,13,59,3,1,41,41,1721524
0,0,2009265,154,57,2,0,11,11,2010044
0,0,793295,24,33,1,0,244,244,794113
1,0,1006142,13,59,3,0,190,190,1008775
0,0,64469,165,41,0,1,249,249,66235
1,0,652152,91,27,3,0,254,254,654938
1,0,5919,169,46,3,1,146,146,8756
0,0,1460,61,48,0,1,134,134,4216
1,0,408474,174,33,3,0,60,60,411506
0,0,1133828,155,58,0,0,138,138,1137976
0,0,2,85,88,0,0,128,128,1204
0,0,5578,109,9,0,1,16,16,8397
0,0,762982,7,31,0,0,203,203,764760
1,0,2,146,75,3,1,21,21,976
1,0,688522,21,37,3,0,276,276,690828
1,0,436,6,78,3,0,40,40,3258
1,0,4224,179,104,3,1,59,59,6116
0,0,603989,12,12,0,0,239,239,606712
1,0,18921,74,26,3,1,243,243,21218
1,0,6152,117,39,3,1,289,289,9121
1,0,30436,129,41,3,1,56,56,33240
0,0,489493,55,1,0,0,47,47,490870
1,0,2027,170,71,3,1,19,19,4777
0,0,24447,77,66,0,1,207,207,26225
1,0,19944,75,34,3,1,44,44,22430
1,0,12237,161,2,3,1,264,264,15107
0,0,166855,16,45,0,1,308,308,169188
0,0,660522,128,24,0,0,260,260,663320
0,0,55432,24,16,0,1,116,116,58458
0,0,1183688,61,48,0,0,71,71,1185502
1,0,641242,13,59,3,1,100,100,644271
1,0,14088,137,139,3,1,223,223,16574
0,0,2106,156,98,1,0,285,285,3713
1,0,57681,122,51,3,1,141,141,59561
0,0,1834,2,141,0,0,236,236,3597
1,0,3014,103,124,3,0,137,137,5794
0,1,653962,0,18,0,0,168,168,655728
1,0,39727,166,45,3,1,309,309,41742
1,0,827087,21,37,3,0,121,121,829858
1,0,757590,174,33,3,0,245,245,760085
0,0,166550,80,56,0,0,68,68,169312
1,0,128263,177,20,3,0,106,106,130785
1,0,120197,78,14,3,1,191,191,122539
0,0,591674,119,28,0,0,228,228,594892
0,0,567813,54,21,0,0,199,199,571445
1,0,687994,113,32,3,0,179,179,690966
1,0,7784,28,86,3,0,115,115,9553
1,0,581135,76,21,3,0,22,22,582823
0,0,1914173,154,57,0,1,173,173,1917064
1,0,24748,78,14,3,1,232,232,25743
1,0,69705,108,4,3,1,196,196,71114
0,0,101616,120,9,1,0,323,323,103187
0,0,700188,63,32,0,0,180,180,702008
1,0,582390,15,28,3,0,229,229,585311
1,0,2347587,86,60,3,0,167,167,2350211
1,0,909235,135,41,3,0,75,75,912033
1,0,9909,18,14,3,1,233,233,12191
1,0,1,115,116,3,1,94,94,1182
0,0,1391,60,52,0,1,136,136,4231
0,0,12280,154,68,0,1,67,67,14595
1,0,6577,48,95,3,0,257,257,9360
1,0,12005,10,54,3,1,303,303,14953
1,0,26915,83,29,3,1,162,162,29749
1,0,427406,174,33,3,0,186,186,430057
1,0,11690,59,114,3,0,92,92,14455
0,0,28739,161,18,1,1,280,280,30562
0,0,2574,2,142,0,0,242,242,4524
1,0,483109,17,48,3,0,25,25,486237
0,0,17038,87,136,0,0,185,185,19758
0,0,45534,99,113,0,1,83,83,47207
0,0,35517,163,118,0,1,104,104,36437
1,0,2761,38,108,3,1,70,70,5595
1,0,928565,135,41,3,0,226,226,931453
1,0,396,72,97,3,0,282,282,2693
0,0,1289,107,68,0,1,65,65,4036
1,0,90201,60,66,3,1,74,74,93761
1,0,9154,61,83,3,0,76,76,11733
1,0,704129,45,29,3,0,15,15,706189
0,0,118605,148,9,0,0,322,322,120500
1,0,23298,161,2,3,1,261,261,26060
1,0,348939,116,63,3,0,218,218,351197
1,0,30594,49,42,3,1,283,283,33122
1,0,1422420,144,53,3,0,14,14,1425113
1,0,685982,8,26,3,0,90,90,688837
0,0,54619,165,41,1,1,250,250,56433
0,0,3,25,73,1,1,12,12,1739
0,0,200095,129,62,0,0,300,300,201879
1,0,1318300,86,60,3,0,152,152,1320804
1,0,625434,91,27,3,0,102,102,628364
0,0,1517,160,134,0,0,183,183,3779
