GeneType,GeneDescription,GenomicStartPosition,OrthologId,ChromosomeId,EncodedProteinDescription,StrandOrientation,GeneDbId,GeneId,GenomicEndPosition
0,0,10807,2,111,1,1,140,140,12909
0,0,3223,122,99,1,0,97,98,5583
1,0,454787,41,9,0,0,88,89,457048
0,0,476677,137,6,1,0,231,231,478833
0,0,14662,90,114,1,0,149,149,16869
1,0,550654,50,15,0,0,219,219,552888
0,0,833647,96,28,1,0,95,96,835809
0,0,2336,122,87,1,0,49,50,4603
1,0,1067095,11,45,0,0,209,209,1069200
0,0,667,94,71,1,0,36,37,2907
0,0,509,42,115,1,0,152,152,2776
1,0,73994,30,33,0,1,177,177,76342
1,0,1165567,109,41,0,0,142,142,1167843
0,0,22,30,69,3,1,4,5,1026
0,1,690150,89,19,1,0,69,70,692573
0,0,26149,88,17,3,1,7,8,27924
0,0,752403,0,26,1,0,173,173,754574
1,0,1155433,51,42,0,0,115,115,1157625
1,0,10912,37,39,0,1,111,111,12933
1,0,94266,25,5,0,1,222,222,96434
1,0,43330,24,120,0,1,195,195,45480
0,0,602554,66,20,1,0,80,81,604953
0,0,38,53,59,1,0,10,11,2152
1,0,760970,110,37,0,0,83,84,763015
0,0,1969,49,19,1,1,71,72,4215
0,0,478230,87,4,1,0,38,39,480713
1,0,112868,67,3,0,1,9,10,114439
0,0,2560,38,73,2,1,59,60,3201
1,0,61057,126,51,0,1,221,221,61722
0,0,42840,21,18,1,0,100,101,45278
1,0,48507,56,104,0,1,119,119,50723
1,0,560179,69,10,0,0,171,171,562476
0,0,53914,31,5,1,1,84,85,56175
0,2,1,122,93,3,1,58,59,1518
0,0,1006993,115,38,1,0,45,46,1009290
0,0,9286,122,105,1,1,122,122,11646
0,0,485114,71,17,1,0,93,94,487264
0,0,44773,1,118,1,1,175,175,47037
0,0,369323,21,18,1,0,170,170,371476
0,0,476408,132,9,3,0,11,12,477337
0,0,1832923,104,46,1,0,67,68,1835184
1,0,52601,37,39,0,1,113,113,53359
1,0,1,5,68,0,0,19,20,1287
1,0,439797,12,29,0,1,91,92,441740
1,0,79698,7,5,0,1,12,13,81519
0,0,69566,112,49,1,1,213,213,71686
0,0,704929,117,23,1,0,48,49,707127
0,0,62692,59,50,1,1,218,218,65232
1,0,775140,111,31,0,0,224,224,777368
0,0,921,55,22,1,1,126,126,3230
0,0,2,122,86,3,1,47,48,1669
0,0,3963,100,84,2,1,44,45,5540
1,0,370655,12,29,0,1,230,230,372955
0,0,2188577,129,52,1,1,87,88,2191081
1,0,8994,65,31,0,1,139,139,11060
0,0,1923,121,35,1,1,235,235,4184
0,0,40902,93,55,1,1,155,155,43304
1,0,111105,50,15,0,1,165,165,113111
0,0,56687,86,55,1,1,41,42,59089
1,0,1186812,74,50,0,0,188,188,1189025
1,0,803291,44,38,0,0,178,178,805063
1,0,1833030,23,47,0,0,204,204,1835456
0,0,5259,122,89,1,1,52,53,7454
0,0,610807,95,10,2,0,109,109,611448
0,0,2860,106,116,1,1,157,157,5046
1,0,1202680,16,44,0,0,196,196,1204656
0,0,1761,16,16,1,1,163,163,4025
0,0,386,42,34,1,1,24,25,2650
1,0,558669,19,52,0,1,98,99,560447
1,0,333633,9,29,0,1,153,153,335828
1,0,478171,64,44,0,0,203,203,480279
1,0,5501,65,31,0,1,6,7,7012
1,0,747,116,112,0,1,143,143,2096
0,0,2,122,106,3,0,5,6,1138
1,0,1113876,39,40,0,0,150,150,1116077
0,0,74154,98,50,1,1,29,30,76316
1,0,495853,125,1,0,0,101,102,496899
0,0,12949,60,30,1,1,205,205,15153
0,0,1024990,96,37,1,0,76,77,1027491
1,0,168412,90,48,0,1,121,121,170211
1,0,796943,65,31,0,0,225,225,799420
0,0,375522,118,57,1,0,96,97,377705
0,0,1401,78,117,1,0,160,160,3932
0,0,913312,13,33,3,0,63,64,914046
0,0,243822,124,19,2,0,156,156,244454
0,0,393970,132,9,2,0,20,21,394758
0,0,572120,35,21,1,0,168,168,574603
1,0,2943,99,81,0,0,217,217,5117
1,0,250869,120,28,0,0,129,129,252998
1,0,1,101,75,0,0,159,159,1108
1,0,90784,109,41,0,1,92,93,92964
0,0,824,122,89,1,1,51,52,3133
1,0,468923,68,51,0,0,187,187,470842
1,0,1852,4,70,0,0,30,31,4059
0,0,2230,45,17,1,1,1,2,4593
1,0,687517,10,52,0,0,82,83,689616
1,0,596190,9,21,0,0,167,167,598394
1,0,182789,84,58,0,0,117,117,185005
0,0,505363,31,3,1,0,191,191,507624
1,0,456733,69,10,0,0,172,172,459000
1,0,121439,57,8,0,0,232,232,123424
0,0,50910,119,38,1,1,223,223,53099
1,0,2628,11,82,0,1,42,43,4883
0,0,3179,122,90,3,1,53,54,4516
1,0,14941,128,102,0,1,106,107,17178
0,0,80040,59,13,2,1,3,4,81116
0,0,701787,21,23,2,0,72,73,703891
0,0,77369,86,55,1,1,116,116,79561
0,0,1446,135,66,1,1,22,23,3704
1,0,297915,79,11,0,1,227,227,299939
0,0,112891,113,22,1,1,158,158,115059
0,0,3,115,61,2,0,13,14,827
0,0,26538,132,37,1,1,81,82,28523
1,0,545198,20,7,0,0,132,132,547726
0,0,17227,115,121,1,0,198,198,19404
0,0,1037046,132,37,1,0,77,78,1039862
1,0,1935421,19,52,0,0,25,26,1937904
1,0,50840,27,0,0,0,182,182,52834
1,0,11750,7,104,0,1,120,120,13918
1,0,16122,33,107,0,1,131,131,18062
1,0,60651,102,24,0,1,147,147,62927
1,0,14127,133,96,0,0,73,74,16106
0,0,5362,122,91,1,0,54,55,7548
0,0,827244,52,47,1,1,193,193,828692
0,0,710958,21,23,2,0,32,33,711734
0,0,479794,30,10,1,0,110,110,482055
1,0,86993,92,16,0,1,206,206,89110
0,0,68619,45,40,1,1,136,136,71096
0,0,1,91,77,3,1,164,164,798
0,0,2325364,109,52,3,0,17,18,2326647
0,0,7598,123,80,1,1,208,208,9859
0,0,119534,80,3,3,1,185,185,120751
0,0,7252,17,123,1,0,211,211,9642
0,0,26043,122,103,1,0,108,0,28514
0,0,101,58,8,3,1,85,86,1699
0,0,3,115,63,2,0,16,17,1333
1,0,465892,132,2,0,0,40,41,468090
1,0,808763,76,32,0,0,210,210,811009
1,0,617003,41,9,0,0,202,202,619207
0,0,192110,40,53,1,0,123,123,194620
0,0,49749,36,43,1,1,103,104,52112
0,0,12933,61,74,1,0,64,65,14957
1,0,2,85,94,0,1,65,66,1621
1,0,811541,110,37,0,0,180,180,813661
