Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,13580138,100,100,2,0,13578653,1
0,10821920,84,84,2,0,10820229,0
0,6956172,54,54,2,0,6955569,0
1,8422594,65,65,3,1,8420066,0
0,9310089,75,75,2,0,9309220,0
0,10429864,78,78,5,0,10428729,1
0,3221626,27,27,5,0,3220494,0
0,2102690,15,15,11,0,2100093,1
0,20867515,143,143,1,0,20866022,0
0,12246771,92,92,2,0,12245099,0
0,2680808,19,19,16,0,2679423,0
0,1401408,10,10,1,0,1400647,0
0,20915947,144,144,1,0,20914958,1
0,9221896,74,74,5,0,9220525,1
0,6842720,53,53,5,0,6840311,1
1,6638754,52,52,4,1,6637225,0
0,15741,0,0,18,0,14537,1
0,18735986,133,133,15,0,18734498,0
0,5430215,43,43,23,0,5429553,0
0,9311660,76,76,1,0,9310200,0
1,17401205,123,123,13,1,17399302,1
0,23649517,155,155,2,0,23648664,1
0,6441604,51,51,2,0,6440312,0
0,12849258,96,96,2,0,12848426,1
1,20479303,141,141,6,1,20477665,0
0,2737107,20,20,5,0,2736457,1
0,981427,6,6,5,0,980799,0
1,3054496,24,24,4,1,3053067,0
0,2642795,18,18,16,0,2641014,0
0,3511059,31,31,5,0,3509868,0
0,14451589,108,108,1,0,14449142,0
0,23514561,154,154,1,0,23513521,1
0,15398283,113,113,1,0,15396637,1
0,4838125,39,39,9,0,4836803,0
0,12488986,93,93,2,0,12486822,1
0,18766836,134,134,2,0,18765534,1
0,7776355,59,59,1,0,7775540,1
0,3453161,30,30,1,0,3451287,0
0,18932862,135,135,2,0,18931125,0
0,8066513,61,61,5,0,8065765,0
0,13391838,99,99,5,0,13390600,1
0,2579015,16,16,11,0,2576673,0
0,14931220,111,111,1,0,14928527,0
0,11473094,86,86,1,0,11472201,1
0,13980614,105,105,2,0,13979644,1
0,34835,165,165,19,0,33567,1
0,7857029,60,60,1,0,7856016,1
1,4299137,34,34,4,1,4297472,1
0,13813861,101,101,1,0,13812362,0
0,11600931,88,88,2,0,11599714,1
1,8836279,70,70,7,1,8834339,1
0,8643477,66,66,5,0,8642485,1
0,14939089,112,112,5,0,14937890,0
0,3097194,25,25,1,0,3096508,0
0,12567288,94,94,2,0,12566661,1
0,6016720,47,47,2,0,6015477,1
0,1662089,13,13,5,0,1659698,1
0,14766244,110,110,20,0,14765282,0
0,11497432,87,87,2,0,11496159,0
0,2912105,22,22,1,0,2911437,1
0,938369,5,5,2,0,937674,0
0,24218799,160,160,1,0,24217882,0
0,18449802,131,131,2,0,18448896,0
0,421354,1,1,11,0,418907,0
0,2597044,17,17,14,0,2596686,1
0,22586503,151,151,8,0,22583996,1
0,23902858,158,158,2,0,23901544,1
0,15431493,114,114,10,0,15429022,1
0,42748,167,167,14,0,41047,1
0,2862968,21,21,5,0,2861630,1
0,12160930,91,91,8,0,12160046,1
0,16835079,119,119,22,0,16833925,1
0,23866829,157,157,2,0,23865703,1
0,16416071,118,118,21,0,16413631,1
0,11654127,89,89,8,0,11653435,1
1,563875,4,4,6,1,561461,0
0,6170322,48,48,2,0,6168823,1
0,13282465,98,98,25,0,13280789,0
0,16920482,120,120,18,0,16919435,1
0,19133424,137,137,1,0,19132048,1
0,6835,163,163,14,0,4667,1
0,21703774,148,148,2,0,21701900,0
0,17627223,126,126,2,0,17625592,1
0,7009171,55,55,2,0,7008393,1
0,18038313,128,128,2,0,18037247,1
0,6362947,50,50,5,0,6361372,1
0,4102721,33,33,12,0,4101290,1
0,14479105,109,109,2,0,14478302,0
0,3312359,29,29,1,0,3311109,1
0,13013122,97,97,1,0,13011857,0
0,2003214,14,14,5,0,2002366,0
0,17542792,124,124,2,0,17541345,0
0,17122877,121,121,5,0,17120601,1
0,8306625,63,63,5,0,8305246,1
0,3235158,28,28,2,0,3233849,1
0,20286216,139,139,5,0,20285100,1
0,4365383,35,35,23,0,4363173,1
0,9200825,73,73,5,0,9199485,1
0,17643761,127,127,2,0,17642746,0
1,3802426,32,32,13,1,3800009,0
1,15463044,115,115,0,1,15461240,1
1,40361,166,166,17,1,37650,1
0,10634319,81,81,1,0,10632709,1
0,5210452,41,41,24,0,5209340,1
0,14201412,106,106,22,0,14200354,1
0,21840929,149,149,1,0,21839502,1
0,18150907,129,129,5,0,18149782,1
0,23311866,153,153,2,0,23310921,0
0,4622430,37,37,23,0,4620634,1
0,8297673,62,62,2,0,8296462,1
0,3049161,23,23,24,0,3048399,0
0,424362,2,2,22,0,423166,0
0,11412405,85,85,2,0,11411355,0
1,8987276,71,71,4,1,8985246,0
0,8380600,64,64,2,0,8379902,1
0,21107478,146,146,2,0,21106076,0
0,22342311,150,150,1,0,22341328,1
0,8750931,69,69,1,0,8750116,0
0,448516,3,3,16,0,445739,0
0,1005104,7,7,2,0,1003707,1
0,5764705,46,46,2,0,5763288,1
0,20600592,142,142,1,0,20599396,0
0,13967339,104,104,16,0,13965975,0
0,1044324,9,9,5,0,1043726,0
0,18233087,130,130,1,0,18230676,0
0,7252202,57,57,5,0,7251567,0
0,21033305,145,145,1,0,21032577,1
0,14264630,107,107,5,0,14263463,0
0,19361160,138,138,2,0,19359904,0
0,22800650,152,152,1,0,22799643,0
0,6283351,49,49,2,0,6282458,0
0,5212347,42,42,1,0,5211163,1
0,10815148,83,83,2,0,10814110,1
0,4756236,38,38,5,0,4754812,0
0,19131431,136,136,11,0,19128978,1
0,24324304,161,161,2,0,24323249,0
0,18526135,132,132,1,0,18525296,0
0,5646569,45,45,1,0,5645517,0
0,4431456,36,36,26,0,4430512,1
1,8706530,68,68,3,1,8704372,0
0,1565906,12,12,5,0,1564519,1
0,5596435,44,44,2,0,5595701,0
0,17573162,125,125,1,0,17572161,0
0,24075061,159,159,2,0,24073248,1
0,13816694,102,102,16,0,13815414,0
0,3098509,26,26,1,0,3097631,0
0,17383110,122,122,5,0,17381675,1
0,23718778,156,156,2,0,23717642,0
0,9294,164,164,14,0,6891,1
0,4910787,40,40,5,0,4909550,1
0,15945723,116,116,2,0,15943858,1
0,13953853,103,103,1,0,13952477,0
0,16025845,117,117,8,0,16025135,0
0,10517795,80,80,2,0,10516812,1
0,9369143,77,77,5,0,9368165,0
0,11737964,90,90,2,0,11736173,0
0,8662629,67,67,1,0,8661322,0
1,7507311,58,58,4,1,7506176,0
0,12665749,95,95,1,0,12664313,1
0,24717108,162,162,2,0,24715475,1
0,1471242,11,11,2,0,1469688,1
0,21368024,147,147,2,0,21366772,1
0,7207112,56,56,1,0,7205454,1
0,10790484,82,82,1,0,10789222,0
0,1005618,8,8,2,0,1005001,1
0,9120663,72,72,1,0,9118189,1
0,20333137,140,140,1,0,20331131,0
0,10514318,79,79,1,0,10512900,0
