Continent,CommonsCategory,OpenStreetMapRelationId,MusicBrainzAreaId,EncyclopediaOfChinaThirdEditionId,EncyclopdiaBritannicaOnlineId,MuseumDigitalPlaceId,FreebaseId,NationalLibraryOfSpainId,GranEnciclopediaCatalanaId,INaturalistPlaceId,NlCrAutId,CapitalCity,TotalArea,CurlieId,TimeZone,WhosOnFirstId,KBpediaId,GranEnciclopediaCatalanaIdFormerScheme,InterlingualIndexId,CountryName,NationalHistoricalMuseumsOfSwedenId,NdlAuthorityId,MainCategory,Longitude,CoatOfArmsImage,LibraryOfCongressAuthorityId,YsoId,LocatorMapImage,BabelNetId,ViafId,GeoNamesId,GacsId,ArchInformLocationId,AssociatedPeopleCategory,Latitude,QuoraTopicId,GreatRussianEncyclopediaOnlineIdOldVersion,NationalLibraryOfIsraelJ9uId,StoreNorskeLeksikonId,OnlinePwnEncyclopediaId,CountryDescription,BirthCategory,DeweyDecimalClassification,GndId,WordNet31SynsetId
0,11,443174.0,6,586476.0,9,929.0,7,1,4,6873.0,3,8,343448.0,8,3,85632509.0,11,230990.0,11,11,10,563248.0,11,123.0,4,3,105189.0,9,6,6.461458578700231e+20,1694008.0,484.0,4921.0,3,12.0,12,4712529.0,9.870075617968051e+17,3,4169035.0,0,6,5,8,10
0,3,911844.0,11,291382.0,2,17422.0,11,10,0,53101.0,12,3,179800.0,3,6,85669743.0,3,,1,3,2,400600.0,3,113.5,10,6,,3,8,123100736.0,1809935.0,14782.0,6101.0,8,23.4,3,1933925.0,9.870075503041052e+17,4,3908623.0,7,7,10,11,0
0,7,184633.0,7,583482.0,6,11615.0,2,3,8,7335.0,6,6,147181.254346,7,5,85632465.0,7,45787.0,7,7,1,568106.0,7,84.0,6,4,107682.0,8,4,138363788.0,1282988.0,472.0,3019.0,6,28.0,7,2260947.0,9.870075503455052e+17,8,4169109.0,2,8,1,6,6
2,9,4521144.0,9,574034.0,0,25895.0,4,0,0,7915.0,11,5,82680.95,0,7,85672115.0,10,,0,9,0,1053666.0,9,138.5,3,0,,11,8,,1643012.0,,,10,-2.5,8,,9.870074717754052e+17,10,,8,8,8,3,12
1,12,60189.0,1,286606.0,10,2178.0,8,0,11,7161.0,8,9,17075400.0,11,4,85632685.0,12,57409.0,12,12,4,569699.0,12,94.25,1,10,94479.0,12,7,168830626.0,2017370.0,253.0,3034.0,11,66.4166666667,11,3515565.0,9.870075309815052e+17,12,4169129.0,9,5,10,10,11
0,1,184640.0,2,583046.0,11,13251.0,0,5,2,7154.0,1,2,147570.0,1,0,85632475.0,1,221264.0,5,1,6,560507.0,1,89.866667,7,8,105275.0,1,8,153614928.0,1210997.0,715.0,2968.0,1,24.016667,1,4067019.0,9.870075645743052e+17,1,4169003.0,2,1,0,12,4
2,8,3986076.0,8,,7,1878.0,5,0,9,,10,10,785753.0,0,2,,8,46482.0,3,8,0,628885.0,8,140.0,10,12,108110.0,6,8,238365035.0,2082514.0,,,12,-5.0,9,2665726.0,9.870075293001052e+17,9,3948569.0,5,8,7,9,2
3,0,80500.0,0,668304.0,1,5000.0,10,8,1,6744.0,0,1,7692024.0,9,8,85632793.0,0,6201.0,2,0,11,871911.0,0,133.0,0,1,105116.0,0,0,128919823.0,2077456.0,16.0,2966.0,0,-25.0,0,3247421.0,9.870075548096051e+17,0,4168998.0,1,0,6,0,1
0,6,2108121.0,4,558705.0,5,2331.0,9,4,7,7155.0,5,7,330803.0,6,6,85632739.0,6,39394.0,10,6,3,567491.0,6,102.3143616667,2,2,105717.0,7,5,128419926.0,1733045.0,670.0,3013.0,5,3.7805111,6,2168141.0,9.870072649415052e+17,7,4169094.0,3,3,2,5,9
0,2,2103120.0,5,330491.0,12,23127.0,1,9,3,7838.0,2,0,5765.313533,2,6,85632749.0,2,12555.0,6,2,9,561084.0,2,114.566667,5,9,105714.0,2,8,124267318.0,1820814.0,676.0,6015.0,2,4.4,2,4113454.0,9.870075620183052e+17,2,4169015.0,10,8,3,1,5
0,5,9444963.0,8,558504.0,4,1308.0,12,7,6,6996.0,9,10,128297.0,5,1,102020395.0,5,34420.0,9,5,5,628626.0,5,110.0044444444,10,11,159783.0,5,3,152057336.0,1642673.0,8023.0,2807.0,9,-7.4916666667,5,4933874.0,9.870075315095052e+17,6,3917307.0,6,2,10,4,8
0,4,304751.0,10,558647.0,3,24897.0,3,2,5,6966.0,4,4,1904570.0,4,1,85632203.0,4,33596.0,8,4,8,871922.0,4,118.0,8,5,105242.0,4,1,125405737.0,1643084.0,199.0,2990.0,4,-2.0,4,2010387.0,9.870075525048051e+17,5,4169054.0,4,8,4,2,7
2,10,307866.0,3,547553.0,8,1880.0,6,6,10,7013.0,7,11,462840.0,10,8,85632347.0,9,48919.0,4,10,7,569039.0,10,147.0,9,7,105105.0,10,2,151781392.0,2088628.0,31.0,3027.0,7,-6.3,10,2705845.0,9.870075550459052e+17,11,4169120.0,1,4,9,7,3
