Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
1,13580138,100,100,2,7,13578653
0,10821920,84,84,2,2,10820229
0,6956172,54,54,2,2,6955569
0,8422594,65,65,3,9,8420066
0,9310089,75,75,2,7,9309220
1,10429864,78,78,5,7,10428729
1,3235158,27,27,2,7,3233849
0,2141514,15,15,11,2,2139061
0,20867515,143,143,1,1,20866022
0,12246771,92,92,2,7,12245099
1,2728681,19,19,23,7,2727125
1,1471242,10,10,2,7,1469688
1,20915947,144,144,1,1,20914958
1,9221896,74,74,5,7,9220525
1,6842720,53,53,5,7,6840311
0,6638754,52,52,4,8,6637225
1,15741,0,0,19,7,14537
0,18735986,133,133,15,1,18734498
0,5596435,43,43,2,7,5595701
0,9311660,76,76,1,7,9310200
1,17401205,123,123,13,8,17399302
1,23649517,155,155,2,1,23648664
0,6441604,51,51,2,7,6440312
1,12849258,96,96,2,7,12848426
0,20479303,141,141,6,9,20477665
1,2862968,20,20,5,7,2861630
0,981427,6,6,5,7,980799
0,3097194,24,24,1,2,3096508
0,2680808,18,18,16,2,2679423
0,3802426,31,31,13,8,3800009
0,14451589,108,108,1,2,14449142
1,23514561,154,154,1,1,23513521
1,15398283,113,113,1,7,15396637
1,4910787,39,39,5,7,4909550
1,12488986,93,93,2,7,12486822
1,18766836,134,134,2,3,18765534
1,7776355,59,59,1,7,7775540
0,3511059,30,30,5,7,3509868
0,18932862,135,135,2,1,18931125
0,8066513,61,61,5,2,8065765
1,13391838,99,99,5,2,13390600
1,2597044,16,16,14,7,2596686
0,14931220,111,111,1,7,14928527
1,11473094,86,86,1,2,11472201
1,13980614,105,105,2,7,13979644
1,34835,165,165,20,0,33567
1,7857029,60,60,1,7,7856016
1,4365383,34,34,24,7,4363173
0,13813861,101,101,1,2,13812362
1,11600931,88,88,2,7,11599714
1,8836279,70,70,7,9,8834339
1,8643477,66,66,5,7,8642485
0,14939089,112,112,5,7,14937890
0,3098509,25,25,1,7,3097631
1,12567288,94,94,2,7,12566661
0,6088421,47,47,1,7,6085950
0,2003214,13,13,5,2,2002366
0,14766244,110,110,21,2,14765282
0,11497432,87,87,2,7,11496159
0,3049161,22,22,25,7,3048399
