Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,301826,242,242,2,0,90,299487
1,32772,98,98,1,1,117,29866
1,373899,29,29,2,0,26,371611
1,721934,76,76,2,0,34,719244
0,428427,89,89,3,0,84,425755
1,1516533,44,44,2,0,62,1514173
0,465591,162,162,2,0,113,462814
1,54199,32,32,2,0,46,51578
1,952113,117,117,1,1,39,949273
1,1062895,234,234,2,0,86,1060310
1,199898,36,36,1,1,94,197364
0,404584,119,119,2,0,93,402206
0,473501,202,202,3,0,122,470631
0,246580,88,88,2,0,4,243767
0,33755,27,27,2,0,56,30969
0,355891,244,244,2,0,117,353552
1,993191,45,45,2,0,62,990858
1,1100880,194,194,1,1,39,1098211
0,1123469,221,221,1,1,95,1120611
0,1161129,167,167,2,0,112,1158613
1,32977,216,216,1,1,115,30248
1,33431,26,26,2,0,99,30843
0,184674,6,6,2,0,96,182293
1,1757922,188,188,2,0,33,1755496
0,553480,174,174,3,0,66,550610
0,16153,30,30,2,0,46,13502
1,292921,245,245,2,0,120,290183
0,256062,179,179,2,0,121,253732
0,25495,51,51,2,0,99,22811
1,8691,195,195,2,0,29,6085
1,180436,213,213,2,0,44,177890
1,15222,212,212,2,0,6,12538
0,849988,205,205,2,0,80,847319
1,1966199,104,104,2,0,40,1963551
0,546874,143,143,2,0,106,544250
0,1024944,233,233,2,0,86,1022305
0,519004,251,251,2,0,75,516413
0,1176004,166,166,2,0,105,1173581
1,82609,138,138,3,0,42,79808
0,316755,120,120,1,1,95,314314
0,735391,129,129,2,0,74,733043
1,483376,97,97,2,0,108,480707
0,1314205,91,91,2,0,112,1311887
1,1015945,209,209,2,0,72,1013150
1,204433,64,64,2,0,45,201761
1,1800605,109,109,2,0,74,1797939
1,125132,82,82,2,0,47,122370
0,17633,22,22,1,1,65,14982
0,4209,122,122,2,0,68,1423
0,187941,232,232,2,0,37,185287
0,1035713,59,59,2,0,50,1032837
0,425184,136,136,2,0,54,422410
0,513629,257,257,3,0,83,510834
1,568671,173,173,2,0,2,566338
0,1115182,220,220,2,0,78,1112378
0,432436,159,159,1,1,62,429818
1,218715,56,56,2,0,71,215884
1,86749,153,153,1,1,69,84020
0,396102,71,71,1,1,94,393418
0,107074,254,254,1,1,73,104540
0,622377,42,42,2,0,8,620053
0,389747,164,164,1,1,126,387120
0,422008,200,200,2,0,32,419294
0,1065877,198,198,2,0,111,1063010
0,378614,163,163,2,0,88,375975
0,309384,111,111,2,0,121,306937
1,585607,83,83,2,0,120,583331
0,7162,20,20,2,0,46,4697
1,650434,40,40,3,0,38,647633
1,23290,218,218,2,0,74,20606
0,9867,62,62,2,0,99,7462
1,442799,201,201,1,1,48,439932
0,1713823,8,8,2,0,87,1711409
0,700388,15,15,2,0,107,697620
0,14845,48,48,3,0,51,11996
0,8092,214,214,2,0,43,5759
1,13979,197,197,1,1,0,11352
0,1045611,208,208,3,0,72,1042786
0,15062,87,87,2,0,46,12438
0,1061168,113,113,4,0,72,1059124
1,8115,172,172,3,0,45,5269
1,379418,170,170,2,0,52,376740
1,2047179,184,184,2,0,81,2044399
0,585177,204,204,3,0,22,582301
0,475012,142,142,2,0,114,472298
0,1324430,90,90,2,0,62,1322082
0,1156973,236,236,2,0,30,1154469
1,9580,196,196,1,1,38,6749
1,50888,152,152,2,0,52,48174
1,1096585,235,235,2,0,102,1093946
0,758419,46,46,2,0,21,756089
0,12594,151,151,2,0,46,9967
1,9089,217,217,2,0,23,6579
0,45075,125,125,1,1,25,42286
1,1611964,101,101,1,1,82,1609262
0,1828534,108,108,2,0,86,1825916
0,466038,177,177,2,0,65,463714
0,1865809,106,106,2,0,74,1862957
0,139709,253,253,2,0,91,138117
0,290907,118,118,1,1,17,288478
1,1171520,39,39,2,0,7,1169280
1,2060220,183,183,2,0,102,2057611
0,800723,165,165,2,0,3,798375
1,12158,11,11,2,0,55,9363
0,21771,85,85,2,0,46,19363
0,488327,203,203,3,0,22,485541
0,454333,158,158,2,0,107,451748
0,262330,243,243,2,0,84,259847
0,568854,259,259,2,0,106,566233
1,16377,145,145,2,0,46,13513
1,180486,35,35,2,0,42,177754
0,1633076,186,186,1,1,28,1630521
0,602587,43,43,2,0,86,600077
0,736453,80,80,3,0,72,733583
1,1129346,169,169,2,0,62,1126764
0,20976,58,58,2,0,8,18310
0,5331,150,150,2,0,99,2932
1,629809,114,114,3,0,5,627020
0,1825289,187,187,2,0,62,1822929
0,590672,258,258,1,1,62,588504
1,6553,121,121,2,0,63,4166
0,1152306,222,222,2,0,116,1149583
1,13678,156,156,2,0,15,10931
0,468388,69,69,3,0,80,465485
0,476059,149,149,1,1,104,473501
1,1152001,180,180,1,1,110,1149578
1,1007699,206,206,2,0,72,1005114
1,1147282,168,168,2,0,62,1144757
0,696919,74,74,2,0,22,694046
0,1582479,185,185,1,1,97,1579936
1,221070,141,141,2,0,86,218443
0,463778,81,81,2,0,35,460986
0,11062,5,5,2,0,36,8450
1,1570228,100,100,5,0,41,1568267
0,280853,65,65,2,0,127,278046
0,546370,47,47,2,0,96,543824
0,399549,238,238,2,0,54,396772
0,57145,57,57,3,0,92,54284
0,817323,79,79,2,0,72,814468
0,408107,17,17,1,1,23,405750
1,60414,227,227,2,0,12,57859
1,988200,207,207,2,0,34,985546
1,7898,10,10,2,0,64,5274
0,245264,49,49,2,0,2,242583
0,4732,124,124,2,0,99,2051
0,21506,60,60,2,0,99,18858
1,23129,127,127,3,0,99,20358
0,428401,70,70,2,0,76,425663
0,1014233,135,135,1,1,28,1011738
0,34218,61,61,2,0,99,31414
1,2102129,103,103,2,0,102,2099463
0,15093,157,157,3,0,128,12226
0,1317329,99,99,2,0,87,1314768
1,352788,249,249,2,0,111,350182
1,565683,140,140,2,0,117,563344
1,10603,7,7,3,0,1,7772
1,212927,0,0,5,0,24,211077
0,1200167,193,193,2,0,34,1197396
0,652210,96,96,2,0,11,649424
1,10893,92,92,2,0,60,8359
1,4709,31,31,2,0,51,2067
0,119436,255,255,2,0,13,116878
1,14331,230,230,2,0,24,11776
1,1650945,12,12,2,0,125,1648582
0,7054,123,123,2,0,51,4541
1,456596,16,16,2,0,37,453903
1,3590,211,211,2,0,29,942
0,1816759,189,189,2,0,112,1814429
1,2010450,110,110,2,0,113,2008033
1,529696,176,176,2,0,66,526820
0,272153,66,66,2,0,72,269451
1,423886,67,67,2,0,117,421607
1,408724,139,139,1,1,31,406415
0,1189938,225,225,2,0,109,1187140
0,25731,9,9,3,0,58,22858
0,35248,52,52,2,0,99,32438
1,2099,3,3,5,0,124,3
0,867065,116,116,2,0,72,864531
1,460231,148,148,2,0,24,457457
1,2171498,182,182,2,0,102,2169063
0,783613,78,78,2,0,34,780839
1,35322,191,191,2,0,63,32611
0,506933,19,19,3,0,72,504105
1,41459,219,219,3,0,108,38613
0,584285,175,175,0,0,21,581721
0,404953,161,161,2,0,88,402317
0,16042,112,112,3,0,51,13142
1,574686,147,147,1,1,93,571897
1,596823,95,95,2,0,119,594229
0,71558,154,154,1,1,77,69066
0,1102343,226,226,2,0,78,1099539
0,556640,252,252,2,0,98,553878
0,22835,146,146,2,0,99,20457
0,65602,25,25,2,0,46,62846
0,321121,171,171,2,0,97,318503
1,3099,86,86,2,0,51,313
1,2201057,55,55,2,0,112,2198634
0,1882048,105,105,1,1,118,1879670
0,2065088,102,102,1,1,28,2062416
1,8030,144,144,2,0,51,5538
1,54570,28,28,3,0,56,51787
1,12466,229,229,2,0,103,9926
0,1745786,13,13,2,0,74,1743231
0,1181628,224,224,2,0,78,1179322
1,580806,94,94,5,0,85,578836
1,565358,84,84,2,0,112,563163
1,935144,132,132,2,0,86,932427
1,7331,93,93,3,0,61,4482
1,156435,34,34,3,0,86,153649
1,249052,73,73,2,0,3,246272
1,344245,14,14,2,0,100,341906
1,194602,248,248,3,0,86,191840
0,536061,256,256,2,0,88,533287
0,1851640,107,107,2,0,81,1848668
1,450835,68,68,2,0,117,448496
0,14547,21,21,2,0,46,12235
0,417885,137,137,2,0,53,415123
1,237391,72,72,2,0,20,234584
0,7271,23,23,2,0,99,4884
0,3982,2,2,2,0,70,1541
1,21057,155,155,2,0,43,18763
0,388287,239,239,2,0,116,385492
0,11601,41,41,2,0,51,9187
0,185153,24,24,2,0,128,182502
0,110238,228,228,3,0,101,107374
0,768058,77,77,2,0,72,765323
1,8573,215,215,2,0,65,6039
1,7513,4,4,2,0,123,4757
1,191757,115,115,2,0,59,188965
1,205713,246,246,2,0,19,202903
1,1484951,181,181,3,0,45,1482129
1,880730,134,134,2,0,40,877992
1,12861,240,240,2,0,109,10087
0,763632,130,130,2,0,74,761305
0,1731005,190,190,3,0,7,1728183
0,171302,231,231,4,0,11,169443
1,187696,247,247,2,0,14,185057
1,2180588,54,54,2,0,57,2178147
1,17047,38,38,2,0,105,14579
0,222070,178,178,2,0,67,219359
0,1169591,223,223,3,0,108,1166769
1,2776,50,50,1,1,10,113
1,950785,133,133,2,0,40,948302
0,8596,126,126,2,0,51,5819
0,24923,63,63,2,0,18,22032
0,42017,199,199,1,1,49,39222
1,1150558,192,192,1,1,89,1147775
1,665447,75,75,3,0,22,662586
0,276688,210,210,1,1,97,274223
1,396615,250,250,1,1,9,394090
0,381075,237,237,2,0,16,378301
0,2113696,53,53,1,1,28,2111357
0,255561,18,18,1,1,39,253126
1,22052,241,241,2,0,7,19278
0,198843,128,128,2,0,79,196225
1,775880,131,131,2,0,81,773208
0,421319,160,160,2,0,126,418704
1,167573,37,37,3,0,27,164778
1,11536,33,33,2,0,51,9554
1,597333,1,1,1,1,9,595705
