Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,1169344,40,40,1,0,25,1158920
1,7614,2,0,0,0,2,1030
1,609988,156,156,1,0,124,605538
0,1211309,161,161,1,0,132,1200861
1,71128,80,80,1,0,17,60752
1,18759,150,150,3,1,74,8548
1,52109,55,55,1,0,60,41772
1,18044,36,36,1,0,9,13358
0,424181,137,137,1,0,64,413739
0,225503,222,222,1,0,116,215040
0,1026196,140,140,3,1,35,1015775
0,330111,108,108,1,0,71,322282
1,458221,50,50,1,0,110,447770
0,328819,64,64,1,0,68,318764
0,18045,172,172,1,0,65,7588
1,83617,100,100,1,0,89,73238
0,743366,13,13,3,1,92,733188
0,775910,130,130,1,0,91,765552
1,22103,169,169,1,0,52,14689
0,332104,166,166,1,0,52,321641
1,7780,9,9,2,0,123,2
0,818767,119,119,1,0,121,810066
0,573981,157,157,1,0,124,563530
1,459416,61,61,1,0,139,449073
1,5380,25,25,3,1,26,2
1,214744,10,10,3,1,38,206012
1,31572,74,74,1,0,24,21127
1,63253,173,173,1,0,76,52823
0,286931,190,190,1,0,97,283691
0,149649,114,114,2,0,25,143326
1,14171,178,178,2,0,59,4392
1,11492,31,31,1,0,56,5925
1,26884,60,60,1,0,51,16478
1,45907,205,205,2,0,16,38978
0,13390,159,159,1,0,125,2987
0,193120,183,183,2,0,96,183374
0,9732,191,191,1,0,18,1
1,1233807,176,176,3,1,136,1224493
1,62951,93,93,1,0,85,52593
1,970184,184,184,1,0,83,959784
1,138304,215,215,1,0,49,127910
1,13701,151,151,1,0,79,3220
0,328850,46,46,1,0,14,318795
1,5595,7,7,2,0,137,1
0,213628,99,99,1,0,129,203258
0,24168,111,111,3,1,22,13795
1,31191,120,120,1,0,53,20812
0,3034,90,90,2,0,86,2
1,347060,219,219,2,0,139,339083
1,127990,148,148,3,1,122,117557
1,390898,218,218,1,0,71,380639
1,60872,206,206,1,0,21,50520
1,141214,129,129,1,0,39,130814
0,842551,211,211,1,0,6,832124
0,475972,76,76,2,0,82,470489
1,534898,112,112,2,0,103,529028
1,47512,123,123,1,0,14,39092
0,2345983,164,164,1,0,21,2335691
0,33876,199,199,1,0,69,23431
0,2017022,5,5,2,0,101,2011656
0,796435,41,41,3,1,135,786038
0,908777,37,37,1,0,102,898398
0,1020605,200,200,3,1,19,1014285
