GeneClassification,GeneDescription,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,12909,140,140,0,110,10807,1
0,0,6110,99,98,0,98,3849,0
1,0,457048,88,87,1,9,454787,0
0,0,478833,231,231,0,6,476677,0
0,0,16869,149,149,0,113,14662,0
1,0,552888,219,219,1,15,550654,0
0,0,835809,95,94,0,28,833647,0
0,0,3770,50,49,0,86,732,1
1,0,1069200,209,209,1,45,1067095,0
1,0,9061,55,54,1,71,6806,1
0,0,2776,152,152,0,114,509,0
1,0,76342,177,177,1,33,73994,1
1,0,1167843,142,142,1,41,1165567,0
0,0,3747,24,23,0,69,1363,1
0,1,692573,69,68,0,19,690150,0
0,0,27924,8,7,0,17,26149,1
0,0,754574,173,173,0,26,752403,0
1,0,1157625,115,115,1,42,1155433,0
1,0,12933,111,111,1,39,10912,1
1,0,96434,222,222,1,5,94266,1
1,0,45480,196,196,1,119,43330,1
0,0,604953,80,79,0,20,602554,0
0,0,2152,11,10,0,59,38,0
1,0,763015,83,82,1,37,760970,0
0,0,4215,71,70,0,19,1969,1
0,0,480713,38,37,0,4,478230,0
1,0,114439,10,9,1,3,112868,1
0,0,14957,64,63,0,73,12933,0
1,0,61722,221,221,1,51,61057,1
0,0,45278,100,99,0,18,42840,0
1,0,50723,119,119,1,103,48507,1
1,0,562476,171,171,1,10,560179,0
0,0,56175,84,83,0,5,53914,1
1,0,1621,65,64,1,92,2,1
0,0,1009290,45,44,0,38,1006993,0
0,0,11646,122,122,0,104,9286,1
0,0,487264,93,92,0,17,485114,0
0,0,47037,175,175,0,117,44773,1
0,0,371476,170,170,0,18,369323,0
0,0,477337,12,11,0,9,476408,0
0,0,1835184,67,66,0,46,1832923,0
1,0,53359,113,113,1,39,52601,1
0,0,1062,4,3,0,68,1,0
1,0,441740,91,90,1,29,439797,1
1,0,81519,13,12,1,5,79698,1
0,0,71686,213,213,0,49,69566,1
0,0,707127,48,47,0,23,704929,0
0,0,65232,218,218,0,50,62692,1
1,0,777368,224,224,1,31,775140,0
0,0,3230,126,126,0,22,921,1
0,0,2056,49,48,0,85,2,1
0,0,4947,46,45,0,83,2638,0
1,0,372955,230,230,1,29,370655,1
0,0,2191081,87,86,0,52,2188577,1
1,0,11060,139,139,1,31,8994,1
0,0,4184,235,235,0,35,1923,1
0,0,43304,155,155,0,55,40902,1
1,0,113111,165,165,1,15,111105,1
0,0,59089,41,40,0,55,56687,1
1,0,1189025,188,188,1,50,1186812,0
1,0,805063,178,178,1,38,803291,0
1,0,1835456,205,205,1,47,1833030,0
0,0,4516,53,52,0,88,3179,1
0,0,611448,109,109,0,10,610807,0
0,0,5046,157,157,0,115,2860,1
1,0,1204656,197,197,1,44,1202680,0
0,0,4025,163,163,0,16,1761,1
0,0,2650,25,24,0,34,386,1
1,0,560447,98,97,1,52,558669,1
1,0,335828,153,153,1,29,333633,1
1,0,480279,204,204,1,44,478171,0
1,0,7012,7,6,1,31,5501,1
1,0,2096,143,143,1,111,747,1
0,0,1138,6,5,0,105,2,0
1,0,1116077,150,150,1,40,1113876,0
0,0,76316,30,29,0,50,74154,1
1,0,496899,101,100,1,1,495853,0
0,0,15153,206,206,0,30,12949,1
0,0,1027491,76,75,0,37,1024990,0
1,0,170211,121,121,1,48,168412,1
1,0,799420,225,225,1,31,796943,0
0,0,377705,96,95,0,57,375522,0
0,0,3932,160,160,0,116,1401,0
0,0,914046,63,62,0,33,913312,0
0,0,244454,156,156,0,19,243822,0
0,0,394758,20,19,0,9,393970,0
0,0,574603,168,168,0,21,572120,0
1,0,4883,42,41,1,80,2628,1
1,0,252998,129,129,1,28,250869,0
0,0,2976,162,162,0,75,781,0
1,0,92964,92,91,1,41,90784,1
0,0,7454,52,51,0,87,5259,1
1,0,470842,187,187,1,51,468923,0
0,0,2907,36,35,0,70,667,0
0,0,4593,2,1,0,17,2230,1
1,0,689616,82,81,1,52,687517,0
1,0,598394,167,167,1,21,596190,0
1,0,185005,117,117,1,58,182789,0
0,0,507624,191,191,0,3,505363,0
1,0,459000,172,172,1,10,456733,0
1,0,123424,232,232,1,8,121439,0
0,0,53099,223,223,0,38,50910,1
0,0,3147,43,42,0,81,535,1
0,0,7548,54,53,0,89,5362,0
0,0,11573,108,107,0,101,9210,0
0,0,81116,5,4,0,13,80040,1
0,0,703891,72,71,0,23,701787,0
0,0,79561,116,116,0,55,77369,1
0,0,6111,23,22,0,66,4843,1
1,0,299939,227,227,1,11,297915,1
0,0,115059,158,158,0,22,112891,1
0,0,1036,15,14,0,61,2,1
0,0,28523,81,80,0,37,26538,1
1,0,547726,132,132,1,7,545198,0
0,0,19404,199,199,0,120,17227,0
0,0,1039862,77,76,0,37,1037046,0
1,0,1937904,26,25,1,52,1935421,0
1,0,52834,182,182,1,0,50840,0
1,0,13918,120,120,1,103,11750,1
1,0,18062,131,131,1,106,16122,1
1,0,62927,147,147,1,24,60651,1
1,0,34512,89,88,1,95,32440,1
0,0,5683,56,55,0,90,3845,0
0,0,828692,194,194,0,47,827244,1
0,0,711734,32,31,0,23,710958,0
0,0,482055,110,110,0,10,479794,0
1,0,89110,207,207,1,16,86993,1
0,0,71096,136,136,0,40,68619,1
0,0,7735,184,184,0,77,5258,1
0,0,2326647,17,16,0,52,2325364,0
1,0,5117,217,217,1,79,2943,0
0,0,120751,185,185,0,3,119534,1
0,0,9642,211,211,0,122,7252,0
0,0,28514,0,108,0,102,26043,0
0,0,1699,85,84,0,8,101,1
1,0,3774,18,17,1,63,1570,0
1,0,468090,40,39,1,2,465892,0
1,0,811009,210,210,1,32,808763,0
1,0,619207,203,203,1,9,617003,0
0,0,194620,123,123,0,53,192110,0
0,0,52112,103,102,0,43,49749,1
1,0,1108,159,159,1,74,1,0
0,0,3468,70,69,0,93,1171,0
1,0,813661,180,180,1,37,811541,0
0,0,560608,179,179,0,16,558551,0
1,0,961848,151,151,1,36,959689,0
0,0,915393,62,61,0,33,914149,0
0,0,6868,183,183,0,118,4559,1
0,0,50074,189,189,0,3,47909,1
0,0,487691,31,30,0,18,485538,0
1,0,17178,106,105,1,100,14941,1
0,0,669010,130,130,0,16,666635,0
0,0,2335,169,169,0,12,101,1
0,0,798,164,164,0,76,1,1
0,0,1159648,141,141,0,41,1157084,0
0,0,140815,228,228,0,11,140096,1
0,0,3637,161,161,0,33,1680,1
0,0,5471,135,135,0,109,3207,1
0,0,5333,21,20,0,64,3093,1
1,0,8253,102,101,1,41,6340,1
0,0,477141,198,198,0,7,476586,0
0,0,5583,97,96,0,97,3223,0
1,0,20192,202,202,1,29,18165,1
1,0,636865,79,78,1,20,634829,0
0,0,391932,9,8,0,57,389746,1
0,0,827,14,13,0,60,3,0
1,0,122003,229,229,1,11,119982,1
0,0,16433,193,193,0,78,14709,1
1,0,35613,195,195,1,119,33460,1
1,0,16106,73,72,1,94,14127,0
0,0,2352753,128,128,0,52,2351474,0
0,0,85349,66,65,0,4,84366,1
0,0,303473,216,216,0,12,301437,1
0,0,49973,27,26,0,23,48072,1
0,0,7225,105,104,0,99,4853,0
0,0,3201,59,58,0,72,2560,1
0,0,17152,134,134,0,108,14774,1
0,0,369971,60,59,0,54,367785,0
1,0,19107,104,103,1,43,16912,1
0,0,316113,226,226,0,11,313945,1
