Wikimedia_Focus_List,Commons_Category,Brockhaus_Enzyklopadie_Online_Id,Music_Brainz_Area_Id,Encyclopdia_Britannica_Online_Id,Page_Banner,N_Ese_Id,Museum_Digital_Place_Id,Freebase_Id,Wiki_Kids_Id,Gran_Enciclopedia_Catalana_Id,Legislative_Body,I_Naturalist_Place_Id,Den_Store_Danske_Id,Nl_Cr_Aut_Id,Curlie_Id,Official_Website,World_Cat_Entities_Id,Births_Category,Gnd_Id,Github_Topic,Time_Zone,Language_Used,Flag_Image,Treccanis_Dizionario_Di_Storia_Id,Whos_On_First_Id,Films_Shot_Category,Interlingual_Index_Id,Gran_Enciclopedia_Catalana_Id_Former_Scheme,Country_Name,Country,French_Vikidia_Id,Continent,Main_Category,Official_Language,Library_Of_Congress_Authority_Id,Yso_Id,Locator_Map_Image,Viaf_Id,Getty_Thesaurus_Of_Geographic_Names_Id,Geo_Names_Id,Deaths_Category,Official_Name,Arch_Inform_Location_Id,Associated_People_Category,Demonym,Quora_Topic_Id,Great_Russian_Encyclopedia_Online_Id_Old_Version,National_Library_Of_Israel_J9u_Id,Store_Norske_Leksikon_Id,Online_Pwn_Encyclopedia_Id,Open_Street_Map_Node_Id,Dewey_Decimal_Classification,Omegawiki_Defined_Meaning,Word_Net_31_Synset_Id,Head_Of_Government_Office
1,6,6,1,6,7,6,5374,5,5,6,2,7141,6,8,3,4,1,5,7,7,0,3,5,6,85632735,5,7,46071,6,6,5,0,6,3,6,104989,7,130803976,1000182,2328926,5,1,3021,8,9,5,2265305,987007266066205171,6,4169112.0,424316663.0,5,8284.0,7,2
2,4,3,8,4,5,4,19985,3,2,5,6,7228,4,6,2,2,5,4,3,5,2,3,4,7,85632189,4,5,29822,4,3,4,0,4,3,8,106015,5,159421741,1000166,2300660,4,2,6145,7,5,4,2343531,987007548185405171,3,4169040.0,424313836.0,4,7983.0,5,1
1,8,8,4,8,10,8,6693,9,10,9,7,6986,9,0,5,7,0,7,9,9,1,3,7,9,85633813,7,9,64416,8,8,0,0,8,3,4,105098,10,159069376,1000193,953987,7,5,3045,10,7,7,4931442,987007560981705171,9,4169126.0,424298167.0,7,7933.0,9,4
2,2,2,2,2,3,2,6670,10,1,2,0,8051,2,4,10,1,8,2,2,3,0,0,2,3,85633121,2,1,229070,2,4,3,1,2,1,3,94439,3,135958350,1000066,2623032,2,3,2978,4,8,2,1940197,987007554807005171,1,4169025.0,432424968.0,1,7997.0,1,7
1,10,9,3,10,8,10,2312,8,9,4,10,1,10,2,8,10,6,10,10,0,4,3,10,10,85633793,10,10,25184,10,10,10,2,10,3,1,105078,9,130168302,7012149,6252001,10,9,3058,0,0,10,3590227,987007269139705171,10,4169149.0,424317935.0,8,6578.0,10,5
0,7,7,0,7,2,7,20096,6,7,10,1,6845,7,9,4,3,3,6,8,8,2,5,6,8,85632365,6,8,61795,7,7,8,0,7,4,2,94407,8,128920607,1000189,2245662,6,7,4831,9,10,6,3548336,987007552529205171,7,4169140.0,432425075.0,3,7317.0,8,3
1,3,10,6,3,4,3,545,2,6,3,5,7055,3,5,1,0,9,3,0,4,1,2,3,4,85632581,3,4,23560,3,2,9,0,3,0,9,105841,2,130890862,7016833,357994,3,10,2961,6,4,3,1975300,987007548044305171,2,4169029.0,424316018.0,10,8347.0,4,8
1,0,1,10,0,0,0,63,0,0,0,3,6878,0,3,9,5,7,0,1,1,3,4,0,1,85633009,0,2,12068,0,0,1,3,0,5,7,108126,0,129679518,1000047,3469034,0,6,2974,1,1,0,1881226,987007554945905171,0,4169014.0,,9,8303.0,2,0
2,1,4,7,1,1,1,1707,1,3,1,4,7546,1,7,0,8,4,1,5,2,5,3,1,2,85632245,1,0,13844,1,1,2,0,1,4,10,107736,1,147664051,1000153,2233387,1,0,6047,3,3,1,2038869,987007554898605171,4,4169065.0,424315932.0,6,7993.0,0,6
1,5,5,9,5,6,5,500,4,4,7,9,7506,5,1,6,9,10,8,6,6,1,1,8,0,85633337,8,6,48251,5,5,6,1,5,2,0,105190,6,156652814,7016845,2750405,8,4,3020,5,6,8,2265969,987007550359005171,5,,424297217.0,2,5809.0,6,9
1,9,0,5,9,9,9,54467,7,8,8,8,6857,8,10,7,6,2,9,4,10,2,3,9,5,85633159,9,3,30805,9,9,7,1,9,3,5,104990,4,127756949,7008591,2635167,9,8,8463,2,2,9,4351848,987007554952005171,8,4169177.0,838090640.0,0,8302.0,3,10
