StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition
0,0,1160395,345,345,3,56,21,1159709
0,0,18293,402,402,3,157,94,17649
0,0,7200,132,132,4,25,44,6637
0,0,55025,357,357,4,102,82,54438
0,0,1464254,86,86,4,98,27,1463646
1,0,494817,200,200,4,14,22,494134
0,0,2016292,327,327,4,63,26,2015537
0,0,9057,386,386,4,92,89,8128
0,0,4555,130,130,4,132,63,3962
0,0,683253,96,96,4,58,27,682675
0,0,844685,366,366,3,114,21,844098
0,0,112468,399,399,1,38,93,111971
0,0,4870,338,338,4,141,77,4217
0,0,2682,261,261,4,132,75,1954
0,0,158502,17,17,4,1,8,158113
0,0,1955674,330,330,4,161,27,1955171
1,0,756041,97,97,4,98,27,755460
1,0,1368555,307,307,4,77,27,1367977
1,0,1487064,90,90,4,29,27,1486369
1,0,44362,298,298,3,123,14,43754
0,0,265007,255,255,4,5,22,264339
0,0,128464,414,414,2,7,13,128075
1,0,1921473,106,106,4,58,27,1920904
0,0,458814,350,350,4,101,16,458125
0,0,316703,369,369,4,47,15,316059
0,0,548591,222,222,2,42,18,548190
0,0,1604078,114,114,4,77,27,1603452
0,0,85370,59,59,4,78,57,84681
0,0,17407,258,258,4,44,73,16820
0,0,1033564,295,295,4,168,17,1032920
0,0,1738968,26,26,3,42,26,1738420
1,0,6677,377,377,4,91,85,6162
1,0,278070,218,218,4,158,3,277438
0,0,1731530,334,334,4,58,27,1730895
0,0,515441,203,203,4,67,6,514617
0,0,567879,379,379,2,90,19,567310
0,0,10321,124,124,4,44,60,9749
0,0,1686468,110,110,4,98,27,1685914
0,0,7629,226,226,4,44,69,6979
0,0,1645,354,354,4,106,82,1004
1,0,376974,53,53,4,151,3,376393
1,0,807869,23,23,3,119,26,807330
0,0,431207,424,424,4,145,4,430704
1,0,39701,50,50,4,44,56,39237
0,0,307213,256,256,4,14,22,306524
1,0,782,44,44,4,128,53,129
1,0,1132814,315,315,4,58,27,1132212
1,0,36247,70,70,4,64,14,35642
1,0,170789,66,66,4,32,13,170208
1,0,717564,267,267,4,124,26,716974
1,0,1637787,112,112,4,58,27,1637185
0,0,487905,167,167,4,151,3,487330
1,0,628319,181,181,3,67,12,627354
0,0,1932015,105,105,4,98,27,1931470
0,0,2027,38,38,4,73,51,1341
0,0,1743790,333,333,4,58,27,1743146
0,0,521226,204,204,4,114,6,520573
1,0,1118634,317,317,4,153,27,1117975
0,0,347837,16,16,3,9,3,347313
0,0,250738,321,321,4,158,3,250097
1,0,1579,2,2,4,167,33,1004
0,0,578960,74,74,4,116,7,578253
1,0,552848,142,142,4,164,21,552180
0,0,52129,262,262,4,132,75,51491
1,0,19103,378,378,3,32,85,18480
0,0,4829,254,254,4,39,72,4128
1,0,603114,235,235,4,15,9,602248
0,0,436400,10,10,4,27,15,435816
0,0,1148872,408,408,4,35,26,1148204
0,0,339516,221,221,4,84,3,338926
1,0,1581481,211,211,4,86,25,1580900
1,0,1081012,404,404,4,170,26,1080440
0,0,15668,342,342,4,21,78,15015
1,0,6518,301,301,4,151,1,5874
1,0,33001,18,18,4,48,13,32291
1,0,527500,426,426,4,130,4,526817
1,0,668902,146,146,4,79,21,668282
0,0,1995197,213,213,4,150,26,1994529
0,0,216763,320,320,4,144,3,216122
0,0,596495,157,157,4,137,4,595866
0,0,416038,381,381,4,65,30,415541
1,0,463493,99,99,3,81,0,462885
1,0,14001,392,392,4,154,91,13402
0,0,385637,19,19,3,56,21,384969
1,0,627298,98,98,4,85,6,626603
1,0,1845,387,387,2,89,90,1489
1,0,375081,120,120,4,26,11,374536
0,0,1473130,85,85,4,28,27,1472456
1,0,1134002,406,406,4,49,26,1133424
0,0,444695,30,30,4,112,3,444042
0,0,42175,384,384,4,150,87,41594
0,0,9261,126,126,4,44,61,8539
0,0,382637,55,55,4,158,3,382086
1,0,35038,300,300,4,122,1,34388
0,0,416102,244,244,4,24,15,415509
1,0,13194,347,347,3,107,80,12661
1,0,653543,82,82,4,55,10,652923
1,1,327963,421,421,4,99,4,327337
0,0,78452,297,297,4,87,14,77844
0,0,2893,382,382,4,148,86,2228
1,0,38888,77,77,4,57,13,38181
1,0,22995,302,302,2,57,13,22609
1,0,1066542,403,403,4,71,26,1065931
0,0,438865,349,349,4,22,16,438233
0,0,345916,151,151,4,135,15,345353
0,0,499409,364,364,3,56,21,498789
0,0,262228,36,36,4,169,21,261515
1,0,350824,412,412,2,100,13,350453
0,0,224418,164,164,4,22,16,223792
0,0,17055,46,46,4,44,55,16375
1,0,1049,281,281,4,70,47,204
1,0,807166,149,149,4,118,21,806492
1,0,874302,272,272,3,119,26,873739
1,0,281,8,8,5,75,35,3
0,0,16035,340,340,4,54,77,15472
1,0,311595,410,410,2,100,13,311224
1,0,6125,9,9,4,75,35,5631
0,0,582243,75,75,4,160,7,581596
0,0,1670681,27,27,4,124,26,1670067
0,0,544317,144,144,1,114,21,543658
0,0,285006,243,243,4,135,15,284026
0,0,482096,251,251,4,111,15,481446
0,0,16573,162,162,4,128,65,15977
0,0,1236,123,123,4,0,43,691
1,0,2152710,104,104,4,161,27,2152117
0,0,218124,163,163,4,22,16,217234
1,0,505974,292,292,4,15,9,505327
0,0,314714,121,121,4,26,11,314181
0,0,729959,94,94,4,17,27,729363
1,0,358436,275,275,2,57,13,358038
1,0,594102,229,229,4,44,9,593512
1,1,22696,71,71,4,62,14,22061
0,0,1261581,322,322,3,131,25,1260970
0,0,160801,401,401,4,50,93,160181
0,0,10872,102,102,3,104,59,10210
1,0,412598,277,277,4,46,29,411981
1,0,517192,291,291,4,6,9,516578
1,0,53893,304,304,4,43,10,53279
0,0,253563,285,285,4,133,15,252895
0,0,237931,283,283,4,24,15,237338
0,0,266589,174,174,4,22,16,265723
0,0,1078119,190,190,4,161,27,1077559
1,0,468817,294,294,4,6,9,467864
1,0,1243238,184,184,4,161,27,1242540
0,0,1176204,397,397,4,5,22,1175530
0,0,6197,385,385,4,155,88,5628
1,0,47042,78,78,4,32,13,46335
0,0,374682,40,40,4,17,27,374062
0,0,1420673,89,89,4,161,27,1420101
1,0,388432,192,192,2,76,28,388043
0,0,70633,57,57,4,128,57,70109
0,0,11230,372,372,4,127,48,10535
0,0,694973,305,305,4,72,26,694383
0,0,1677970,116,116,4,138,27,1677395
0,0,5761,373,373,4,23,49,5141
0,0,1886263,214,214,4,103,26,1885670
1,0,320021,420,420,4,99,4,319437
1,0,282372,171,171,4,48,13,281740
0,0,456160,319,319,4,120,22,455483
1,0,36542,383,383,4,150,87,35961
1,0,602338,318,318,4,94,6,601643
1,0,377041,361,361,4,26,11,376496
1,0,1142859,407,407,4,49,26,1142287
1,0,1481322,91,91,4,77,27,1480762
1,0,1306828,205,205,4,93,25,1306226
1,0,1739,5,5,4,35,32,1236
0,0,410649,138,138,2,32,13,410251
0,0,1587490,208,208,4,93,25,1586741
1,0,2442,282,282,4,30,47,1612
1,0,333597,422,422,4,66,4,332944
