Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,447558,84,84,2,1,20,447142,1
1,9446,79,79,2,1,3,7647,0
0,5255,73,73,3,0,32,2763,0
1,994934,12,12,2,1,10,993237,0
1,2113129,5,5,2,1,1,2112008,1
1,339503,95,95,2,1,16,338613,1
1,571876,60,60,2,1,36,570902,0
0,409340,94,94,0,0,9,408633,0
0,747945,61,61,3,0,38,745645,0
0,415,76,76,3,0,17,74,0
1,34900,81,81,2,1,42,34403,0
0,1568049,34,34,3,0,22,1567459,1
1,796821,75,75,2,1,44,795886,0
1,677663,24,24,2,1,1,676746,0
1,1037381,92,92,2,1,26,1036476,1
0,434997,7,7,0,0,18,434554,1
1,787501,70,70,2,1,10,786539,0
0,514049,83,83,3,0,0,513210,1
1,1751697,6,6,1,1,6,1751281,0
1,767190,27,27,2,1,35,766081,0
1,155295,90,90,2,1,12,154171,0
0,14817,15,15,4,0,17,14209,0
1,74492,20,20,2,1,37,73803,0
1,1021876,58,58,2,1,6,1021316,0
1,1605890,77,77,2,1,6,1605162,0
1,310242,37,37,2,1,16,309811,0
1,1067748,78,78,2,1,16,1067248,0
1,810033,68,68,2,1,10,808633,0
1,524283,29,29,2,1,29,523744,0
1,1162532,40,40,2,1,6,1161927,0
1,796791,69,69,2,1,37,795304,0
1,1226536,45,45,2,1,1,1225625,1
0,292232,52,52,0,0,7,291777,0
1,493953,85,85,2,1,16,493609,0
0,579,47,47,4,0,17,1,1
1,1575106,51,51,2,1,26,1574483,0
1,1285729,44,44,2,1,1,1284860,1
1,738027,49,49,2,1,35,736090,0
1,624101,25,25,2,1,28,623469,1
0,6256,13,13,3,0,17,4343,1
1,3678,43,43,2,1,31,1996,1
0,415202,8,8,0,0,19,414870,0
1,456990,38,38,2,1,19,456034,0
1,26464,57,57,2,1,16,24623,1
0,43740,66,66,0,0,5,43105,0
0,556441,28,28,0,0,27,555500,0
1,302448,35,35,2,1,16,301999,0
1,408301,93,93,2,1,1,407363,0
0,14261,88,88,3,0,2,11517,1
0,69017,91,91,5,0,33,68592,1
1,1643722,32,32,2,1,39,1642802,1
1,84542,19,19,2,1,4,84111,1
0,2665,11,11,3,0,17,1541,1
1,1145346,89,89,2,1,15,1144930,0
1,1078009,0,0,2,1,16,1077569,1
0,598,63,63,4,0,17,2,1
0,743148,41,41,0,0,10,742618,0
1,1445532,21,21,2,1,39,1444765,1
0,828817,3,3,0,0,41,828224,1
1,1493,80,80,2,1,23,471,1
1,752839,23,23,2,1,1,752246,1
1,2418,10,10,2,1,24,715,1
1,405646,54,54,2,1,16,404846,1
0,1735532,71,71,3,0,25,1734645,0
0,995699,86,86,3,0,10,995106,1
0,2026309,9,9,0,0,22,2025506,1
1,483,18,18,2,1,4,1,1
0,1708125,2,2,3,0,14,1707238,0
1,571767,74,74,2,1,39,570709,1
1,888037,87,87,2,1,44,886754,0
0,18905,65,65,3,0,17,17574,1
0,1735953,72,72,0,0,34,1735636,0
1,846780,4,4,2,1,6,844948,1
1,3924,64,64,2,1,13,2239,1
0,287968,36,36,0,0,40,286817,0
1,776048,26,26,2,1,44,775092,0
1,15756,46,46,2,1,35,14755,1
1,232541,30,30,2,1,33,231249,0
1,322283,56,56,2,1,43,321357,0
1,75990,1,1,2,1,30,74263,1
1,156954,97,97,2,1,21,155782,0
1,389254,82,82,2,1,0,388238,1
0,12112,17,17,0,0,17,11726,0
0,3821,14,14,3,0,17,1521,1
1,1680779,33,33,2,1,1,1680060,0
0,11816,48,48,3,0,17,9516,1
1,446968,59,59,2,1,1,445976,0
1,1658775,31,31,2,1,25,1658077,1
1,1430208,22,22,2,1,1,1429318,0
1,1217,96,96,2,1,21,24,0
1,145136,62,62,2,1,6,143469,1
1,703062,67,67,2,1,6,702091,0
1,1786875,50,50,2,1,26,1786159,1
1,1000,42,42,2,1,8,2,0
0,457660,39,39,0,0,11,457121,0
1,2307,53,53,2,1,2,1621,1
0,309976,55,55,3,0,16,309383,0
0,11716,16,16,0,0,17,11321,0
