GeneType,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
1,36,435022,85,14,434327,1,1
1,9,905931,43,8,905182,3,0
1,20,570089,27,8,569511,3,0
1,0,435780,39,9,435106,3,0
1,37,1654501,41,12,1653854,1,1
1,34,755,54,18,93,3,0
1,6,605502,68,5,604933,3,1
1,28,1565614,1,12,1565111,3,1
1,31,37689,21,24,37021,3,0
1,8,4852,24,25,4175,3,1
1,28,509037,87,2,508240,3,0
1,0,1091842,80,9,1091081,3,0
1,13,624606,14,13,623983,3,0
0,3,1204819,53,14,1204091,4,0
1,20,1064488,67,8,1063814,3,0
1,25,1153891,10,11,1153361,3,0
0,23,226568,59,1,225903,4,0
0,38,1728460,2,12,1728161,2,0
1,13,2105453,22,13,2104848,3,1
1,0,179239,37,10,178622,3,1
1,0,1142124,78,9,1141357,3,0
1,15,430900,26,6,430274,3,0
1,0,23414,75,36,22770,3,1
1,0,1104782,82,9,1104102,3,0
1,36,743660,16,14,742947,3,1
0,30,487905,31,1,487330,4,0
1,37,1560119,61,12,1559271,3,1
1,1,674303,17,14,673725,3,0
1,4,59496,23,15,58780,6,0
1,33,947466,44,8,947014,6,1
1,9,458055,69,8,457426,1,1
1,9,17347,20,23,16595,3,0
1,18,16318,35,28,15653,3,0
1,20,829209,73,8,828511,1,0
0,13,388745,86,2,388080,4,1
1,22,28212,64,34,27637,3,0
1,37,1690792,3,12,1690151,3,1
1,27,547641,33,3,547144,3,1
1,24,9043,55,18,8369,3,0
1,33,738855,28,8,738181,3,0
1,0,590414,57,0,589821,3,1
1,5,136301,83,7,135930,3,0
1,0,1192387,81,9,1191707,3,0
1,12,8575,11,21,7376,1,1
0,23,430064,7,1,429414,4,1
1,26,18257,76,37,17595,1,1
1,10,7133,46,30,6462,1,0
1,17,17466,30,26,16792,3,0
1,37,1732531,56,12,1731896,3,0
1,37,1702393,4,12,1701380,3,1
1,35,7796,51,32,7137,3,0
1,28,1607447,40,12,1606965,3,1
1,5,71817,9,20,71311,1,0
1,31,1682099,6,13,1681482,3,0
1,2,11162,77,38,10509,3,0
1,22,20358,63,34,19783,3,1
1,37,1507852,60,12,1507205,1,1
1,13,840636,5,13,840031,3,1
1,28,1661430,19,12,1660327,1,1
1,21,9429,45,29,8836,3,0
1,31,696859,34,13,696377,6,0
1,13,2529,29,17,1873,5,1
1,0,478865,38,9,478194,3,1
1,19,4297,74,35,3704,3,1
1,13,974933,47,13,974307,3,0
1,31,2154696,62,13,2154196,3,0
1,23,5579,84,39,4953,3,1
1,0,1172053,79,9,1171373,3,0
1,20,1154177,66,8,1153497,1,1
1,16,25270,49,31,24593,3,0
1,12,468982,18,0,468374,3,0
1,37,1728056,36,12,1727928,1,0
1,20,490761,71,8,490084,3,0
1,0,524975,58,0,524382,3,1
1,33,587573,72,8,586902,3,0
1,11,3403,13,22,2810,1,0
1,7,5600,52,33,4947,0,1
1,14,40393,25,16,39713,3,0
1,12,17274,12,21,16765,1,1
1,32,10604,8,19,9996,3,0
1,29,1266,0,40,595,3,0
1,33,475933,70,8,475256,1,0
1,13,989314,48,13,988862,1,0
1,36,1528548,15,14,1527883,3,0
1,22,472195,50,4,471323,3,1
1,7,4574,32,27,3870,1,0
0,17,1721960,42,12,1721430,4,0
1,22,68829,65,34,68515,3,1
