SportsTeam,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
32,30,14372.0,56.0,0,32,,140610.0,14,18,14262.0,63.0,3,32,31,5274.0,27.0,174.0,12,8
2,28,48143.0,21971.0,21,28,205449.0,168754.0,34,20,79462.0,,38,48,28,64280.0,16672.0,184.0,37,11
20,23,62729.0,23558.0,20,24,20811.0,181257.0,32,22,97437.0,75.0,39,2,24,101407.0,27121.0,192.0,38,5
8,37,26009.0,12193.0,27,38,1940308.0,140797.0,36,50,54603.0,78.0,19,31,36,30229.0,784.0,184.0,22,12
1,12,,19953.0,7,9,9081.0,137740.0,9,23,81980.0,76.0,33,22,8,77405.0,14737.0,189.0,3,6
30,3,47885.0,18123.0,35,31,21399.0,139801.0,11,49,68832.0,71.0,26,39,30,58401.0,6309.0,179.0,2,5
9,10,,29474.0,6,7,,215760.0,8,3,638202.0,,49,15,7,149604.0,92666.0,184.0,38,12
29,35,38259.0,13066.0,0,30,26443.0,140384.0,26,9,62919.0,72.0,21,24,30,39964.0,2211.0,178.0,23,0
12,32,53778.0,21261.0,25,35,2006.0,174179.0,13,7,78098.0,74.0,34,33,34,70986.0,21855.0,189.0,8,0
6,34,56345.0,20861.0,28,39,2247.0,155558.0,15,4,86624.0,71.0,36,3,37,80972.0,16816.0,184.0,9,7
29,38,56041.0,20719.0,29,40,127549.0,174582.0,37,41,88889.0,65.0,18,30,38,72449.0,18655.0,177.0,36,12
23,48,49495.0,23426.0,13,16,29588.0,177246.0,31,13,87061.0,,41,20,16,88470.0,37748.0,181.0,38,11
7,17,16313.0,3333.0,17,20,134950.0,140752.0,7,25,44513.0,74.0,9,41,20,18746.0,150.0,181.0,11,2
28,44,71935.0,28298.0,5,3,,192457.0,14,5,98774.0,66.0,47,8,3,114071.0,45987.0,176.0,38,8
5,50,15477.0,3348.0,33,50,101538.0,140665.0,41,35,27822.0,68.0,11,50,49,13279.0,4669.0,183.0,16,4
7,0,28095.0,12823.0,31,42,,137337.0,16,1,58891.0,71.0,20,9,41,34412.0,2322.0,182.0,18,0
3,46,,16636.0,10,11,,138290.0,14,2,65007.0,72.0,25,12,11,52713.0,6234.0,183.0,0,9
13,11,22663.0,5789.0,8,8,1529344.0,140869.0,27,30,43936.0,69.0,10,13,9,22017.0,713.0,186.0,17,10
31,7,61538.0,24057.0,0,17,,177672.0,14,42,91640.0,82.0,40,14,17,79184.0,27099.0,193.0,38,8
15,5,16289.0,5.0,4,2,470645.0,140924.0,24,29,14575.0,61.0,4,40,2,7005.0,38.0,177.0,19,16
18,6,69634.0,26526.0,34,46,5000.0,194619.0,19,21,149727.0,66.0,46,29,45,115790.0,45992.0,176.0,38,14
11,15,65688.0,24926.0,15,14,465450.0,198937.0,3,48,95844.0,60.0,43,5,14,100412.0,58275.0,175.0,38,3
10,45,30398.0,9794.0,0,4,37720.0,140493.0,25,31,62315.0,63.0,15,35,4,43241.0,2277.0,175.0,27,18
0,33,19402.0,2694.0,0,36,,138138.0,14,12,33670.0,,7,26,40,15658.0,6595.0,,34,12
27,25,7153.0,544.0,0,27,10861.0,140516.0,10,8,12974.0,81.0,2,17,27,7364.0,547.0,190.0,13,0
13,24,39287.0,13240.0,16,15,66281.0,140835.0,30,16,55029.0,67.0,17,43,15,21075.0,1310.0,178.0,26,8
18,6,69634.0,26526.0,34,46,5000.0,194619.0,19,21,149727.0,66.0,46,29,45,115790.0,45992.0,176.0,38,14
27,1,7764.0,1237.0,11,12,41367.0,140800.0,29,19,29164.0,70.0,8,19,12,10911.0,706.0,183.0,21,15
6,40,41076.0,13362.0,32,44,56034.0,139405.0,17,45,65995.0,70.0,22,4,43,51551.0,3277.0,177.0,20,13
17,36,39004.0,,26,37,47028.0,138497.0,5,36,66298.0,,27,11,35,60878.0,89540.0,,31,12
25,22,69190.0,25740.0,19,22,,196424.0,20,15,112082.0,,42,42,22,115868.0,38195.0,175.0,38,5
26,8,55192.0,19941.0,37,49,31137.0,135398.0,40,17,86228.0,75.0,24,21,48,59790.0,10971.0,180.0,4,2
22,20,47965.0,17988.0,22,47,,138125.0,14,46,70962.0,74.0,32,25,46,64279.0,8377.0,1.85,38,12
3,31,61866.0,23334.0,24,33,160840.0,185156.0,18,32,97634.0,65.0,35,23,32,100717.0,35077.0,170.0,6,3
9,13,,31634.0,9,10,,262718.0,28,33,112281.0,,44,6,10,170457.0,57961.0,184.0,38,12
31,47,15225.0,2437.0,0,45,,140630.0,14,40,30369.0,68.0,13,49,44,13510.0,147.0,176.0,15,14
14,27,43345.0,15281.0,23,26,3825.0,140722.0,35,39,64941.0,72.0,23,16,26,32784.0,6246.0,178.0,32,1
16,42,7362.0,871.0,0,43,91041.0,140868.0,38,43,20884.0,71.0,5,18,42,9918.0,52.0,190.0,29,12
19,9,92428.0,32221.0,12,5,,238711.0,1,24,490235.0,,50,45,5,130986.0,113439.0,182.0,38,12
5,49,54395.0,20730.0,36,48,252749.0,168961.0,21,14,75859.0,70.0,37,46,47,74709.0,18258.0,187.0,7,2
24,4,46381.0,18610.0,3,23,77168.0,137427.0,22,38,71557.0,62.0,29,0,23,63999.0,12474.0,173.0,1,12
24,39,83295.0,28377.0,30,41,84000.0,212377.0,4,0,587366.0,62.0,48,10,39,141854.0,84019.0,171.0,38,2
29,41,41892.0,19165.0,0,34,16935.0,137797.0,12,47,66315.0,73.0,31,36,33,43238.0,11313.0,184.0,5,12
30,2,3262.0,387.0,1,1,1397142.0,137456.0,23,26,518429.0,62.0,6,7,1,1567.0,3.0,176.0,24,16
13,18,19255.0,3891.0,0,18,508772.0,140196.0,6,10,32532.0,71.0,12,37,18,11292.0,716.0,183.0,10,17
16,19,46958.0,13863.0,0,19,,140739.0,14,27,58761.0,72.0,16,27,19,38022.0,2982.0,184.0,28,8
13,16,23014.0,7606.0,0,6,95405.0,140501.0,39,37,45633.0,68.0,14,34,6,20340.0,828.0,179.0,14,17
21,26,505.0,7.0,0,25,3077244.0,126972.0,33,34,,71.0,0,1,25,300.0,2.0,177.0,30,12
27,43,56666.0,18975.0,2,0,32176.0,133024.0,0,6,70590.0,58.0,30,44,0,65132.0,20147.0,172.0,35,17
10,14,41890.0,17794.0,14,13,16190.0,139904.0,2,44,68844.0,64.0,28,47,13,52412.0,7724.0,187.0,33,11
13,11,22663.0,5789.0,8,8,1529344.0,140869.0,27,30,43936.0,69.0,10,13,9,22017.0,713.0,186.0,17,10
30,29,15997.0,67.0,0,29,,140418.0,14,11,12711.0,74.0,1,38,29,7526.0,184.0,181.0,25,8
4,21,,26392.0,18,21,,193131.0,14,28,148275.0,69.0,45,28,21,89152.0,45363.0,176.0,38,2
