EntityType,OrthologId,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,8,373963,26,26,8,372953,21,1
0,39,257891,49,49,8,256881,20,1
0,42,235050,55,55,9,234100,21,1
0,56,213667,37,37,13,212129,16,0
0,11,587198,70,70,3,585768,14,1
0,50,2377,104,104,24,1157,10,1
0,51,1381990,68,68,18,1381346,3,1
0,42,318674,65,65,9,317781,21,1
0,8,340298,28,28,8,339360,21,0
1,13,3259,102,102,35,2075,2,1
1,27,2882,67,67,23,2106,2,0
1,26,441837,113,113,2,440959,2,1
0,59,426250,88,88,8,425120,21,0
0,8,575815,95,95,8,574721,21,1
0,47,14514,80,80,32,13402,21,1
0,36,762518,22,22,18,761364,3,0
1,40,217615,120,120,6,216422,2,0
0,13,553985,23,23,3,552546,16,0
0,56,2612,2,2,20,1824,1,0
1,45,669822,43,43,17,668569,2,1
1,2,220225,38,38,13,218687,2,0
0,3,86161,13,13,27,85631,0,1
1,3,539819,17,17,11,538632,2,1
0,51,1253659,44,44,18,1252076,3,1
0,18,705562,21,21,18,704282,3,0
0,23,272650,50,50,8,271751,21,1
1,24,117411,119,119,0,116032,2,0
1,40,283947,39,39,13,282400,2,0
0,29,319749,111,111,17,318496,3,0
0,15,368482,27,27,8,367493,21,1
0,39,502004,91,91,8,500910,21,1
0,8,549818,100,100,8,548385,14,1
0,17,523271,16,16,11,522144,6,1
0,12,626457,19,19,17,625132,3,0
0,49,307709,76,76,8,306750,21,0
1,28,267266,51,51,8,266289,2,1
0,19,976612,63,63,17,975470,4,0
0,39,496221,90,90,8,495283,21,1
0,13,29669,79,79,32,28731,20,0
1,53,20974,81,81,33,19538,2,1
0,23,617521,98,98,8,616619,21,1
0,38,1127958,107,107,17,1127086,18,1
0,51,1798125,75,75,18,1796725,3,0
1,5,427442,59,59,12,425919,2,0
0,49,431585,89,89,8,430644,21,0
1,60,2899,109,109,37,1952,2,0
0,38,1973004,47,47,17,1972075,21,1
1,3,64367,66,66,11,62844,2,1
0,37,263994,7,7,14,262717,10,0
1,48,924009,57,57,14,922486,2,0
0,9,288343,117,117,9,287549,21,1
0,1,514203,114,114,2,514066,1,0
0,47,747400,62,62,17,746270,3,1
1,54,1905561,48,48,17,1904098,2,1
0,9,212824,56,56,9,211883,21,1
0,8,444750,87,87,8,443839,21,1
0,30,493306,84,84,13,491759,16,0
0,30,245389,40,40,13,244757,1,0
0,59,437122,86,86,8,436220,20,0
0,34,1855873,25,25,18,1854422,21,1
0,6,518865,115,115,2,517981,11,0
0,39,544003,97,97,8,543026,21,1
1,5,286679,58,58,12,285567,2,0
0,44,28060,82,82,33,27086,20,1
1,54,714,41,41,22,1,2,1
0,2,456889,101,101,14,455630,5,1
1,41,14110,52,52,30,13145,2,1
0,46,21643,53,53,31,20600,21,0
0,58,1556126,73,73,16,1554660,14,1
0,1,622717,36,36,2,621833,12,0
0,9,496985,116,116,4,495984,8,1
0,10,16755,12,12,21,15559,4,1
0,11,17420,32,32,29,16842,4,0
0,1,284733,112,112,2,283762,22,0
0,2,218013,31,31,7,216889,10,0
0,59,489099,94,94,8,488107,21,1
1,5,400752,60,60,12,399232,2,0
0,55,1562,18,18,28,393,20,1
0,31,514924,64,64,2,514307,0,0
0,16,19265,77,77,32,18156,21,1
0,47,1080003,106,106,17,1078741,7,1
0,33,67859,14,14,1,66546,3,0
0,50,514925,15,15,11,513729,6,1
0,55,315559,118,118,9,315128,0,1
0,52,2003523,74,74,17,2002453,21,0
0,9,229688,54,54,9,228501,20,1
0,51,1862763,24,24,18,1861267,3,1
1,35,604409,96,96,8,603339,2,1
0,45,2058209,6,6,18,2056686,24,1
0,7,541977,108,108,10,540886,10,1
0,40,25674,103,103,36,24613,1,0
0,57,449733,1,1,13,448939,1,0
0,42,579257,42,42,9,578298,20,1
0,26,1593162,45,45,16,1591861,13,0
0,49,507159,92,92,8,506107,21,1
0,42,437723,34,34,9,436782,21,1
0,54,1564652,0,0,16,1564452,1,1
0,15,625575,99,99,8,624448,21,1
0,54,1263503,72,72,16,1262121,17,0
0,15,220328,29,29,8,219990,0,1
0,9,418436,33,33,9,417618,21,0
0,25,3154,83,83,34,2129,21,0
0,21,48657,10,10,25,47974,5,1
0,4,481887,93,93,8,480445,16,1
0,14,24337,78,78,32,23213,19,0
1,20,546194,71,71,0,544968,2,1
0,42,273888,85,85,9,272725,21,1
0,0,9331,11,11,26,7841,15,0
1,54,1706820,4,4,17,1705558,23,1
0,38,1056372,105,105,17,1055425,9,1
0,51,1505678,20,20,18,1504257,21,0
0,38,190441,9,9,15,189542,21,0
1,5,463276,61,61,12,461756,2,0
1,22,381686,69,69,19,380409,2,1
0,43,8433,110,110,37,7429,21,0
0,39,212508,30,30,8,211570,21,1
1,40,347997,35,35,12,346477,2,0
0,38,1977944,46,46,17,1976967,21,0
0,16,197165,8,8,5,196203,7,1
0,32,1698039,3,3,16,1696570,16,1
0,29,1679690,5,5,17,1678407,3,0
