EntityType,OrthologId,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,9,373963,27,27,8,372953,21,1
0,42,257891,49,49,8,256881,20,1
0,45,235050,55,55,9,234100,21,1
1,2,220225,38,38,13,218687,2,0
0,12,587198,70,70,3,585768,14,1
0,53,2377,103,103,23,1157,10,1
0,54,1381990,68,68,17,1381346,3,1
0,10,360740,118,118,9,359730,21,1
0,9,340298,29,29,8,339360,21,0
1,14,3259,101,101,34,2075,2,1
1,29,2882,66,66,22,2106,2,0
1,28,441837,112,112,2,440959,2,1
0,62,426250,87,87,8,425120,21,0
0,9,575815,94,94,8,574721,21,1
0,50,14514,80,80,31,13402,21,1
0,39,762518,23,23,17,761364,3,0
1,43,217615,120,120,6,216422,2,0
0,14,553985,24,24,3,552546,16,0
0,59,2612,3,3,19,1824,1,0
1,57,690506,67,67,16,689499,2,0
0,33,245389,40,40,13,244757,1,0
0,3,86161,13,13,26,85631,0,1
0,56,547086,18,18,11,545914,10,1
0,54,1253659,44,44,17,1252076,3,1
0,19,705562,22,22,17,704282,3,0
0,24,272650,50,50,8,271751,21,1
1,26,117411,119,119,0,116032,2,0
0,60,449733,1,1,13,448939,1,0
0,13,626457,20,20,16,625132,3,0
0,16,368482,28,28,8,367493,21,1
0,42,502004,90,90,8,500910,21,1
0,9,549818,99,99,8,548385,14,1
1,4,531481,17,17,11,530381,2,1
1,48,669822,43,43,16,668569,2,1
0,52,307709,76,76,8,306750,21,0
1,31,267266,51,51,8,266289,2,1
0,20,976612,62,62,16,975470,4,0
0,42,496221,89,89,8,495283,21,1
0,14,29669,79,79,31,28731,20,0
1,56,20974,81,81,32,19538,2,1
0,24,617521,97,97,8,616619,21,1
0,41,1127958,106,106,16,1127086,18,1
0,54,1798125,75,75,17,1796725,3,0
1,6,463276,60,60,12,461756,2,0
0,52,431585,88,88,8,430644,21,0
1,63,2899,108,108,36,1952,2,0
0,41,1973004,47,47,16,1972075,21,1
0,53,514925,15,15,11,513729,6,1
0,25,400165,2,2,14,399113,10,0
0,30,1027129,100,100,14,1026155,21,1
0,58,315559,117,117,9,315128,0,1
0,1,514203,113,113,2,514066,1,0
0,50,747400,61,61,16,746270,3,1
1,57,1905561,48,48,16,1904098,2,1
0,10,212824,56,56,9,211883,21,1
0,9,444750,86,86,8,443839,21,1
0,40,263994,8,8,14,262717,10,0
1,43,283947,39,39,13,282400,2,0
0,62,437122,85,85,8,436220,20,0
0,37,1855873,26,26,17,1854422,21,1
0,7,518865,114,114,2,517981,11,0
0,42,544003,96,96,8,543026,21,1
1,43,347997,35,35,12,346477,2,0
0,47,28060,82,82,32,27086,20,1
1,57,714,41,41,21,1,2,1
1,51,924009,57,57,14,922486,2,0
1,44,14110,52,52,29,13145,2,1
0,49,21643,53,53,30,20600,21,0
0,57,1564652,0,0,15,1564452,1,1
0,1,622717,36,36,2,621833,12,0
0,10,496985,115,115,4,495984,8,1
0,11,16755,12,12,20,15559,4,1
0,12,17420,33,33,28,16842,4,0
0,1,284733,111,111,2,283762,22,0
0,2,218013,32,32,7,216889,10,0
0,62,489099,93,93,8,488107,21,1
1,6,427442,58,58,12,425919,2,0
0,58,1562,19,19,27,393,20,1
0,34,514924,63,63,2,514307,0,0
0,17,19265,77,77,31,18156,21,1
0,50,1080003,105,105,16,1078741,7,1
0,36,67859,14,14,1,66546,3,0
0,18,523271,16,16,11,522144,6,1
0,45,318674,64,64,9,317781,21,1
0,55,2003523,74,74,16,2002453,21,0
0,10,229688,54,54,9,228501,20,1
0,54,1862763,25,25,17,1861267,3,1
1,38,604409,95,95,8,603339,2,1
0,48,2058209,7,7,17,2056686,24,1
1,3,64367,65,65,11,62844,2,1
0,43,25674,102,102,35,24613,1,0
0,33,493306,84,84,13,491759,16,0
0,8,317984,107,107,10,317091,21,0
0,35,1698039,4,4,15,1696570,16,1
0,52,507159,91,91,8,506107,21,1
0,45,579257,42,42,9,578298,20,1
0,28,1593162,45,45,15,1591861,13,0
0,16,625575,98,98,8,624448,21,1
0,61,1556126,73,73,15,1554660,14,1
0,16,220328,30,30,8,219990,0,1
0,45,437723,34,34,9,436782,21,1
0,27,3154,83,83,33,2129,21,0
0,22,48657,10,10,24,47974,5,1
0,5,481887,92,92,8,480445,16,1
0,15,24337,78,78,31,23213,19,0
1,21,546194,71,71,0,544968,2,1
0,10,288343,116,116,9,287549,21,1
0,0,9331,11,11,25,7841,15,0
1,57,1706820,5,5,16,1705558,23,1
0,41,1056372,104,104,16,1055425,9,1
0,54,1505678,21,21,17,1504257,21,0
0,57,1263503,72,72,15,1262121,17,0
0,59,213667,37,37,13,212129,16,0
1,23,381686,69,69,18,380409,2,1
0,46,8433,109,109,36,7429,21,0
0,42,212508,31,31,8,211570,21,1
1,6,400752,59,59,12,399232,2,0
0,41,1977944,46,46,16,1976967,21,0
0,17,197165,9,9,5,196203,7,1
0,32,319749,110,110,16,318496,3,0
0,32,1679690,6,6,16,1678407,3,0
