StrandOrientation,GeneDescription,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,GeneDbId,GenomicEndPosition
1,0,1,48507,131,184,184,50723
0,0,0,1832923,56,104,103,1835184
0,0,1,456733,14,273,273,459000
1,0,0,1680,41,255,255,3637
1,0,1,551527,35,319,319,553680
1,0,0,65254,6,134,133,67467
1,0,1,114542,4,253,253,114991
1,0,1,160684,15,242,242,161676
1,0,0,5838,137,217,217,6479
1,0,0,1761,20,259,259,4025
1,0,1,18309,8,289,289,20468
1,0,1,111105,19,264,264,113111
0,0,0,192110,63,188,188,194620
1,0,1,7001,154,308,308,9199
1,0,1,5501,39,10,9,7012
0,0,0,679628,26,112,111,682195
0,0,1,643902,20,304,304,646319
1,0,1,8418,54,40,39,10067
1,0,1,1523784,60,294,294,1525088
1,0,1,7779,54,41,40,8315
1,0,1,69252,158,333,333,70436
0,0,1,1113876,49,240,240,1116077
0,0,1,760970,45,129,128,763015
1,0,0,2230,23,2,1,4593
0,0,1,1998842,61,203,203,2001346
0,0,0,497002,1,162,161,497232
0,0,0,243822,26,250,250,244454
0,0,0,393167,13,262,262,393868
1,0,1,43330,153,307,307,45480
0,0,0,1006993,46,72,71,1009290
1,0,1,32440,124,139,138,34512
0,0,1,468923,61,292,292,470842
1,0,1,112868,4,15,14,114439
0,0,0,3683,143,243,243,6046
1,0,0,140096,15,355,355,140815
1,0,1,21297,158,331,331,22616
0,0,1,466913,1,53,52,469090
0,0,1,549344,31,249,249,551317
0,0,0,610452,14,271,271,610706
0,0,1,667156,24,290,290,669243
1,0,0,44773,150,279,279,47037
1,0,1,52560,47,192,192,53693
1,0,1,6766,7,144,143,8796
0,0,1,630077,31,45,44,630544
1,0,1,10912,48,174,174,12933
1,0,1,94266,6,349,349,96434
0,0,1,465892,2,61,60,468090
1,0,0,10807,138,224,224,12909
0,0,0,369323,24,269,269,371476
1,0,1,6340,50,164,163,8253
0,0,0,1401,146,254,254,3932
0,1,0,690150,26,111,110,692573
0,0,0,241769,26,150,149,242101
1,0,0,1,95,260,260,798
1,0,0,3,139,225,225,569
1,0,0,57738,50,145,144,59387
1,0,0,1446,79,31,30,3704
0,0,0,667,89,56,55,2907
0,0,0,2336,112,83,82,4603
1,0,1,3989,107,74,73,4270
1,0,1,40377,36,317,317,40877
0,0,0,2,133,8,7,1138
1,0,0,48072,30,38,37,49973
0,0,0,3,75,21,20,1333
0,0,0,1157023,51,102,101,1157244
1,0,0,2,111,82,81,2056
1,0,0,56687,66,65,64,59089
0,0,0,485538,24,48,47,487691
0,0,0,914149,41,98,97,915393
0,0,0,710958,30,49,48,711734
0,0,0,12933,93,100,99,14957
0,0,1,493973,31,248,248,495949
1,0,1,14941,129,169,168,17178
1,0,1,7115,39,9,8,7513
0,0,1,397290,18,141,140,399311
0,0,0,1171,122,114,113,3468
1,0,1,38190,34,63,62,40865
1,0,1,1372983,60,198,198,1375094
1,0,1,13717,150,280,280,16197
1,0,0,301437,16,340,340,303473
1,0,0,2860,145,251,251,5046
0,0,0,367785,64,95,94,369971
1,0,1,222371,42,316,316,224206
0,0,1,192141,27,265,265,194168
1,0,1,33460,153,306,306,35613
1,0,1,1164352,59,109,108,1166328
0,0,1,873,106,73,72,3053
0,0,1,188,77,28,27,2356
1,0,1,7884,159,335,335,9794
0,0,0,1,72,19,18,1152
0,0,1,21859,149,270,270,24063
1,0,0,2560,92,93,92,3201
0,0,1,1155433,52,178,178,1157625
0,0,1,194815,10,25,24,195717
0,0,0,702547,29,232,232,703107
0,0,1,2943,100,341,341,5117
1,0,1,227192,41,281,281,229342
0,0,0,1,83,4,3,1062
1,0,1,26358,55,346,346,28472
0,0,1,560179,14,272,272,562476
1,0,1,16115,25,35,34,18169
1,0,0,49749,53,165,164,52112
1,0,0,22,84,5,4,1026
0,0,0,21104,2,368,368,23314
0,0,0,38,71,16,15,2152
0,0,1,1850,136,211,211,2323
0,0,1,806334,31,222,222,808511
0,0,1,434816,31,276,276,436942
0,0,1,739927,35,246,246,742170
1,0,1,290090,36,357,357,292285
1,0,0,115388,3,233,233,116089
1,0,1,129252,66,303,303,131468
1,0,1,628374,22,191,191,628874
0,0,1,410220,17,57,56,411395
0,0,1,141896,11,361,361,143770
1,0,1,61057,61,347,347,61722
1,0,1,67685,34,14,13,69895
0,0,1,3723,161,1,0,5726
0,0,1,1833030,57,324,324,1835456
0,0,1,808763,40,337,337,811009
1,0,0,29589,59,107,106,31835
1,0,0,2188577,62,136,135,2191081
1,0,1,4560,45,125,124,6731
1,0,1,8994,39,223,223,11060
1,0,1,74799,20,327,327,77066
1,0,1,604711,54,323,323,605835
0,0,0,761027,33,275,275,763294
1,0,1,16752,69,89,88,18788
1,0,1,60651,31,236,236,62927
1,0,1,13635,1,156,155,15656
0,0,0,558551,20,283,283,560608
1,0,1,2628,102,66,65,4883
1,0,0,306221,15,351,351,307939
1,0,1,499696,55,194,194,501852
0,0,1,571858,27,285,285,573072
1,0,0,3093,78,30,29,5333
0,0,1,477172,21,245,245,479217
0,0,0,704929,30,80,79,707127
1,0,0,3,109,6,5,521
0,0,1,182789,69,180,180,185005
0,0,0,1176085,52,177,177,1178466
0,0,1,520707,21,359,359,522056
1,0,1,782252,61,51,50,784501
1,0,0,301785,15,148,147,302402
1,0,0,53914,6,133,132,56175
0,0,1,109046,11,360,360,110965
0,0,0,709519,30,81,80,710857
0,0,1,560198,27,183,183,560632
1,0,1,236726,36,212,212,238993
1,0,1,73994,41,282,282,76342
1,0,1,214564,36,213,213,216636
1,0,1,297915,15,352,352,299939
1,0,1,16912,53,166,165,19107
0,0,1,1360342,60,201,201,1362603
1,0,1,11750,131,185,185,13918
1,0,0,350539,67,315,315,351915
0,0,1,1999253,59,218,218,2001160
0,0,1,1,99,329,329,720
1,0,1,27780,119,96,95,29015
0,0,1,575726,27,7,6,576256
0,0,1,729406,30,50,49,731499
1,0,1,5542,90,58,57,7341
1,0,0,74154,60,42,41,76316
0,0,0,1006986,45,121,120,1009265
1,2,0,1,117,92,91,1518
1,0,0,26538,45,126,125,28523
0,0,1,173664,28,336,336,175988
1,0,1,31587,118,94,93,32651
0,0,0,4853,128,167,166,7225
0,0,0,2638,108,76,75,4947
0,0,1,9492,86,39,38,10034
1,0,0,827244,57,302,302,828692
1,0,0,4559,151,286,286,6868
1,0,0,2,110,79,78,1669
1,0,0,1968,125,149,148,4334
0,0,0,2351474,62,204,204,2352753
1,0,1,58671,25,106,105,60797
0,0,0,833647,35,153,152,835809
0,0,1,354673,61,168,167,356577
1,0,1,43711,147,256,256,45873
0,0,1,466540,62,130,129,468765
1,0,1,4073,156,313,313,5374
0,0,0,12295,70,12,11,12912
0,0,1,906619,48,52,51,909033
1,0,1,1664878,60,132,131,1667076
1,0,0,16532,34,54,53,18709
1,0,0,112891,29,252,252,115059
1,0,0,11819,40,91,90,14203
0,0,1,1191366,54,310,310,1193345
1,0,1,52601,48,176,176,53359
0,0,0,243449,26,151,150,243718
0,0,0,551012,27,113,112,551749
1,0,0,77369,66,179,179,79561
0,0,0,1024990,45,120,119,1027491
0,0,1,3935,104,68,67,6331
0,0,1,1935421,62,36,35,1937904
0,0,1,607077,27,123,122,609383
0,0,1,1634881,60,202,202,1637202
1,0,0,732,113,84,83,3770
0,0,0,42840,24,160,159,45278
1,0,1,6806,91,88,87,9061
0,0,1,48196,120,101,100,50190
1,0,0,921,29,197,197,3230
0,0,0,3,73,18,17,827
1,0,1,105642,13,110,109,107570
0,0,0,14662,142,239,239,16869
1,0,1,159610,15,353,353,160581
0,0,1,1449053,60,200,200,1451239
0,0,1,550654,19,344,344,552888
0,0,1,1165567,50,227,227,1167843
1,0,1,370655,36,358,358,372955
1,0,0,66007,32,231,231,68193
1,0,0,37790,4,295,295,39736
0,0,1,200871,9,247,247,203063
0,0,1,475453,6,237,237,477984
0,0,1,302736,35,300,300,305003
0,0,0,701787,30,116,115,703891
0,0,1,335,101,343,343,2527
0,0,1,2355799,62,26,25,2356776
0,0,1,801878,45,193,193,802663
0,0,0,666635,20,206,206,669010
0,0,1,617003,13,320,320,619207
1,0,1,90784,50,146,145,92964
0,0,0,3849,127,159,158,6110
0,0,1,1852,88,47,46,4059
0,0,1,801998,35,152,151,804175
0,0,1,121439,12,363,363,123424
0,0,1,15220,94,258,258,17469
0,0,1,877512,41,70,69,879776
0,0,1,1426182,60,199,199,1428134
0,0,1,654773,54,215,215,656983
1,0,0,824,114,85,84,3133
0,0,1,495853,1,161,160,496899
0,0,0,874933,54,216,216,875271
1,0,1,31073,135,208,208,33070
1,0,0,591283,22,190,190,591642
1,0,0,50910,46,350,350,53099
0,0,1,14127,123,117,116,16106
1,0,0,1923,43,367,367,4184
1,0,1,344166,35,137,136,346367
0,0,1,548948,22,131,130,551038
1,0,1,562332,61,115,114,564263
1,0,1,49540,43,365,365,51771
0,0,0,610807,14,171,171,611448
0,0,1,454787,13,138,137,457048
0,0,1,500945,8,210,210,503101
0,0,1,1056777,57,314,314,1058918
0,0,0,375522,68,155,154,377705
1,0,1,16113,41,77,76,16562
1,0,1,16122,134,207,207,18062
0,0,0,470270,6,345,345,471716
1,0,0,5258,96,287,287,7735
1,0,0,2307,48,175,175,4679
0,0,1,1373202,54,182,182,1375691
1,0,1,28144,61,238,238,30366
0,0,0,752403,33,274,274,754574
1,0,1,16425,121,105,104,17708
0,0,0,701878,29,338,338,702444
1,0,1,119982,15,356,356,122003
1,0,0,55348,29,195,195,57522
0,0,1,634829,27,124,123,636865
0,0,1,3175,152,305,305,5373
0,0,1,475904,2,62,61,478021
1,0,0,356083,68,75,74,356850
0,0,0,509,144,244,244,2776
1,0,1,140918,15,354,354,141673
0,0,0,2150273,61,298,298,2152465
1,0,1,57773,4,297,297,59968
0,0,1,722086,31,55,54,724179
0,0,1,109113,12,362,362,111044
1,0,1,3,141,235,235,2336
0,0,1,1,105,71,70,1431
1,0,0,64094,43,364,364,66424
0,0,1,1218841,60,293,293,1220025
1,0,1,3059,126,158,157,5239
1,0,1,24182,124,140,139,26356
1,0,0,2,74,20,19,1036
1,0,0,90979,49,220,220,92121
0,0,0,913312,41,99,98,914046
0,0,0,907241,42,118,117,909502
1,0,1,884852,61,234,234,886828
1,0,1,747,140,228,228,2096
0,0,1,478171,54,322,322,480279
1,0,1,43530,158,332,332,45587
0,0,1,20729,140,229,229,22657
1,0,1,80019,62,46,45,80858
0,0,1,12761,87,43,42,13846
1,0,1,168412,58,186,186,170211
1,0,1,16673,41,78,77,18493
0,0,1,393328,33,157,156,395811
1,0,1,403625,12,163,162,405328
0,0,1,959689,44,241,241,961848
1,0,0,12949,37,325,325,15153
1,0,1,1558235,62,60,59,1560715
0,0,1,1202680,54,309,309,1204656
1,0,0,26149,23,11,10,27924
1,0,1,2874,14,69,68,5081
0,0,0,3845,116,90,89,5683
0,0,1,50840,0,284,284,52834
0,0,0,26043,130,0,170,28514
1,0,1,754,157,328,328,3258
0,0,0,460530,13,214,214,461012
1,0,1,367296,17,97,96,369509
1,0,1,255983,41,263,263,258202
0,0,1,545198,8,209,209,547726
0,0,1,1067095,55,330,330,1069200
1,0,0,14709,98,301,301,16433
0,0,1,526289,20,122,121,528637
0,0,1,1570,76,27,26,3774
1,0,0,32786,150,278,278,35005
0,0,1,638620,13,321,321,640806
0,0,1,1,82,29,28,1287
1,0,1,827212,56,170,169,828777
0,0,0,1157084,50,226,226,1159648
1,0,0,47909,4,296,296,50074
0,0,1,2354525,62,299,299,2355697
1,0,1,64983,20,326,326,67187
0,0,0,5362,115,87,86,7548
1,0,0,69566,59,339,339,71686
1,0,1,62066,34,230,230,64228
1,0,0,389746,68,13,12,391932
0,0,1,147823,158,334,334,149082
1,0,0,5182,29,196,196,7491
0,0,1,604902,62,127,126,606833
0,0,0,17227,155,312,312,19404
1,0,1,80149,65,37,36,82404
1,0,1,5519,51,44,43,7765
1,0,1,20226,14,154,153,22349
1,0,1,1155,97,288,288,3320
0,0,0,476408,13,17,16,477337
1,0,1,517492,35,318,318,519612
1,0,1,581202,36,173,173,583238
0,0,0,565,160,348,348,2949
0,0,1,413892,36,142,141,415880
0,0,1,250869,35,205,205,252998
0,0,0,479794,14,172,172,482055
0,0,0,460000,13,22,21,460428
0,0,0,4,81,33,32,1347
1,0,0,68619,49,219,219,71096
0,0,1,508918,54,64,63,510087
1,0,0,84366,5,103,102,85349
0,0,0,2325364,62,24,23,2326647
0,0,1,629867,32,135,134,630340
1,0,0,62692,60,342,342,65232
1,0,0,101,38,23,22,1474
1,0,0,5259,114,86,85,7454
1,0,1,652312,61,119,118,654471
1,0,0,9286,132,187,187,11646
1,0,0,4843,80,32,31,6111
1,0,1,1103840,54,311,311,1105132
1,0,1,965515,62,189,189,967593
0,0,1,412986,31,277,277,414917
0,0,0,572120,28,266,266,574603
0,0,1,485708,31,369,369,487684
0,0,0,781,94,257,257,2976
1,0,1,588715,22,291,291,590889
1,0,0,535,103,67,66,3147
1,0,0,24536,20,221,221,27070
0,0,0,178343,69,181,181,180595
1,0,1,28472,43,366,366,29812
0,0,0,553549,27,268,268,555948
0,0,0,3,162,3,2,1475
0,0,0,525222,4,59,58,526037
1,0,1,439797,36,143,142,441740
1,0,0,101,16,267,267,2335
0,0,0,485114,23,147,146,487264
1,0,0,17801,59,108,107,20107
1,0,0,1363,85,34,33,3747
1,0,0,4354,148,261,261,6576
1,0,1,627785,22,128,127,628270
