Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,ProCyclingStatsCyclistId,MemoireDuCyclismeCyclistId,Biography,TwitterHandle,TeamAffiliation,BirthPlace,UciRiderId,WeightKg,BirthDate,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId
0,15,16313.0,3333,11,5,140752,19461.0,1,4,9,19,44513.0,74.0,2,30,11,18746,150.0,19,181.0,8
0,22,61866.0,23334,22,16,185156,,6,12,2,27,97634.0,65.0,20,16,22,100717,35077.0,5,170.0,4
0,36,20140.0,6829,31,0,140704,,2,8,20,18,57085.0,71.0,3,18,32,20733,2503.0,19,190.0,22
0,5,69634.0,26526,34,26,194619,,23,13,18,17,149727.0,66.0,35,21,35,115790,45992.0,12,176.0,26
0,8,8760.0,4179,2,13,140749,6915.0,18,5,9,28,32691.0,78.0,5,14,2,19407,406.0,3,181.0,15
0,28,66653.0,27315,13,7,186431,,12,8,31,21,110444.0,,32,9,13,99024,37359.0,14,172.0,26
0,32,48798.0,17908,8,4,135468,55692.0,1,19,9,10,75247.0,64.0,16,27,8,61314,8068.0,11,181.0,0
0,29,46998.0,16666,32,24,140492,55148.0,14,26,29,9,64680.0,71.0,10,5,33,48356,2338.0,2,176.0,21
0,21,69190.0,25740,17,12,196424,,8,15,22,16,112082.0,,31,31,17,115868,38195.0,14,175.0,26
0,6,61538.0,24057,10,0,177672,,14,8,27,33,91640.0,82.0,30,10,10,79184,27099.0,20,193.0,26
0,7,47686.0,17534,16,11,140333,45660.0,24,20,21,24,59773.0,72.0,13,12,26,37589,2325.0,18,183.0,24
0,35,41885.0,13080,35,27,140628,54334.0,9,14,12,20,64737.0,65.0,12,20,36,58535,860.0,15,180.0,17
0,19,1590.0,2378,18,0,140844,4055.0,20,21,26,26,33493.0,75.0,1,3,18,16099,361.0,3,186.0,10
0,3,65826.0,25081,14,9,196961,,10,8,23,34,92315.0,73.0,27,25,15,107521,47830.0,14,187.0,26
0,37,,26397,24,0,168807,,17,8,28,23,86807.0,,26,18,37,77655,16982.0,16,177.0,26
0,11,55719.0,22020,6,3,164213,,13,18,14,5,86617.0,,23,0,6,77514,26504.0,14,183.0,7
0,31,39842.0,12843,23,17,140292,52504.0,7,7,7,32,67388.0,58.0,9,22,23,57418,2276.0,1,166.0,20
0,16,50317.0,18455,3,14,138294,58535.0,15,1,2,3,68778.0,70.0,18,15,3,61900,6230.0,4,175.0,23
0,10,50824.0,18498,5,0,138830,,4,6,19,35,63841.0,72.0,15,17,5,58906,16154.0,6,187.0,12
0,34,57500.0,21405,25,0,170313,,19,8,5,29,86710.0,65.0,25,8,24,82089,17252.0,19,180.0,3
0,1,64374.0,24293,19,0,181230,,26,8,25,11,100965.0,64.0,29,18,19,102060,27043.0,19,182.0,26
0,24,,31655,24,18,229058,,24,23,8,30,419547.0,,36,26,27,155131,105979.0,13,,26
0,30,,24346,33,25,179111,,27,8,15,0,100931.0,,28,32,34,107949,37376.0,9,183.0,26
0,27,41076.0,13362,30,23,139405,54866.0,11,11,6,36,65995.0,70.0,14,2,31,51551,3277.0,18,177.0,14
0,2,16289.0,5,1,2,140924,19443.0,24,17,17,25,14575.0,61.0,0,29,1,7005,38.0,18,177.0,13
0,9,56664.0,20678,26,0,132382,,4,22,1,6,72234.0,73.0,19,7,25,66001,,20,1.81,18
0,26,26009.0,12193,27,19,140797,9096.0,22,24,10,38,54603.0,78.0,8,24,28,30229,784.0,0,184.0,16
0,4,,34430,24,8,269874,,25,8,13,14,,,38,4,14,161788,173217.0,17,,26
0,20,,26392,15,10,193131,,1,8,3,22,148275.0,69.0,34,19,16,89152,45363.0,10,176.0,26
0,12,56210.0,20760,20,15,132426,,19,8,16,37,86759.0,,24,13,20,65954,16807.0,14,187.0,2
0,25,56345.0,20861,28,20,155558,67077.0,10,9,6,2,86624.0,71.0,21,1,29,80972,16816.0,14,184.0,6
1,17,27802.0,10520,4,0,140184,28727.0,28,2,2,31,55032.0,67.0,6,11,4,32424,3155.0,19,170.0,19
0,38,54395.0,20730,36,28,168961,,1,16,4,15,75859.0,70.0,22,36,38,74709,18258.0,10,187.0,5
0,27,41076.0,13362,30,23,139405,54866.0,11,11,6,36,65995.0,70.0,14,2,31,51551,3277.0,18,177.0,14
0,18,,33556,12,6,261531,,16,8,0,13,,,37,35,12,178737,155993.0,17,,26
0,33,56666.0,18975,0,1,133024,64111.0,3,0,24,4,70590.0,58.0,17,34,0,65132,20147.0,7,172.0,25
0,13,19630.0,10023,7,0,140233,10112.0,21,3,27,7,54679.0,61.0,7,28,7,22431,794.0,19,175.0,9
1,0,28095.0,12823,29,21,137337,45429.0,0,10,9,1,58891.0,71.0,11,6,30,34412,2322.0,19,182.0,11
0,29,46998.0,16666,32,24,140492,55148.0,14,26,29,9,64680.0,71.0,10,5,33,48356,2338.0,2,176.0,21
0,23,56938.0,20257,21,0,167585,,5,25,11,12,86480.0,64.0,4,33,21,81851,16569.0,10,175.0,1
0,14,73302.0,27024,9,22,209345,,6,8,30,8,573361.0,56.0,33,23,9,140376,77970.0,8,164.0,26
