Viaf_Id,Gnd_Id,Official_Website,Freebase_Id,Library_Of_Congress_Authority_Id,Latitude,Longitude,Commons_Category,World_Cat_Identities_Id_Superseded,Id_Ref_Id,Main_Category,National_Library_Of_Israel_J9u_Id,Nl_Cr_Aut_Id,Quora_Topic_Id
134281470.0,45,92,68,144,50.064528,19.92375,0,132,64,0,9.870073408184051e+17,13,0
142523323.0,41,41,86,15,25.6186583333,85.1669472222,63,17,108,50,9.870074567575052e+17,0,47
145844349.0,16,129,103,24,59.9399361111,10.7220638889,96,26,42,104,9.870072690968051e+17,52,91
156563841.0,92,138,119,47,42.6936111111,23.335,78,0,45,60,9.870073001226052e+17,39,55
243856473.0,55,8,58,0,47.2679,11.3974,5,139,108,129,,0,3
137430799.0,22,149,115,76,37.9691666667,23.7808333333,58,71,102,46,9.870072662015052e+17,28,112
145023311.0,37,118,66,13,48.8541666667,2.3286111111,40,15,34,58,9.870075839249052e+17,62,30
141240524.0,117,128,24,48,-6.3606229,106.8272343,110,45,83,95,9.870074059973052e+17,0,68
147726875.0,3,54,47,132,16.0625,-16.42583333,135,121,75,129,,0,43
150022947.0,6,157,27,54,50.82186,4.39338,142,50,14,122,9.870076043577052e+17,50,108
136078439.0,70,143,95,28,38.11768,13.370131,118,30,33,105,9.870072694815052e+17,76,92
140714422.0,117,102,84,53,41.7176,-87.6097,16,49,94,15,,0,12
130740537.0,117,89,13,31,46.7252,-117.1596,144,33,92,124,9.870072698828051e+17,26,109
133612333.0,24,103,33,37,43.7033333333,-72.2883333333,19,37,22,18,9.870072602806052e+17,78,16
164513884.0,117,36,53,1,49.8356,24.0147,50,1,91,41,,79,43
137080884.0,66,134,40,63,50.5808333333,8.6763888889,42,59,97,87,9.870072634976051e+17,42,78
138323566.0,96,125,32,82,41.71,44.7783333333,83,77,108,66,9.870073010915052e+17,31,60
127559410.0,117,53,137,90,4.5958,-74.0684,92,84,108,74,9.870073155214052e+17,75,43
132501376.0,114,93,89,16,36.20997,37.12001,97,18,77,75,9.870072633376051e+17,0,69
145023311.0,37,118,66,13,48.8541666667,2.3286111111,40,15,34,58,9.870075839249052e+17,62,30
159033739.0,61,127,93,128,14.686955,-17.463338,134,9,23,14,9.870074148476051e+17,86,11
135593396.0,107,137,39,113,52.3822222222,9.7177777778,133,80,7,92,9.870072693789052e+17,90,43
133411557.0,63,85,88,45,53.5656512969,9.9847763424,132,43,57,91,9.870072693799052e+17,4,82
128922850.0,35,30,112,74,39.1666666667,-86.5,37,69,17,30,9.870072627986052e+17,95,27
155567035.0,17,153,57,22,60.4541666667,22.2847222222,124,24,39,111,9.870072689946052e+17,94,98
148943624.0,27,155,71,143,18.0058,-76.7467,130,131,79,118,9.870112574995052e+17,99,104
181230204.0,31,10,36,0,51.4013888889,-3.5325,9,106,108,129,,0,6
136173993.0,86,151,12,105,58.3811111111,26.7202777778,122,97,72,109,9.870072688459052e+17,37,96
122028935.0,0,66,136,141,53.7573,20.4612,139,129,108,114,9.870072975183052e+17,57,101
137201631.0,75,123,105,55,52.2069444444,0.1169444444,86,51,60,69,9.870072690251052e+17,65,62
134409977.0,7,154,104,20,59.8575,17.6288888889,140,22,11,120,9.870072694505052e+17,9,106
127404613.0,67,136,22,32,47.07761,15.44956,131,34,18,89,9.870072694730052e+17,3,80
133611292.0,116,0,61,41,,,49,0,43,40,9.870072828242052e+17,0,43
131237411.0,102,159,25,84,35.7092027778,139.7193333333,143,78,70,123,9.870072698877052e+17,29,43
132258348.0,91,156,45,133,54.6825,25.2872222222,141,122,27,121,9.870072696657052e+17,56,107
143949988.0,5,141,21,33,46.19899,6.14446,106,0,9,86,9.870074592587052e+17,33,77
153037232.0,44,59,130,67,36.7708,3.05542,98,63,48,76,9.870112575218052e+17,0,43
140902903.0,105,119,42,112,,,81,104,108,63,9.870073144164051e+17,0,43
132225788.0,113,69,63,79,37.5602777778,126.9369444444,146,74,82,126,9.870072701642052e+17,0,43
128638237.0,81,77,4,7,51.5119444444,-0.1161111111,45,7,41,36,9.870072639313052e+17,64,34
128638237.0,81,77,4,7,51.5119444444,-0.1161111111,45,7,41,36,9.870072639313052e+17,64,34
149131869.0,72,161,110,25,41.3111111111,-72.9266666667,145,27,81,125,9.870072701842052e+17,92,110
156242131.0,94,130,94,137,42.0004,21.4434,79,125,51,61,9.870073022865052e+17,40,43
141943129.0,103,101,72,147,34.1041,-117.713,17,0,86,16,9.870073400554052e+17,89,13
140720861.0,10,108,16,73,39.167222,-86.521389,38,108,108,31,9.870075281002052e+17,96,28
248753693.0,34,117,43,95,50.844722,4.3925,71,89,105,54,,0,35
132071179.0,117,58,78,109,45.6451944444,25.5891111111,59,100,85,129,9.870073204606052e+17,0,43
129553616.0,83,121,98,21,43.0376388889,-76.134,82,23,74,64,9.870075117609052e+17,21,58
