StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,EncodedProtein,GeneDbId,GenomicEndPosition
1,0,1037092,22,4,370,1037760
0,1,17649,97,3,404,18293
0,0,691,44,4,126,1236
0,0,54438,85,4,360,55025
0,0,1457246,28,4,90,1457890
1,0,486679,23,4,206,487260
0,0,1994529,27,4,223,1995197
0,0,8128,92,4,388,9057
0,1,27985,64,3,132,28680
0,0,621803,28,4,28,622513
1,0,806492,22,4,156,807166
0,1,111971,96,1,401,112468
0,0,4217,80,4,342,4870
0,0,6638,77,4,268,7294
1,0,162521,8,4,9,163066
0,0,1942577,28,4,10,1943209
0,0,734867,28,4,97,735451
1,0,1356881,28,4,313,1357417
1,0,1480762,28,4,93,1481322
1,0,35642,15,4,73,36247
0,0,1186465,22,4,348,1187163
0,0,120498,14,2,36,120884
1,0,1893637,28,4,111,1894275
0,0,438233,17,4,353,438865
0,0,308044,16,4,371,308712
0,0,1032920,18,4,302,1033564
0,0,1578312,28,4,120,1578872
0,0,76545,58,4,62,77237
1,0,10975,76,4,266,11667
0,0,496893,17,4,127,497483
1,0,1707370,27,4,30,1707996
1,0,6162,88,4,380,6677
1,0,277438,3,4,228,278070
0,0,1685914,28,4,112,1686468
0,0,476973,6,4,211,477620
0,0,564760,20,2,383,565167
1,0,3223,61,4,128,3882
0,0,1685527,28,0,117,1685667
0,0,4066,71,4,235,4704
0,0,1004,85,4,357,1645
1,0,376393,3,4,57,376974
0,0,767290,27,4,276,767988
1,0,426186,4,4,141,426818
0,0,6641,57,4,55,7249
0,0,264339,23,4,265,265007
0,0,27344,53,4,46,28027
1,0,1117975,28,4,322,1118634
1,0,30158,15,4,74,30799
1,0,159101,14,4,68,159847
0,0,694383,27,4,310,694973
0,0,1609563,28,4,115,1610144
0,0,487330,3,4,173,487905
1,1,355831,13,3,430,356421
1,0,1920904,28,4,108,1921473
1,0,10110,51,2,40,10499
0,0,1738602,28,4,338,1739252
0,0,514617,6,4,212,515441
1,0,1109041,28,4,319,1109679
0,1,347313,3,3,19,347837
0,0,250097,3,4,326,250738
1,0,4241,33,4,8,4939
0,0,569783,7,4,76,570400
0,1,543658,22,1,150,544317
0,0,51491,78,4,271,52129
1,1,18480,88,3,381,19103
1,0,8412,74,4,263,8984
1,0,598996,10,4,239,599763
0,0,430509,16,4,13,430625
1,0,1142287,27,4,409,1142859
0,0,338926,3,4,231,339516
1,0,1412725,26,4,215,1413348
1,0,1065931,27,4,405,1066542
0,0,15015,81,4,346,15668
1,0,5874,1,4,307,6518
1,0,25487,14,4,309,26110
1,1,503911,4,3,428,504309
1,0,610288,22,4,368,610947
0,0,1934724,27,4,222,1935320
0,0,216122,3,4,325,216763
1,1,587969,4,3,161,588625
1,0,411981,30,4,286,412598
1,1,462885,0,3,102,463493
1,0,13402,94,4,394,14001
0,0,275592,22,4,140,276224
1,0,601643,6,4,323,602338
1,0,1489,93,2,389,1845
0,0,314181,12,4,123,314714
0,0,1463646,28,4,89,1464254
1,0,1099440,27,4,407,1100102
0,0,444042,3,4,33,444695
0,0,41594,90,4,386,42175
0,0,750,63,2,130,1079
0,0,382086,3,4,59,382637
1,0,34388,1,4,306,35038
0,0,409331,16,4,254,410050
1,1,12661,83,3,351,13194
1,0,640880,11,4,83,641578
1,0,319437,4,4,423,320021
