StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,EncodedProtein,GeneDbId,GenomicEndPosition
1,1,1661937,16,2,12,1662950
0,1,394080,6,2,78,395492
0,0,1956215,18,8,59,1957918
0,0,739299,14,9,21,740372
1,0,1354634,18,8,50,1356346
0,1,427162,5,2,45,428550
0,1,544815,14,24,20,545819
0,0,806025,12,17,73,807440
0,1,119065,3,24,13,120630
0,0,965,24,13,4,2350
1,1,501994,4,2,26,503592
1,0,95182,36,5,72,96204
1,1,2120788,18,2,1,2122182
0,1,439477,6,2,74,440871
1,1,371496,19,2,53,373406
1,0,276033,2,14,34,276965
1,0,2133172,17,1,57,2133734
0,1,1719919,16,24,30,1720929
0,0,801154,11,16,80,802557
1,1,462872,7,2,18,464293
0,1,460189,5,2,48,461547
0,0,405529,18,11,79,406809
0,0,431323,7,22,17,432759
0,0,488378,2,1,25,488962
1,1,602953,14,2,62,603942
1,0,647746,18,10,2,649350
1,0,1052240,18,18,27,1053526
0,0,433358,6,10,75,434782
0,1,585836,5,2,82,587224
0,1,5479,23,24,3,6897
0,0,419701,6,10,41,421131
1,1,1478512,18,2,10,1480218
0,1,1109698,15,24,70,1111176
0,1,384458,5,2,49,385849
0,1,412408,6,2,42,413826
1,1,4406,1,24,44,5338
0,1,471442,5,2,47,472830
0,1,189334,10,2,64,190053
0,0,489063,2,0,5,489416
0,0,1805,20,21,16,3277
1,0,374896,2,6,6,375903
0,0,444157,18,11,43,445437
0,1,399644,8,2,19,401095
1,0,4375,28,17,23,5790
1,1,16488,22,2,67,17774
0,0,1622425,16,10,29,1623870
0,0,1176633,15,18,71,1178108
0,0,1204937,18,0,52,1206373
0,0,915636,14,1,36,915863
1,0,9875,33,0,65,10843
0,0,2076276,17,10,31,2077637
1,0,3,34,1,66,161
0,0,2898,31,20,60,4346
0,1,410611,13,2,37,411951
0,1,1612028,17,2,58,1613551
1,1,484647,15,24,28,486119
1,0,20227,27,0,11,21672
1,0,847224,17,10,0,848504
1,0,1884423,18,12,14,1885991
1,0,222680,7,20,35,224155
0,0,40730,32,20,61,42175
0,0,1860490,17,13,33,1861827
1,1,2137184,17,2,56,2138530
1,1,5179,35,2,69,6645
1,1,19890,9,2,8,21584
0,0,450994,6,19,22,452391
0,0,128835,0,15,81,129767
1,0,1181490,16,0,55,1181813
0,0,382887,6,4,76,384182
1,0,407386,0,0,24,407538
0,0,405110,6,10,40,406516
0,1,17999,26,2,9,19699
0,1,1,30,2,39,1461
0,0,1672462,18,6,15,1673448
1,0,55425,25,19,7,56906
0,1,3925,21,2,63,5370
0,1,375671,6,2,77,377047
0,0,1875676,17,21,32,1876953
1,0,1343381,18,3,51,1345315
0,0,400292,5,0,46,401051
0,0,17966,29,1,38,18574
0,0,1140743,16,23,54,1142020
1,0,37485,35,7,68,39044
