STRAND_ORIENTATION,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
1,112659,181,2,8,111770
0,839949,139,0,5,839030
1,1026191,30,0,0,1025282
1,3610921,95,0,0,3610027
0,155789,190,2,10,154923
0,3118809,83,2,0,3118143
1,1174013,35,0,0,1173317
1,95815,157,0,7,95057
1,583967,15,0,0,583080
0,165870,7,2,0,165091
1,275737,130,2,4,274820
0,2252035,65,0,0,2251144
0,2004091,149,0,6,2003193
0,2783867,176,0,7,2782938
1,199181,129,0,4,198480
1,7961,154,0,7,7128
0,93377,182,2,9,92506
1,3031781,81,0,0,3030872
1,616887,17,0,0,616004
0,129373,6,2,0,128459
0,2870102,75,2,0,2869325
1,3882969,103,0,0,3882101
0,1767921,133,0,4,1767010
1,3868423,102,0,0,3867484
0,2617008,197,0,12,2616131
1,1893252,54,0,0,1892656
0,2212759,164,2,7,2212110
0,2537510,67,2,0,2536628
0,1194078,36,0,0,1193275
1,2545626,195,0,12,2544759
1,179067,159,0,7,178182
1,1930786,56,0,0,1929878
0,42700,194,2,12,41878
1,2956805,78,2,0,2956075
0,2801127,205,0,12,2800200
1,983675,27,0,0,982762
0,2646027,173,2,7,2645141
0,3168386,84,0,0,3167475
0,1613672,46,2,0,1613054
0,1786331,134,0,4,1785448
1,38833,125,2,4,38004
1,64524,122,0,3,63623
0,119359,214,0,13,118488
0,1291545,119,0,2,1290640
0,2821965,206,0,12,2821073
0,1318081,120,0,2,1317200
0,2698387,201,2,12,2697497
0,2307482,66,0,0,2306646
1,97344,127,0,4,96440
0,46753,2,0,0,45868
0,1186857,115,0,2,1185970
1,3003728,80,0,0,3002854
1,14893,124,0,4,13998
1,254865,162,0,7,253708
1,43075,179,0,8,42181
1,4754,107,0,1,3889
1,322301,132,0,4,321431
1,2312685,166,0,7,2311817
1,45746,211,0,13,44991
1,3220661,87,2,0,3220015
1,2949731,77,0,0,2948776
1,38163,141,0,6,37286
0,880743,25,0,0,879833
0,3347574,88,2,0,3346878
0,1417676,42,2,0,1417041
0,1801661,135,2,4,1800772
0,2367422,167,0,7,2366716
1,34996,193,2,11,34098
0,105637,5,0,0,104764
1,289183,131,0,4,288291
1,1908900,55,0,0,1907989
0,33425,178,0,8,32546
1,80766,212,0,13,79828
0,2179730,63,0,0,2178836
1,56816,187,0,10,55936
1,3550296,93,0,0,3549573
0,2995898,210,0,12,2995002
0,364621,11,0,0,363730
0,1094682,33,0,0,1093809
0,857958,24,0,0,857048
1,2705515,71,2,0,2704850
1,76101,156,0,7,75205
1,1770959,49,0,0,1770066
1,3910556,105,0,0,3909665
0,2662826,200,0,12,2661928
0,2926376,208,2,12,2925636
0,1248359,39,0,0,1247462
1,78507,126,2,4,77618
1,93604,213,0,13,92715
1,820,153,0,7,152
0,815039,22,0,0,814169
0,2783215,204,2,12,2782301
1,113300,158,0,7,112144
1,133377,189,0,10,132540
0,11796,0,0,0,10901
1,146106,128,2,4,145433
1,1284813,111,0,1,1283955
0,2877942,76,2,0,2877270
0,2726363,72,2,0,2725684
1,120842,109,0,1,119945
1,1153637,34,0,0,1152742
1,2008858,59,0,0,2007978
0,2596095,171,0,7,2595159
0,759899,21,2,0,759170
0,2551606,170,2,7,2550972
1,1040077,31,2,0,1039506
0,346732,10,0,0,345835
0,2932579,209,2,12,2931935
1,4378,123,2,4,3485
0,826454,23,0,0,825605
1,127918,215,0,13,127024
0,84763,4,0,0,83884
0,1852658,137,0,4,1851750
1,1009343,29,0,0,1008447
0,3052381,82,2,0,3051492
0,2127433,185,0,9,2126559
0,2711241,202,0,12,2710329
1,2815974,74,2,0,2815301
1,43615,155,0,7,42720
1,2027332,60,0,0,2026451
1,2051827,152,0,6,2050966
1,65756,142,0,6,64848
0,2652248,199,2,12,2651353
1,3659876,97,2,0,3658970
1,2564908,68,0,0,2564013
1,3954382,106,2,0,3953716
0,2157748,62,0,0,2156854
0,1347591,41,0,0,1346693
1,526126,14,2,0,525496
1,10693,177,0,8,9931
0,1230850,38,1,0,1230443
0,1872146,138,0,4,1871256
0,3175328,85,2,0,3174631
0,2771720,175,0,7,2770833
0,743255,20,0,0,742382
0,3379061,89,2,0,3378314
0,3182281,86,2,0,3181624
1,3482173,91,0,0,3481283
0,1210237,37,0,0,1209330
1,988351,28,2,0,987725
0,324293,163,2,7,323385
0,1438969,43,0,0,1438094
1,3892299,104,0,0,3891419
1,3743061,100,2,0,3742382
1,84968,143,2,6,84024
0,2097475,184,0,9,2096692
0,1327411,40,0,0,1326527
1,237285,161,0,7,236377
1,189169,219,0,13,188272
0,2218472,64,2,0,2217756
0,67225,3,0,0,66335
0,1205860,116,0,2,1204942
1,1827968,51,0,0,1827078
0,2021370,150,0,6,2020462
0,33872,1,0,0,33277
1,77458,108,2,1,76610
0,1150468,114,0,2,1149549
0,1594881,45,0,0,1594014
0,2200677,186,0,9,2199788
0,3426722,90,0,0,3425850
1,1715761,48,2,0,1715156
1,1062170,32,0,0,1061271
1,121515,144,2,6,120611
0,251301,8,0,0,250440
0,2574717,196,0,12,2573812
0,906554,26,2,0,905921
1,62971,180,2,8,62301
1,13000,121,0,3,12198
1,3806554,101,0,0,3805732
1,3505382,92,0,0,3504459
1,209987,145,0,6,209125
1,1790274,50,0,0,1789375
0,3733654,99,0,0,3732796
0,268360,9,0,0,267451
0,438609,12,0,0,437719
1,1967467,58,0,0,1966575
1,3702726,98,0,0,3701790
0,1984098,148,0,6,1983179
1,601650,16,0,0,600802
1,113373,188,0,10,112520
1,2621113,70,0,0,2620236
0,2888805,207,2,12,2887907
0,2042250,151,0,6,2041355
1,1386,140,2,6,484
1,3596070,94,2,0,3595390
1,246982,191,2,10,246140
1,2090425,61,0,0,2089410
1,1845491,52,0,0,1844736
0,1271094,118,0,2,1270209
0,1628990,47,0,0,1628066
0,1898490,146,2,6,1897629
0,2634567,198,0,12,2633713
1,191596,160,2,7,190749
1,171488,218,0,13,170598
0,497244,13,0,0,496597
1,1859223,53,2,0,1858664
1,144405,216,0,13,143511
1,2990646,79,2,0,2989777
1,15958,192,0,11,15068
0,2445932,169,2,7,2445267
1,1948074,57,0,0,1947184
1,1546310,44,0,0,1545461
0,1361459,112,2,1,1360547
0,2262487,165,2,7,2261658
0,708959,19,0,0,708072
0,2079425,183,0,9,2078553
1,208310,220,0,13,207430
0,2695396,174,2,7,2694666
0,2407346,168,0,7,2406544
0,1908828,147,0,6,1907931
0,2615497,172,0,7,2614624
1,1231122,110,0,1,1230272
1,3632450,96,0,0,3631526
0,2773159,73,2,0,2772414
0,1823794,136,0,4,1822913
1,350187,221,2,13,349230
0,689590,18,0,0,688695
1,160866,217,0,13,159967
1,2586058,69,0,0,2585173
0,1237158,117,0,2,1236391
0,2764326,203,2,12,2763689
1,104951,113,0,2,104050
