Gender,Biography,Nationality,BirthDate,FirstName,FullName,GoogleKnowledgeGraphId,Birthplace,AlmaMater,NativeName,Profession
1,106,2,55,64,185,12,22,10,0,24
1,6,2,76,19,39,167,57,10,72,2
1,5,2,140,42,76,141,21,10,38,2
1,37,2,75,115,211,136,64,10,96,32
1,64,2,123,64,148,53,90,10,0,44
1,95,2,139,64,120,38,93,10,0,10
1,11,2,121,6,12,167,99,10,10,5
1,53,2,25,35,58,134,16,10,77,39
1,48,2,138,20,40,83,64,10,0,32
1,108,2,69,58,106,167,23,10,43,28
0,74,2,122,0,0,167,75,10,67,51
1,39,2,21,16,33,88,64,10,0,27
1,31,2,105,26,67,167,1,10,31,20
1,18,2,171,111,207,167,76,10,106,12
1,78,2,165,36,61,75,64,10,0,6
1,53,2,82,110,206,54,15,0,88,39
1,78,2,10,46,81,93,64,10,19,58
1,78,2,11,114,210,113,64,10,64,0
1,22,2,54,64,64,6,64,10,70,14
1,30,2,16,90,162,162,64,10,44,18
1,53,2,50,65,117,92,21,10,63,39
1,1,4,77,64,8,46,64,10,0,17
1,14,2,186,102,183,161,90,10,107,10
1,104,2,148,2,4,167,42,10,17,12
1,89,2,85,64,204,109,50,10,0,10
1,11,2,217,117,218,66,22,10,21,5
1,16,2,155,120,224,107,95,10,35,10
1,42,2,99,64,138,167,71,10,118,25
1,2,4,213,64,14,167,4,10,0,48
1,11,2,198,71,127,166,17,10,97,5
1,18,2,89,40,75,146,31,10,4,12
1,78,2,165,84,147,117,64,10,0,6
1,66,2,178,64,70,30,64,10,0,48
1,77,2,28,44,72,167,84,10,87,33
1,67,2,208,32,53,60,73,7,0,48
1,78,2,87,66,119,167,73,10,0,11
1,53,2,66,50,91,144,64,10,0,39
1,11,2,215,73,133,67,90,10,0,5
1,82,6,205,23,71,20,83,10,123,48
1,98,2,173,38,63,165,64,10,0,10
1,10,2,27,55,102,115,90,10,99,4
1,29,2,146,37,62,167,81,10,8,30
1,22,2,97,66,118,157,90,10,78,14
1,97,2,167,64,208,82,64,10,0,10
1,53,2,62,64,94,14,73,10,0,39
1,20,2,48,64,36,1,29,11,0,45
1,22,2,47,64,223,42,64,10,0,14
1,78,2,220,64,194,34,64,10,101,6
1,53,2,94,64,95,31,64,10,0,39
1,40,2,12,64,35,119,53,1,65,27
1,96,2,142,64,77,147,64,10,0,10
0,78,2,144,27,48,73,101,10,66,57
1,3,1,92,64,165,167,87,13,0,39
1,5,2,41,25,45,167,72,10,23,2
1,110,2,42,64,22,100,10,10,0,35
1,108,2,13,55,101,167,98,10,5,25
1,18,2,159,64,152,156,63,10,57,12
1,78,2,71,77,139,123,64,10,29,0
1,78,2,44,67,122,76,90,10,69,0
0,102,2,195,49,90,4,64,10,0,10
1,83,0,102,64,23,108,85,10,0,61
1,53,2,29,82,144,121,22,10,47,39
1,76,2,70,81,143,111,89,10,0,62
1,14,2,156,97,176,99,31,10,111,10
1,11,2,219,88,155,61,90,2,0,5
1,84,4,88,64,83,37,64,10,0,25
1,88,2,78,10,25,143,60,10,68,10
1,81,2,26,22,21,167,32,10,0,39
1,5,2,127,119,222,89,90,10,27,2
1,66,2,175,64,16,18,76,10,0,47
1,22,1,134,64,9,167,55,10,95,14
1,78,2,8,89,161,36,88,10,0,1
1,27,2,137,64,1,28,52,10,1,15
1,78,4,4,64,98,58,64,10,0,39
0,10,2,130,52,96,72,19,12,84,4
1,78,2,81,15,32,98,90,10,104,0
0,46,2,172,64,85,167,5,10,0,49
0,49,2,174,64,215,15,64,10,0,34
1,78,2,56,112,209,0,31,10,0,16
1,111,2,52,107,199,151,34,10,50,39
1,47,2,129,8,18,167,86,10,36,7
0,14,2,194,72,128,7,11,10,74,10
1,61,2,128,64,20,167,51,10,116,15
1,28,2,61,57,105,131,64,10,0,17
1,46,2,90,102,182,167,91,10,11,31
1,43,2,9,103,184,84,88,10,0,26
1,103,2,201,64,80,19,64,10,0,10
1,78,2,126,60,108,85,77,10,0,43
0,18,2,190,78,140,167,58,10,15,41
1,15,2,119,32,54,135,73,10,46,10
1,78,2,86,93,170,163,14,10,62,14
0,106,2,124,64,26,8,64,10,0,24
1,11,2,170,48,89,167,59,10,53,5
1,109,2,197,64,203,49,64,10,0,32
1,78,2,212,45,74,167,46,10,113,41
1,92,2,108,5,7,102,5,10,0,10
1,11,2,169,64,214,167,90,10,37,5
1,11,2,218,14,31,62,82,8,112,5
1,68,2,120,54,100,104,90,10,98,50
1,67,2,187,64,160,24,64,10,0,48
1,113,2,136,95,173,167,38,10,18,12
1,18,2,93,64,202,41,64,10,0,12
1,78,2,106,30,51,145,90,10,0,2
1,11,2,202,64,131,33,90,10,0,5
1,86,2,183,109,201,21,92,10,0,48
1,55,2,20,11,27,138,64,10,48,39
1,28,2,58,18,37,70,64,9,117,17
1,78,2,132,104,188,35,64,10,12,6
1,69,2,67,21,41,86,76,10,103,53
1,80,5,200,68,123,23,64,10,0,48
0,97,2,168,33,55,149,64,10,0,10
1,85,4,149,91,164,22,66,10,0,48
1,7,2,157,59,107,167,43,10,61,2
1,52,2,220,64,3,167,25,10,0,38
1,18,2,79,64,216,40,2,10,40,12
1,53,2,39,11,28,167,64,10,71,39
1,70,2,14,64,19,3,30,10,90,18
1,44,2,143,3,5,167,27,10,93,7
1,94,2,131,98,177,122,12,10,0,10
0,114,2,153,94,172,167,5,10,49,3
1,11,2,184,64,169,148,40,10,22,5
1,78,2,177,79,141,155,19,10,0,52
1,14,2,185,106,195,160,80,10,110,10
1,67,2,147,64,104,32,2,10,0,48
1,8,2,98,108,200,167,9,10,89,2
1,50,4,53,64,59,112,63,10,0,36
1,78,2,65,113,66,167,64,10,86,34
0,14,2,176,64,219,77,21,10,80,10
1,11,2,214,61,109,68,5,5,109,5
0,36,2,115,64,221,50,64,10,7,24
1,11,2,162,41,68,69,78,10,24,5
1,13,4,116,64,115,52,88,10,0,9
1,14,2,154,100,179,154,41,10,0,10
1,79,2,180,64,166,167,49,10,119,3
1,12,2,189,64,132,13,74,10,82,8
1,5,2,109,118,220,97,18,10,114,2
1,11,2,179,48,87,167,19,10,3,5
1,18,2,103,80,142,94,97,10,75,12
1,22,2,137,64,15,45,64,10,0,14
1,56,2,24,64,11,118,61,10,108,39
1,50,2,23,86,153,167,90,10,20,36
1,11,2,204,64,130,47,5,10,0,5
1,24,2,0,64,150,48,64,10,0,14
1,34,2,36,56,103,91,67,10,33,23
1,18,2,118,24,44,129,101,10,121,12
0,10,2,188,64,193,27,64,10,0,0
1,32,2,51,64,43,9,69,10,0,21
1,11,2,125,64,174,167,82,10,52,5
1,71,2,117,64,191,167,28,10,59,46
