Gender,Biography,Nationality,BirthDate,FirstName,FullName,GoogleKnowledgeGraphId,Birthplace,AlmaMater,NativeName,Profession
1,38,0,6,6,9,30,37,39,25,25
1,26,0,63,37,36,32,37,26,0,18
1,60,4,88,37,107,108,44,1,1,25
1,31,0,25,16,99,103,1,36,71,22
1,18,0,38,37,5,58,48,15,11,10
1,54,0,91,54,94,42,48,9,8,32
1,33,0,110,40,74,55,48,15,32,24
1,63,0,27,37,103,92,37,39,50,24
1,4,0,71,45,83,108,48,9,38,9
1,25,0,72,26,54,3,48,37,69,18
1,20,0,87,23,47,46,4,27,43,19
1,21,0,51,22,45,67,39,15,0,12
1,62,0,82,37,105,11,11,28,0,13
1,56,0,62,29,57,91,13,6,2,10
1,11,0,60,60,106,50,37,39,0,9
1,42,0,24,31,59,108,39,39,18,22
1,39,0,23,37,75,9,48,29,15,25
0,20,0,108,69,126,52,17,39,28,12
1,8,0,103,10,17,82,48,9,66,7
1,29,0,28,42,78,108,48,39,55,32
1,56,0,95,56,98,68,25,14,27,24
1,56,0,107,37,30,48,37,20,0,10
1,46,0,2,47,11,108,32,17,30,8
1,57,0,105,52,85,108,37,3,54,3
1,22,0,40,37,120,73,27,2,37,13
1,45,0,37,37,6,5,15,28,57,9
1,56,0,66,20,41,72,51,23,7,7
1,2,0,59,32,60,63,37,39,0,24
1,11,0,22,17,35,71,17,10,61,9
1,56,0,116,37,96,102,28,20,5,6
1,17,0,10,37,18,31,36,32,34,10
1,12,0,39,51,88,99,37,28,29,9
1,56,0,31,20,43,40,37,37,0,9
1,23,0,42,11,20,39,37,28,0,16
1,43,0,68,41,76,108,49,18,40,24
1,8,0,78,37,28,34,48,5,52,7
1,56,0,98,53,91,47,48,33,62,20
1,15,0,3,37,68,108,31,39,31,17
1,13,0,16,37,33,108,37,41,0,9
1,56,0,14,38,70,28,37,20,64,9
1,51,0,58,64,114,33,37,39,0,31
1,20,0,92,25,50,75,34,41,10,12
1,33,0,60,19,39,85,37,15,47,24
1,20,0,106,41,77,20,0,22,20,12
1,56,0,83,66,121,1,16,28,0,7
1,56,0,72,62,111,45,37,16,0,24
1,56,0,64,14,27,36,37,18,0,24
1,6,0,43,48,84,51,48,39,24,0
1,11,0,15,37,108,90,38,6,67,9
0,47,0,77,36,69,14,37,21,0,30
1,47,0,114,5,7,80,37,12,0,30
1,19,0,47,57,101,97,9,7,0,10
1,13,0,67,37,63,19,37,20,0,9
1,11,0,107,37,93,18,45,42,0,9
1,11,0,21,37,109,106,37,39,6,4
1,56,0,76,67,124,74,37,6,0,9
1,3,2,97,37,3,15,37,28,0,8
1,56,0,17,37,14,89,6,40,26,0
1,56,0,73,34,64,77,37,39,0,4
1,20,0,13,37,34,108,40,20,0,12
1,11,0,74,63,112,66,37,38,0,4
1,17,0,100,0,0,83,26,11,68,10
1,34,0,86,8,15,105,24,9,42,24
1,56,0,85,14,26,88,37,23,0,24
1,7,0,79,37,23,2,14,34,0,27
1,56,0,75,37,115,7,37,0,0,4
1,56,0,31,37,95,16,37,6,0,9
1,56,0,96,9,16,96,37,8,0,16
0,55,3,99,43,71,108,18,37,14,7
1,56,2,41,37,73,12,37,37,0,0
1,1,0,57,57,116,104,37,35,0,0
0,20,0,101,37,92,23,37,8,0,12
1,50,0,59,37,62,35,37,20,0,30
1,56,0,111,50,87,54,29,41,0,9
1,56,0,35,37,13,78,37,30,0,2
1,17,0,89,33,61,108,37,11,0,10
1,47,0,104,37,40,86,37,39,12,30
1,61,0,64,65,52,108,21,41,0,32
1,28,0,112,37,127,25,2,7,0,21
1,33,0,61,12,22,69,23,15,33,24
1,32,0,30,20,42,81,48,9,73,23
1,56,0,102,44,80,76,9,7,63,11
1,56,0,90,37,122,64,39,15,51,0
1,56,0,84,55,97,44,40,20,44,24
1,25,0,52,37,21,8,37,24,0,18
1,25,0,65,37,102,10,48,37,0,18
1,56,0,18,18,37,95,37,7,49,2
1,14,0,8,7,12,108,50,4,45,9
1,11,0,84,61,110,65,9,9,65,9
1,59,1,12,37,117,108,10,16,0,25
1,11,0,48,37,90,24,9,8,23,9
1,17,0,81,37,100,4,11,27,0,10
1,27,0,11,37,89,108,43,39,17,18
1,17,0,55,13,25,108,12,39,53,17
1,0,0,4,46,82,60,37,39,4,16
1,5,0,9,35,66,61,19,25,35,2
1,44,2,19,39,72,6,37,37,41,28
1,25,0,56,28,56,107,48,37,0,18
1,35,0,115,2,2,38,42,41,0,24
1,56,0,80,37,19,70,37,20,0,24
1,56,0,101,27,55,53,20,13,0,24
1,20,0,94,37,46,59,37,37,0,12
1,56,2,33,37,113,21,37,20,0,29
1,48,0,1,4,53,49,30,9,21,30
1,49,0,34,42,79,79,48,39,13,30
1,41,0,45,1,1,94,35,39,0,14
1,53,0,36,30,58,108,33,20,46,32
0,52,0,46,37,119,98,37,28,19,31
1,11,0,37,37,123,17,47,6,0,9
1,47,0,49,21,44,101,22,19,22,30
1,56,0,113,15,29,26,37,39,3,5
1,17,0,29,37,81,13,8,20,9,10
1,16,0,0,58,38,108,7,20,39,25
1,36,0,109,35,65,56,46,39,16,25
1,9,2,72,12,24,100,37,39,0,8
1,8,0,93,37,8,62,5,41,60,7
1,47,0,53,49,86,29,37,37,56,30
1,56,0,70,37,118,0,3,39,0,16
1,11,0,50,37,10,27,37,20,48,9
1,56,0,7,37,49,57,48,39,36,9
1,58,0,20,37,67,93,11,39,72,25
1,33,0,44,24,48,108,9,35,0,24
1,10,0,32,37,31,87,37,30,70,8
1,37,0,5,37,32,84,6,20,0,25
1,24,0,26,59,104,37,47,28,0,15
1,40,0,69,68,125,43,41,20,58,26
1,30,0,77,3,4,41,37,31,0,1
1,23,0,54,25,51,22,48,20,59,16
