Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,0,1160395,345,345,3,55,1159709
0,0,18293,402,402,3,154,17649
0,0,7200,132,132,4,24,6637
0,0,55025,357,357,4,99,54438
0,0,1464254,86,86,4,95,1463646
1,0,494817,200,200,4,14,494134
0,0,2016292,327,327,4,62,2015537
0,0,9057,386,386,4,90,8128
0,0,4555,130,130,4,129,3962
0,0,683253,96,96,4,57,682675
0,0,844685,366,366,3,111,844098
0,0,112468,399,399,1,37,111971
0,0,4870,338,338,4,138,4217
0,0,2682,262,262,4,129,1954
0,0,158502,17,17,4,1,158113
0,0,1955674,330,330,4,158,1955171
1,0,756041,97,97,4,95,755460
1,0,1368555,308,308,4,75,1367977
1,0,1487064,90,90,4,28,1486369
1,0,44362,299,299,3,120,43754
0,0,265007,256,256,4,5,264339
0,0,128464,414,414,2,7,128075
1,0,1921473,106,106,4,57,1920904
0,0,458814,350,350,4,98,458125
0,0,316703,369,369,4,46,316059
0,0,548591,223,223,2,41,548190
0,0,1604078,114,114,4,75,1603452
0,0,85370,59,59,4,76,84681
0,0,17407,259,259,4,43,16820
0,0,1033564,296,296,4,165,1032920
0,0,1738968,26,26,3,41,1738420
1,0,6677,377,377,4,89,6162
1,0,278070,219,219,4,155,277438
0,0,1731530,334,334,4,57,1730895
0,0,477620,203,203,4,111,476973
0,0,567879,379,379,2,88,567310
0,0,10321,124,124,4,43,9749
0,0,1686468,110,110,4,95,1685914
0,0,7629,227,227,4,43,6979
0,0,1645,354,354,4,103,1004
1,0,376974,53,53,4,148,376393
1,0,807869,23,23,3,116,807330
1,0,426818,134,134,4,127,426186
1,0,39701,50,50,4,43,39237
0,0,307213,257,257,4,14,306524
1,0,782,44,44,4,125,129
1,0,1132814,316,316,4,57,1132212
1,0,36247,70,70,4,63,35642
1,0,170789,66,66,4,31,170208
1,0,717564,268,268,4,121,716974
1,0,1637787,112,112,4,57,1637185
0,0,487905,167,167,4,148,487330
1,0,628319,181,181,3,65,627354
0,0,1932015,105,105,4,95,1931470
0,0,2027,38,38,4,71,1341
0,0,1743790,333,333,4,57,1743146
0,0,515441,204,204,4,65,514617
1,0,1118634,318,318,4,150,1117975
0,0,347837,16,16,3,9,347313
0,0,250738,321,321,4,155,250097
1,0,1579,2,2,4,164,1004
0,0,578960,74,74,4,113,578253
1,0,552848,142,142,4,161,552180
0,0,52129,263,263,4,129,51491
1,0,19103,378,378,3,31,18480
0,0,4829,255,255,4,38,4128
1,0,603114,236,236,4,15,602248
0,0,436400,10,10,4,26,435816
0,0,1148872,408,408,4,34,1148204
0,0,339516,222,222,4,82,338926
1,0,1581481,212,212,4,84,1580900
1,0,1081012,404,404,4,167,1080440
0,0,15668,342,342,4,20,15015
1,0,6518,302,302,4,148,5874
1,0,33001,18,18,4,47,32291
1,0,504309,426,426,3,143,503911
1,0,668902,146,146,4,77,668282
0,0,1995197,214,214,4,147,1994529
0,0,216763,320,320,4,141,216122
1,0,588625,154,154,3,107,587969
0,0,416038,381,381,4,64,415541
1,0,463493,99,99,3,79,462885
1,0,14001,392,392,4,151,13402
0,0,385637,19,19,3,55,384969
1,0,627298,98,98,4,83,626603
1,0,1845,387,387,2,87,1489
1,0,375081,120,120,4,25,374536
