Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,0,1097,13,13,7,54,1
1,0,30308,54,54,6,11,27168
1,0,81368,21,21,2,83,80808
0,0,763,10,10,1,25,5
0,0,703218,19,19,8,27,701626
1,0,5286,83,83,2,30,4336
1,0,93861,101,101,2,49,92599
0,0,716461,50,50,6,50,713525
0,0,581462,113,113,5,24,578019
0,0,212280,149,149,8,31,211864
0,0,38881,134,134,2,58,36347
0,0,297517,82,82,6,87,294389
1,0,83014,123,123,8,90,81473
1,0,720,142,142,8,28,1
0,0,666404,22,22,8,26,665952
1,0,30302,0,0,2,86,29316
1,0,5807,132,132,2,34,3882
1,0,118859,99,99,2,35,115842
0,0,9728,43,43,6,40,6585
0,0,12029,48,48,8,88,11478
1,0,6579,70,70,2,9,5257
1,0,4234,79,79,2,44,3116
0,0,99546,111,111,2,28,97369
1,0,32123,61,61,2,50,29739
0,0,929052,125,125,2,86,925927
1,0,4123,91,91,5,1,1628
0,0,116617,57,57,6,43,113450
0,0,8113,67,67,2,91,5945
1,0,4229,139,139,6,51,1371
1,0,33235,7,7,8,78,30782
0,0,1206,16,16,8,87,1
0,0,789292,98,98,2,11,788021
1,0,53098,128,128,2,24,49949
1,0,99066,114,114,2,82,97825
0,0,506906,102,102,0,87,503742
0,0,1289,11,11,8,92,3
1,0,546,144,144,8,62,1
1,0,383983,5,5,2,59,383429
0,0,213521,150,150,2,50,212382
1,0,57661,45,45,2,56,55166
1,0,74545,152,152,2,68,72053
0,0,8781,28,28,2,48,5653
0,0,599,1,1,7,32,3
1,0,81855,147,147,6,15,78709
1,0,341238,29,29,2,73,338959
0,0,227216,80,80,8,69,225387
0,0,5181,106,106,2,88,4192
1,0,99079,55,55,2,3,97820
1,0,35758,6,6,7,78,35156
1,0,46653,89,89,2,18,44743
0,0,521345,25,25,6,55,518232
1,1,54155,60,60,6,38,50976
1,0,96937,122,122,2,61,96035
0,0,1771,20,20,8,18,5
0,0,9252,129,129,8,80,7177
1,0,1005,18,18,8,63,1
0,0,573456,49,49,2,31,572590
1,0,552643,119,119,2,29,550361
0,0,1017672,51,51,2,12,1015075
1,0,1291,14,14,8,93,11
1,0,55385,131,131,6,53,52233
0,0,6751,107,107,2,91,5450
1,0,3425,120,120,2,67,855
1,0,68231,100,100,6,74,65097
0,0,750258,9,9,7,70,748432
1,0,201286,39,39,2,3,199007
0,0,307836,153,153,8,42,304756
1,0,13944,65,65,5,0,11467
1,0,43791,74,74,6,78,40663
0,0,100486,56,56,2,45,98009
1,0,1126783,133,133,5,14,1124243
1,0,4790,126,126,6,20,1644
0,0,304,130,130,7,81,2
1,0,30678,116,116,7,41,29548
0,0,642289,109,109,6,48,639173
1,0,40231,112,112,7,16,38468
1,0,704,15,15,3,17,18
0,0,701522,73,73,2,34,698580
1,0,33620,88,88,6,68,30504
0,0,673825,85,85,2,73,670661
0,0,782421,66,66,2,73,781378
0,0,100844,35,35,7,71,99663
0,0,632799,52,52,6,69,629461
0,0,559272,84,84,6,53,556483
1,0,4270,38,38,5,84,1799
0,0,673601,77,77,2,80,670680
0,0,429068,86,86,6,85,425925
1,0,484,141,141,8,59,2
1,0,7065,72,72,2,74,6076
0,0,532553,154,154,2,7,531252
1,0,28960,2,2,2,86,27503
1,0,1651,96,96,2,15,830
0,0,302755,63,63,8,42,301802
0,0,1330,12,12,8,64,2
0,0,492209,24,24,2,82,489726
0,0,704396,17,17,8,45,703461
0,0,225838,94,94,6,33,222980
1,0,24175,40,40,6,19,21059
0,0,1482,108,108,2,43,1
0,0,3560,33,33,2,6,861
1,0,40333,121,121,6,23,37199
0,0,296392,26,26,6,50,293633
0,0,694715,136,136,2,34,691713
0,0,201983,148,148,2,50,197949
0,0,232598,155,155,2,31,230508
1,0,52289,87,87,6,10,48939
0,0,796646,64,64,2,11,794730
0,0,762911,105,105,2,34,760413
0,0,1815,95,95,2,51,1
1,0,11460,145,145,7,71,9091
0,0,767496,97,97,2,11,766105
1,0,341160,156,156,2,86,338881
0,0,135805,157,157,6,29,132644
0,0,458580,59,59,2,66,455587
1,0,2735,81,81,2,59,246
1,0,4884,53,53,2,72,1753
0,0,562767,62,62,6,56,559651
0,0,720169,30,30,6,49,717008
1,0,11360,93,93,6,43,8184
0,0,1011,8,8,8,38,1
0,0,7732,69,69,6,37,4595
0,0,696,117,117,7,80,1
1,0,153763,104,104,5,52,151067
0,0,329442,68,68,7,4,326975
1,0,5115,58,58,5,37,2545
0,0,315827,127,127,6,79,312663
1,0,36371,143,143,2,57,34218
0,0,326955,34,34,6,11,323962
1,0,6322,47,47,6,19,3197
0,0,772874,151,151,6,81,769737
0,0,638513,75,75,2,41,636579
0,0,220362,118,118,5,11,217744
1,0,40751,44,44,2,65,38379
1,0,5438,140,140,7,71,3198
1,0,8449,124,124,6,75,5315
1,0,37772,137,137,6,60,34755
0,0,11809,41,41,2,77,9641
0,0,8362,135,135,2,89,5834
1,0,96112,115,115,6,14,92984
1,0,7840,71,71,2,9,6842
1,0,16287,37,37,2,13,13156
1,0,371763,4,4,9,39,371065
1,0,3141,92,92,7,32,982
1,0,5564,42,42,2,35,2433
0,0,567659,27,27,1,19,567123
0,0,634208,32,32,8,2,633441
1,0,34862,90,90,1,8,34431
0,0,742903,103,103,2,76,741965
1,0,11203,46,46,2,56,8075
0,0,12199,146,146,2,36,10430
0,0,631461,76,76,2,41,630235
1,0,2165,138,138,7,22,1
0,0,676357,31,31,2,94,675068
1,0,46094,78,78,5,60,43491
1,0,301337,23,23,2,5,298548
1,0,48145,3,3,4,21,47690
1,0,11508,110,110,5,46,8902
0,0,1015710,36,36,6,47,1014604
