profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,cyclist_name,nationality,twitter_handle,birth_place,uci_rider_id,languages,weight_kg,birth_date,first_name,google_knowledge_graph_id,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm
0,11,61537.0,24873.0,12,8,185567,12,5,3,14,111336,4,,6,11,1,104450,37297,2,184
0,7,,28521.0,7,6,206257,7,0,1,2,154218,4,,11,7,9,118544,70377,2,174
0,10,49272.0,17881.0,9,0,140294,8,7,4,6,76092,0,56.0,1,8,12,38092,4863,5,169
0,13,83297.0,30649.0,0,8,217290,0,3,3,5,308040,3,62.0,13,0,6,150789,96981,2,182
0,3,89232.0,,4,8,209985,4,3,3,11,301151,3,,12,4,8,154036,80489,1,194
0,9,92920.0,31654.0,5,2,240140,5,7,8,1,415141,6,,14,5,11,140379,114659,3,183
0,12,12832.0,7751.0,14,7,140343,14,4,7,12,862522,4,65.0,0,12,12,25301,929,5,183
0,4,62259.0,24110.0,1,1,181212,1,2,0,0,250807,2,,3,1,4,94988,27301,2,184
0,14,,,13,8,222121,13,5,3,4,798903,4,,10,11,10,142691,87900,7,176
1,0,49682.0,17893.0,10,4,134456,10,8,5,3,553301,1,58.0,2,9,12,65130,6242,4,172
0,6,70041.0,27132.0,6,8,198315,6,7,3,9,153513,6,,7,6,5,138346,54660,2,170
0,5,66256.0,25157.0,3,3,189438,3,1,2,10,96372,4,65.0,5,3,2,97448,41249,2,174
0,1,69634.0,26526.0,11,5,194619,11,6,6,8,149727,5,66.0,9,10,3,115790,45992,0,176
0,8,84444.0,,8,8,209865,9,8,3,7,266691,2,,8,9,7,140707,51252,2,182
0,2,61538.0,24057.0,2,8,177672,2,3,3,13,91640,3,82.0,4,2,0,79184,27099,6,193
