SportType,EditionNumber,StartLocation,RaceDistanceKm,RaceWinner,EndLocation
0,76.0,10,166.0,15,9
0,51.0,1,172.9,8,1
0,75.0,9,187.4,18,8
0,9.0,2,199.5,11,7
0,71.0,5,171.0,19,4
0,51.0,8,187.0,6,11
0,55.0,1,169.0,0,1
0,49.0,1,170.0,12,1
0,72.0,10,169.0,15,9
0,74.0,4,200.0,20,9
0,49.0,0,484.7,3,0
0,62.0,13,157.5,10,12
0,51.0,12,201.4,4,2
0,69.0,14,154.0,8,13
0,68.0,6,168.0,14,5
0,69.0,10,,8,9
0,62.0,14,,2,13
0,66.0,15,,17,14
0,65.0,14,152.0,5,13
0,3.0,7,169.6,16,6
0,47.0,1,,13,1
0,65.0,5,171.0,1,4
0,82.0,3,,7,3
0,63.0,14,,9,13
0,53.0,11,,10,10
