Viaf_Id,Gnd_Id,Official_Website,Freebase_Id,Library_Of_Congress_Authority_Id,Latitude,Longitude,Commons_Category,World_Cat_Identities_Id_Superseded,Id_Ref_Id,Main_Category,National_Library_Of_Israel_J9u_Id,Nl_Cr_Aut_Id,Quora_Topic_Id
2.8615214001581113e+20,271,1025,862,324,48.7775,9.18,1154,0,29,1082,9.870075526281052e+17,208,823
148922407.0,257,552,1174,460,15.35,44.2,1064,241,247,998,9.870075524960051e+17,572,760
131385651.0,672,358,752,895,10.5230555556,7.4402777778,561,0,541,528,9.870075529801052e+17,0,397
155922266.0,22,0,869,0,25.7725,73.3233333333,909,0,541,1293,9.870075526454052e+17,0,639
1.4214464849566612e+20,431,354,201,0,21.5427777778,39.1727777778,545,645,541,513,,692,384
139992605.0,1113,570,431,1255,31.2331,121.485,516,631,541,483,9.870075404722052e+17,0,606
131376549.0,8,375,512,832,6.9,79.9163888889,1127,435,541,1057,9.870075645017052e+17,0,606
167769040.0,513,748,1292,788,37.943,23.6469444444,929,417,231,870,9.870075505094052e+17,2,606
151860556.0,762,124,1111,232,13.0975,-59.6166666667,189,112,366,180,9.870075642330052e+17,495,137
146573830.0,112,252,462,359,33.5130555556,36.2919444444,315,182,541,293,9.870075573631052e+17,522,221
130807428.0,846,624,889,528,50.26,-5.051,1239,0,541,1163,9.870075620718052e+17,0,606
123881676.0,140,902,947,370,37.1780555556,-3.6008333333,445,0,62,416,9.870075573573052e+17,137,315
122641741.0,316,0,208,795,41.0125,28.98,297,0,79,277,9.870075548268051e+17,0,209
168381780.0,1076,135,1110,642,17.25,-88.7675,132,0,541,124,9.870075645249052e+17,0,94
148930774.0,166,48,115,601,55.7908333333,49.1144444444,580,0,521,547,9.870075548926052e+17,346,414
127299962.0,86,697,128,166,4.60971,-74.08175,164,636,344,155,9.870075596520051e+17,233,115
125542982.0,1075,0,575,967,13.1666666667,-61.2333333333,604,505,541,571,9.870075576630052e+17,0,431
1.2814506720606663e+20,327,476,1142,197,35.1725,33.365,859,92,135,803,9.870075617967052e+17,700,604
140018537.0,1113,889,80,1245,53.4597,-6.2181,1165,626,541,1093,9.870074759900051e+17,0,606
140177246.0,499,206,1172,261,43.0747222222,-89.3841666667,708,127,354,666,9.870075480850052e+17,259,509
143064699.0,867,852,1198,439,31.9077222222,131.4201944444,774,0,541,728,9.870075502153052e+17,0,606
147752757.0,607,457,1234,577,-33.0461111111,-71.6197222222,1265,307,541,1187,9.870075505515052e+17,471,903
144251167.0,216,0,1386,557,68.43828,17.42777,827,296,541,776,9.870075667229052e+17,174,580
8.456155769103126e+21,287,247,875,108,45.4397222222,12.3319444444,1270,0,71,1192,9.870075548158052e+17,108,906
131354269.0,492,271,1119,564,38.5730555556,68.7863888889,359,300,499,335,9.870075480288051e+17,657,254
126832661.0,1113,323,797,1176,55.95612,-2.78332,471,0,541,440,9.870075377928051e+17,619,331
129644878.0,763,915,1308,215,34.7136111111,-86.5861111111,519,106,541,486,9.870075643559052e+17,674,361
160050945.0,189,1048,1136,56,49.6105555556,6.1327777778,698,655,94,658,9.870075573822052e+17,559,500
139170218.0,101,300,1091,302,10.5,-66.9333333333,231,615,182,218,9.870075503376051e+17,119,165
141933307.0,61,108,821,912,51.0247222222,11.5138888889,51,474,541,50,9.870075573943052e+17,0,606
158822968.0,233,979,796,200,48.8566666667,2.3522222222,915,530,21,857,9.870075617945052e+17,181,644
167671304.0,1113,486,629,0,49.8711111111,1.0483333333,879,0,431,1293,9.870075574486052e+17,0,606
158293940.0,1113,280,1341,761,43.1111111111,-94.6819444444,373,405,541,348,9.870075574597052e+17,0,606
138356270.0,171,372,1009,85,-4.3219444444,15.3119444444,605,32,107,572,9.870075478180051e+17,567,432
243066364.0,649,676,497,0,44.2016666667,17.9038888889,1360,0,541,1274,,535,962
132547702.0,724,25,329,805,54.15,-4.4775,343,0,541,320,9.870075552786052e+17,0,245
134241609.0,276,1034,896,230,32.08,34.78,1193,640,140,1120,9.870075642398052e+17,0,857
136215439.0,1102,587,472,911,17.9961111111,-76.9547222222,1124,473,541,1054,9.870075573987052e+17,0,606
155482669.0,195,946,756,292,49.9994444444,8.2736111111,716,0,15,673,9.870075503468051e+17,170,513
124324283.0,892,49,1134,303,0.3901,9.4544,665,151,269,628,9.870075502275052e+17,78,475
145395772.0,489,220,1138,84,-25.9152777778,32.5763888889,732,31,165,690,9.870075478555052e+17,0,523
143061561.0,335,592,967,394,47.8,13.045,1051,204,115,984,9.870075620825052e+17,266,751
141887182.0,125,759,1051,364,24.65,46.71,1016,185,57,952,9.870075572485052e+17,580,727
140713831.0,342,951,881,157,35.6894444444,139.6916666667,1219,198,219,1144,9.870075596350052e+17,0,870
139487820.0,721,33,842,604,59.95,30.3166666667,1046,325,270,980,9.870075549687052e+17,97,748
128993813.0,522,0,1145,287,-20.1619444444,57.4988888889,952,146,541,891,9.870075503499052e+17,0,669
261960983.0,301,1016,916,383,47.3744444444,8.5411111111,1372,196,256,1286,9.870075596410052e+17,92,972
139525772.0,359,804,73,71,49.6836111111,5.8166666667,56,24,137,55,9.870075572664051e+17,0,43
132877359.0,1035,628,614,1209,55.25,24.7666666667,1252,0,541,1175,9.870074678698052e+17,66,895
251380480.0,249,708,825,112,41.8930555556,12.4827777778,1021,46,67,957,9.870075548093052e+17,227,730
123143268.0,72,123,1108,224,13.75,100.5166666667,97,0,197,93,9.870075642323052e+17,318,69
126662958.0,520,705,1148,381,10.6666666667,-61.5166666667,956,194,541,895,9.870075595044051e+17,0,673
131337374.0,64,807,1116,266,-25.3,-57.6333333333,67,0,93,65,9.870075480802052e+17,1,50
242044583.0,288,1049,1194,493,52.9211111111,9.2305555556,1271,258,322,1193,9.870075572346052e+17,646,606
150371535.0,160,0,679,424,34.5327777778,69.1658333333,559,218,541,526,9.870075480573052e+17,315,395
140657150.0,1113,514,517,1217,51.703,-3.041,946,0,541,886,9.870074942004051e+17,0,666
134891913.0,924,0,1129,804,15.3333333333,38.9166666667,65,425,342,1293,9.870075551420051e+17,0,48
150107835.0,829,534,254,671,23.3555555556,85.3347222222,990,0,541,927,9.870075505247052e+17,7,701
144259793.0,882,595,1126,704,6.8058333333,-58.1508333333,426,0,539,397,9.870075597700051e+17,0,302
127908000.0,1113,0,591,1011,51.34,0.74,1106,0,541,1039,9.870075670068051e+17,0,795
150106380.0,822,533,989,639,31.8969444444,35.2016666667,988,0,261,926,9.870075548361052e+17,491,699
123075748.0,1113,266,603,458,45.9016,-64.5161,341,239,541,1293,9.870075525004051e+17,0,606
4.838148574314224e+21,467,226,1163,222,36.8008333333,10.18,1242,0,54,1166,9.870075642356051e+17,99,606
150028417.0,120,267,440,226,53.3497222222,-6.2602777778,350,0,200,327,9.870075642302052e+17,127,249
157037491.0,526,954,137,282,9.9325111111,-84.0795805556,1061,142,362,994,9.870075480730052e+17,586,757
