StrandOrientation,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition
0,155219,154,154,7,58,154221
0,434666,127,127,2,24,433053
0,1524263,35,35,16,5,1522857
0,919364,85,85,12,56,918156
0,10687,111,111,17,58,9590
1,1108489,110,110,25,53,1107152
0,33930,48,48,17,65,32737
0,340376,73,73,1,10,339975
0,566165,33,33,20,16,564966
0,6500,30,30,2,25,5433
1,496522,95,95,2,58,495068
0,447552,1,1,0,68,446896
1,1494962,36,36,5,37,1493559
0,405983,7,7,1,76,405798
1,726501,38,38,10,5,725125
1,1117420,109,109,12,21,1116176
0,617159,56,56,25,73,615924
0,1404649,106,106,12,15,1403372
0,3182,21,21,2,36,2247
0,553803,92,92,2,54,552229
1,1359,82,82,0,8,532
0,492874,55,55,2,22,492284
0,512575,152,152,21,2,511070
1,831522,12,12,17,38,830434
0,7259,6,6,0,29,6249
0,452810,96,96,2,58,452175
1,68405,136,136,19,77,67296
1,1047742,141,141,19,52,1046660
1,526360,149,149,25,78,525035
1,1898756,44,44,19,15,1897875
0,1944921,122,122,0,15,1944244
1,2480,74,74,19,4,1071
1,437973,97,97,0,77,437293
1,209311,49,49,4,17,208193
1,1587887,120,120,10,37,1586445
0,1867030,43,43,2,44,1865636
0,15753,10,10,19,66,14641
0,580857,34,34,25,47,579490
1,10644,94,94,2,38,9307
0,367224,148,148,0,46,366097
1,1267766,60,60,12,5,1266495
0,1499180,116,116,21,33,1497708
1,626028,39,39,17,34,624868
0,290343,72,72,23,57,289018
0,1172370,108,108,12,15,1171051
1,411413,90,90,2,71,410007
0,42426,101,101,17,13,41221
1,532332,150,150,25,60,531106
1,1789020,71,71,2,20,1787623
1,523945,114,114,25,77,522770
1,601068,113,113,17,79,599905
0,151073,138,138,19,77,149964
0,1733432,126,126,23,53,1732098
1,924253,86,86,2,20,923378
1,1651899,45,45,17,5,1651012
0,228042,115,115,17,30,226948
0,432268,5,5,19,72,431189
0,1002291,88,88,17,4,1001194
0,1751668,125,125,5,21,1750310
0,211061,153,153,5,1,209817
0,18783,26,26,2,74,17596
0,65502,29,29,2,28,63997
1,754771,52,52,26,59,753767
0,2018230,119,119,17,84,2016848
0,207419,57,57,0,84,207000
1,598434,75,75,0,44,597786
1,1248251,61,61,15,5,1246854
1,559992,91,91,25,0,558766
1,231983,83,83,8,70,230514
0,423600,145,145,19,19,422017
1,9275,46,46,2,3,7716
1,2090497,20,20,5,18,2089121
0,472615,51,51,9,66,471425
0,412929,50,50,25,60,411703
0,1933792,4,4,1,15,1933010
1,1778404,124,124,27,27,1777100
0,1093548,134,134,18,78,1092211
0,1741983,15,15,11,84,1740772
0,437003,64,64,1,16,436320
1,155993,112,112,22,38,154689
1,146779,93,93,6,44,145715
0,379854,79,79,2,11,379126
0,1015761,63,63,2,27,1014583
0,1277102,65,65,24,37,1275858
0,308539,81,81,15,51,307640
1,52782,135,135,2,31,51379
0,852,47,47,2,43,1
1,233697,2,2,0,81,233434
1,1572694,69,69,17,7,1571525
1,2053277,19,19,27,44,2051877
1,597683,128,128,2,64,596868
0,23787,25,25,2,24,22417
0,494627,40,40,23,61,493452
1,1622991,121,121,0,37,1622125
1,169772,31,31,2,9,168840
0,1413484,11,11,25,53,1412150
0,54854,27,27,0,4,53844
0,2157389,42,42,10,26,2156019
1,6378,58,58,17,4,4900
0,439354,102,102,17,42,437786
0,1072628,132,132,27,22,1071504
1,211328,151,151,19,47,209856
0,59441,100,100,19,75,58461
1,1804221,70,70,2,20,1803316
1,1506761,117,117,24,45,1505442
0,1143832,133,133,2,22,1142492
0,6733,24,24,2,65,6122
0,12244,28,28,17,4,11150
0,1420721,68,68,25,82,1419405
0,67849,99,99,19,49,66767
0,340851,8,8,0,50,340480
0,298468,78,78,17,12,296987
0,586,0,0,1,6,2
0,1398991,107,107,16,15,1398122
1,458510,16,16,0,30,457881
0,899374,76,76,3,55,898190
0,13267,22,22,0,4,11954
0,1459767,37,37,2,44,1458433
1,7956,32,32,22,41,6742
0,162444,139,139,27,31,161326
0,484137,80,80,17,12,482659
0,262696,59,59,2,63,261617
0,1683736,13,13,17,37,1682645
0,497535,155,155,0,23,496600
0,114367,137,137,2,32,112967
0,799780,140,140,0,40,799199
0,417432,103,103,2,54,415855
1,1370954,67,67,19,82,1369569
1,318880,147,147,17,14,317777
0,799094,54,54,1,39,798498
1,8841,17,17,19,24,7366
0,37052,129,129,26,80,35940
1,1361937,105,105,17,15,1361035
1,174865,131,131,12,24,173582
1,485,3,3,1,62,3
1,27971,84,84,6,4,26910
0,403184,98,98,23,69,402012
1,85134,89,89,14,48,83866
0,1951553,123,123,16,19,1950669
0,1386264,104,104,2,44,1384861
1,2074708,18,18,2,27,2073437
1,1071422,143,143,2,61,1070148
0,987463,87,87,0,84,986558
0,383794,23,23,19,15,382214
0,1365596,66,66,27,18,1364481
0,936561,77,77,0,67,935551
0,1026521,62,62,19,19,1025604
1,24760,144,144,17,17,23234
1,304330,146,146,19,46,303281
1,17944,130,130,17,16,16457
0,813285,53,53,2,41,812281
0,1672453,14,14,5,37,1671053
0,349644,9,9,23,30,348280
1,1547471,118,118,21,35,1546002
0,6048,41,41,11,4,4708
1,1065367,142,142,13,83,1064159
