StrandOrientation,GeneDescription,GenomicStartPosition,GeneDbId,GenomicEndPosition
0,0,1159709,348,1160395
0,0,17649,404,18293
0,0,6637,136,7200
0,0,54438,359,55025
0,0,1463646,88,1464254
1,0,494134,205,494817
0,0,2015537,330,2016292
0,0,8128,388,9057
0,0,3962,133,4555
0,0,682675,98,683253
1,0,806492,154,807166
0,0,111971,401,112468
0,0,4217,341,4870
0,0,1954,266,2682
1,0,162521,8,163066
0,0,1955171,333,1955674
1,0,755460,99,756041
1,0,1367977,310,1368555
1,0,1486369,92,1487064
1,0,35642,72,36247
0,0,264339,260,265007
0,0,120498,34,120884
1,0,1920904,108,1921473
0,0,438233,352,438865
0,0,308044,370,308712
0,0,1032920,300,1033564
0,0,1603452,116,1604078
0,0,84681,61,85370
0,0,16820,263,17407
0,0,496893,126,497483
0,0,1738420,27,1738968
1,0,6162,379,6677
1,0,277438,224,278070
0,0,1730895,337,1731530
0,0,476973,208,477620
0,0,564760,382,565167
0,0,9749,127,10321
0,0,1685914,112,1686468
0,0,6979,232,7629
0,0,1004,356,1645
1,0,376393,55,376974
1,0,807330,24,807869
1,0,426186,139,426818
1,0,39237,52,39701
0,0,306524,261,307213
1,0,129,46,782
1,0,1132212,318,1132814
1,0,30158,73,30799
1,0,159101,67,159847
1,0,716974,272,717564
1,0,1637185,114,1637787
0,0,487330,171,487905
1,0,355831,430,356421
0,0,1931470,107,1932015
0,0,1341,39,2027
0,0,1743146,336,1743790
0,0,514617,209,515441
1,0,1117975,320,1118634
0,0,347313,17,347837
0,0,250097,324,250738
1,0,1004,3,1579
0,0,569783,76,570400
0,0,543658,148,544317
0,0,51491,267,52129
1,0,18480,380,19103
0,0,4128,259,4829
1,0,598996,235,599763
0,0,430509,12,430625
0,0,1148204,410,1148872
0,0,338926,227,339516
1,0,1580900,217,1581481
1,0,1080440,406,1081012
0,0,15015,345,15668
1,0,5874,305,6518
1,0,25487,307,26110
1,0,503911,428,504309
1,0,610288,367,610947
0,0,1994529,219,1995197
0,0,216122,323,216763
1,0,587969,159,588625
0,0,415541,383,416038
1,0,462885,101,463493
1,0,13402,394,14001
0,0,275592,138,276224
1,0,601643,321,602338
1,0,1489,389,1845
0,0,314181,123,314714
0,0,1472456,87,1473130
1,0,1133424,408,1134002
0,0,444042,31,444695
0,0,41594,386,42175
0,0,8539,129,9261
0,0,382086,57,382637
1,0,34388,304,35038
0,0,409331,249,410050
1,0,12661,350,13194
1,0,640880,83,641578
1,0,319437,423,320021
0,0,69732,301,70385
0,0,2228,384,2893
1,0,35462,19,36160
1,0,627354,186,628319
1,0,1065931,405,1066542
0,0,287506,176,288480
0,0,331098,155,331967
0,0,467418,365,467996
0,0,1344239,201,1344856
0,1,339536,413,340144
0,0,217234,168,218124
0,0,16375,48,17055
1,0,204,287,1049
1,0,789061,153,789660
1,0,873739,277,874302
1,0,3,10,281
0,0,15472,343,16035
1,0,301183,281,301818
1,0,5631,11,6125
0,0,578253,77,578960
0,0,1670067,28,1670681
1,0,537880,147,538452
0,0,277617,245,278450
0,0,472107,255,473006
0,0,15977,167,16573
0,0,691,125,1236
1,0,2152117,106,2152710
0,0,750414,203,750998
1,0,497083,297,497850
1,0,652923,84,653543
0,0,729363,96,729959
1,0,350453,414,350824
1,0,583626,134,584282
0,0,425384,143,425782
0,0,1260970,325,1261581
0,0,160181,403,160801
0,0,10210,104,10872
