StrandOrientation,GeneDescription,GenomicStartPosition,GeneDbId,GenomicEndPosition
1,0,3207,136,5471
0,0,3223,97,5583
0,0,454787,88,457048
0,0,476677,231,478833
1,0,3,147,2336
0,0,550654,219,552888
0,0,833647,95,835809
0,0,2336,49,4603
0,0,1067095,209,1069200
0,0,667,36,2907
0,0,3683,152,6046
1,0,73994,178,76342
0,0,1165567,143,1167843
1,0,22,4,1026
0,1,690150,69,692573
1,0,26149,7,27924
0,0,752403,174,754574
0,0,1155433,116,1157625
1,0,10912,112,12933
1,0,94266,222,96434
1,0,43330,195,45480
0,0,602554,80,604953
0,0,38,10,2152
0,0,760970,83,763015
1,0,1969,71,4215
0,0,478230,38,480713
1,0,112868,9,114439
1,0,2560,59,3201
1,0,61057,221,61722
0,0,42840,100,45278
1,0,11750,121,13918
0,0,560179,172,562476
1,0,53914,84,56175
1,2,1,58,1518
0,0,1006993,45,1009290
1,0,48507,120,50723
0,0,485114,93,487264
1,0,32786,176,35005
0,0,369323,171,371476
0,0,476408,11,477337
0,0,1832923,67,1835184
1,0,52601,114,53359
0,0,1,19,1287
1,0,439797,91,441740
1,0,79698,12,81519
1,0,69566,213,71686
0,0,704929,48,707127
1,0,62692,218,65232
0,0,775140,224,777368
1,0,921,127,3230
1,0,2,47,1669
1,0,3963,44,5540
1,0,370655,230,372955
1,0,2188577,87,2191081
1,0,8994,140,11060
1,0,1923,235,4184
1,0,40902,156,43304
1,0,111105,166,113111
1,0,56687,41,59089
0,0,1186812,188,1189025
0,0,803291,179,805063
0,0,1833030,204,1835456
1,0,5259,52,7454
0,0,610807,110,611448
0,0,509,153,2776
0,0,1202680,196,1204656
1,0,1761,163,4025
1,0,386,24,2650
1,0,558669,98,560447
1,0,333633,154,335828
0,0,478171,203,480279
1,0,5501,6,7012
1,0,10807,141,12909
1,0,9286,123,11646
0,0,1113876,150,1116077
1,0,74154,29,76316
0,0,495853,101,496899
1,0,12949,205,15153
0,0,1024990,76,1027491
1,0,168412,122,170211
0,0,796943,225,799420
0,0,375522,96,377705
1,0,2860,158,5046
0,0,913312,63,914046
0,0,243822,157,244454
0,0,393970,20,394758
0,0,572120,169,574603
0,0,2943,217,5117
0,0,250869,130,252998
0,0,1,160,1108
1,0,90784,92,92964
1,0,824,51,3133
0,0,468923,187,470842
0,0,1852,30,4059
1,0,2230,1,4593
0,0,687517,82,689616
0,0,596190,168,598394
0,0,182789,118,185005
0,0,505363,191,507624
0,0,456733,173,459000
0,0,121439,232,123424
1,0,50910,223,53099
1,0,2628,42,4883
1,0,3179,53,4516
1,0,14941,106,17178
1,0,80040,3,81116
0,0,701787,72,703891
1,0,77369,117,79561
1,0,1446,22,3704
1,0,297915,227,299939
1,0,112891,159,115059
0,0,3,13,827
1,0,26538,81,28523
0,0,545198,133,547726
0,0,17227,198,19404
0,0,1037046,77,1039862
0,0,1935421,25,1937904
0,0,50840,183,52834
0,0,26043,108,28514
0,0,2,5,1138
1,0,60651,148,62927
0,0,14127,73,16106
0,0,5362,54,7548
1,0,827244,193,828692
0,0,710958,32,711734
0,0,479794,111,482055
1,0,86993,206,89110
1,0,68619,137,71096
1,0,1,164,798
0,0,2325364,17,2326647
1,0,7598,208,9859
1,0,119534,185,120751
0,0,7252,211,9642
0,0,5011,109,7125
1,0,101,85,1699
0,0,3,16,1333
0,0,465892,40,468090
0,0,808763,210,811009
0,0,617003,202,619207
0,0,192110,124,194620
1,0,49749,103,52112
0,0,12933,64,14957
1,0,2,65,1621
0,0,811541,181,813661
0,0,558551,180,560608
0,0,959689,151,961848
0,0,914149,62,915393
1,0,44773,177,47037
1,0,47909,189,50074
0,0,485538,31,487691
0,0,4853,105,7225
0,0,666635,131,669010
1,0,101,170,2335
0,0,781,162,2976
0,0,1157084,142,1159648
1,0,140096,228,140815
1,0,1680,161,3637
1,0,14774,135,17152
0,0,1570,18,3774
1,0,6340,102,8253
0,0,476586,197,477141
1,0,1968,94,4334
1,0,18165,201,20192
0,0,634829,79,636865
1,0,389746,8,391932
0,0,1,14,1152
1,0,119982,229,122003
1,0,4204,192,6765
1,0,33460,194,35613
0,0,1171,70,3468
0,0,2351474,129,2352753
1,0,84366,66,85349
1,0,301437,216,303473
1,0,48072,26,49973
0,0,3849,99,6110
1,0,6806,55,9061
1,0,5838,134,6479
0,0,367785,60,369971
1,0,16912,104,19107
1,0,313945,226,316113
1,0,3093,21,5333
1,0,2307,113,4679
0,0,2150273,190,2152465
0,0,4,23,1347
1,0,732,50,3770
0,0,21104,236,23314
0,0,761027,175,763294
0,0,410220,37,411395
1,0,49540,234,51771
0,0,466913,34,469090
0,0,907241,74,909502
1,0,66007,146,68193
1,0,313523,215,315631
1,0,8418,28,10067
0,0,607077,78,609383
1,0,350539,199,351915
0,0,398004,27,400277
0,0,701878,212,702444
1,0,367296,61,369509
1,0,535,43,3147
0,0,525222,39,526037
1,0,55348,125,57522
0,0,1373202,119,1375691
1,0,754,207,3258
1,0,64094,233,66424
1,0,4354,165,6576
0,0,2638,46,4947
0,0,397290,90,399311
0,0,644707,182,646569
1,0,17801,68,20107
0,0,2121408,86,2123600
0,0,3723,0,5726
1,0,652312,75,654471
1,0,827212,107,828777
1,0,24536,139,27070
1,0,309482,214,311650
1,0,15441,184,16283
0,0,3845,56,5683
0,0,475453,149,477984
0,0,1176085,115,1178466
0,0,20729,144,22657
1,0,58898,145,60946
1,0,32440,89,34512
0,0,1026565,167,1028709
1,0,222371,200,224206
1,0,90979,138,92121
0,0,729406,33,731499
1,0,5182,126,7491
1,0,2,15,1036
1,0,11819,57,14203
0,0,3,2,1475
0,0,470270,220,471716
1,0,1907460,128,1909430
0,0,667156,186,669243
1,0,16532,35,18709
1,0,16122,132,18062
0,0,666520,155,668634
