Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
1,1,24,0,50,9,51,1474
1,1,106153,0,138,9,139,107750
0,0,4728247,1,69,8,70,4728447
0,0,671973,1,115,7,116,673514
1,1,111766,0,158,9,159,113223
1,1,2961642,0,152,9,153,2963001
0,0,96665,1,60,11,61,98113
0,0,233464,1,103,7,104,234927
0,0,1527,1,32,7,32,3074
1,1,106202,1,3,9,3,106612
1,1,192547,1,16,9,16,194108
1,1,36916,0,135,9,136,38437
0,0,1672390,1,127,0,128,1673892
1,1,20999,1,1,9,1,22525
1,1,4096637,0,85,9,86,4097911
1,1,12274,0,44,10,45,13747
1,1,4695357,0,90,4,91,4696555
1,1,53963,1,41,9,42,55488
1,1,4976,1,24,9,24,6514
1,1,1175359,1,117,9,118,1176353
1,1,120,0,21,9,21,397
1,1,222215,0,161,9,162,222454
0,0,1337821,0,61,8,62,1338858
0,0,139203,0,160,7,161,140801
0,0,3299619,0,66,7,67,3300734
1,1,41978,0,99,13,100,43444
0,0,4810350,1,73,7,74,4811681
1,1,1189121,1,119,9,120,1190683
1,1,394,1,48,9,49,1134
1,1,2750562,0,64,7,65,2751752
0,0,4591225,0,86,7,87,4592637
1,1,156706,1,101,9,102,158094
1,1,146312,1,14,9,14,147872
0,0,4789134,1,72,8,73,4790735
1,1,32568,0,98,11,99,34085
1,1,3087307,1,156,9,157,3088628
0,0,24893,1,56,11,57,26455
1,1,9589,1,55,6,56,10376
1,1,2556965,1,141,9,142,2557165
1,1,2990299,1,154,9,155,2991723
0,0,95058,0,120,7,121,96632
1,1,1582390,1,121,9,122,1583995
0,0,4916846,1,76,8,77,4918348
1,1,4070196,0,84,9,85,4070879
1,1,4768519,0,91,3,92,4769841
1,1,1553302,1,131,9,132,1554901
1,1,85747,1,59,11,60,87159
0,0,4108888,0,67,7,68,4109268
1,1,2842087,1,150,9,151,2842847
0,0,26588,0,37,7,38,28198
0,0,592108,1,112,7,113,593688
1,1,133507,0,13,9,13,135030
1,1,11830,0,46,9,47,13271
0,0,2161053,0,63,7,64,2161844
0,0,136702,0,159,8,160,138222
1,1,31464,0,49,9,50,32771
1,1,118489,0,12,9,12,120397
0,0,1782018,0,128,0,129,1783574
0,0,46340,1,57,11,58,47692
1,1,11360,1,45,9,46,12451
0,0,1628255,1,125,7,126,1629760
0,0,1798304,1,62,0,63,1799779
1,1,2774642,1,145,9,146,2775177
1,1,4866255,1,94,1,95,4866989
1,1,166233,1,15,9,15,167770
1,1,4813653,1,93,2,94,4815043
0,0,125412,0,139,8,140,126989
0,0,29741,1,38,8,39,31216
1,1,3083824,1,155,9,156,3085393
1,1,18300,1,162,9,36,18623
1,1,9201,1,20,9,20,10546
0,0,38597,1,6,7,6,40024
1,1,4160,1,33,9,33,5571
1,1,116413,1,4,9,4,117932
1,1,23117,0,7,9,7,24394
1,1,333937,1,107,9,108,335414
0,0,9100,1,51,7,52,10563
0,0,4876315,1,75,8,76,4877715
1,1,4683882,1,89,1,90,4685459
0,0,74915,1,58,11,59,76678
0,0,4781585,1,71,8,72,4782124
1,1,2809842,1,149,9,150,2810144
1,1,242828,1,105,9,106,244383
1,1,10562,0,9,9,9,11536
1,1,187760,0,102,9,103,189308
1,1,54844,0,10,9,10,56392
0,0,681272,1,116,8,117,682801
0,0,615417,1,113,7,114,616961
1,1,55260,1,2,9,2,56811
1,1,4874521,1,96,5,97,4875012
1,1,1564291,1,123,9,124,1565816
0,0,4776225,1,70,8,71,4776857
1,1,4080,1,19,9,19,4912
0,0,4966602,1,77,7,78,4967327
1,1,33178,0,157,9,158,34744
1,1,20639,0,30,10,30,21634
0,0,4872705,1,74,7,75,4874210
