Gene_Subclass,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation,Gene_Db_Id,Genomic_End_Position
1,1,6745,5,1,41,7608
1,1,323649,5,0,102,326018
1,1,476025,5,0,37,476915
0,0,346178,4,1,204,346408
1,1,214952,5,0,124,216862
1,1,78453,5,1,230,80177
1,1,5234,5,1,84,8014
1,1,3,5,1,91,557
1,1,73355,5,1,14,74182
0,0,346512,2,1,203,346850
1,1,919047,5,0,64,921959
0,0,1130442,1,0,146,1130987
1,1,1884,5,0,40,2216
1,1,55507,5,1,222,56787
0,0,45670,2,1,21,45867
1,1,3,5,0,174,929
1,1,6119,5,1,152,9109
1,1,33647,5,1,150,35665
1,1,221369,5,0,155,223303
1,1,27628,5,1,195,30441
1,1,1836461,5,0,130,1839347
0,0,71398,0,1,32,71748
1,1,121053,5,0,35,122795
1,1,1121249,5,0,144,1122061
1,1,216302,5,1,229,216652
1,1,53066,5,1,239,53404
1,1,20007,5,1,119,20561
1,1,214062,5,1,61,215357
1,1,542011,5,0,136,543960
1,1,21764,5,1,234,23503
1,1,56893,5,1,223,57738
1,1,854629,5,0,109,857583
1,1,612868,5,0,186,615828
1,1,564,5,0,175,3521
1,1,638082,5,0,122,640889
1,1,118959,5,1,181,119855
1,1,348930,5,0,63,351059
1,1,1115,5,1,69,4441
0,0,3,1,0,154,218
1,1,577500,5,0,187,578507
1,1,1,5,0,4,835
1,1,10753,5,1,126,12423
1,1,98553,5,1,26,100170
1,1,74227,5,1,27,76293
1,1,15111,5,1,123,17384
1,1,3,5,1,200,395
1,1,1442287,5,0,22,1444050
1,1,227562,5,0,238,229154
1,1,64071,5,1,121,64517
1,1,10619,5,1,199,10942
1,1,55821,5,1,113,58454
1,1,10074,5,0,106,10805
1,1,704473,5,0,36,706956
0,0,3411,2,0,65,4265
1,1,5802,5,1,58,8105
1,1,1031220,5,0,73,1034156
0,0,157230,2,0,184,157631
1,1,7741,5,1,214,7838
1,1,3,5,0,8,794
0,0,899,1,1,13,1231
1,1,49106,5,0,107,51751
1,1,2330257,5,0,198,2332647
