GeneSubclass,OrthologId,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,6,3382487,39,39,1,0,0,3381062,1
0,6,4617595,59,59,1,0,0,4616304,0
0,6,4448369,56,56,1,0,0,4447898,1
0,6,1695623,12,12,1,0,0,1694290,1
0,6,2767047,32,32,1,0,0,2765408,1
0,6,2461920,26,26,1,0,0,2460270,1
0,6,1404470,8,8,1,0,0,1402478,1
0,9,944593,68,68,1,0,2,942999,1
0,6,1501605,9,9,1,0,0,1499956,1
0,6,4319951,53,53,1,0,0,4318406,1
1,5,3060462,35,35,0,1,0,3059968,1
0,6,2410275,24,24,1,0,0,2408538,0
0,6,2336872,22,22,1,0,0,2335594,0
0,4,12420,75,75,1,0,7,10847,0
0,6,1067509,4,4,1,0,0,1065855,1
0,6,3109883,36,36,1,0,0,3108335,0
0,6,4594686,58,58,1,0,0,4594276,1
0,6,2490615,28,28,1,0,0,2489092,1
0,6,1726920,13,13,1,0,0,1725221,1
0,6,4738276,61,61,1,0,0,4737414,1
0,6,2488948,27,27,2,0,0,2488547,1
0,6,1160260,6,6,1,0,0,1158671,0
0,6,3837326,45,45,1,0,0,3835711,0
0,6,2334717,21,21,1,0,0,2333444,0
0,6,1913694,15,15,1,0,0,1913096,0
0,9,928368,67,67,1,0,2,926891,1
0,6,2186679,20,20,1,0,0,2185121,1
0,6,3760935,43,43,1,0,0,3759294,1
0,6,1646366,10,10,1,0,0,1644765,0
0,6,2162208,19,19,1,0,0,2160617,1
0,6,921836,3,3,1,0,0,920276,0
0,6,1774551,14,14,1,0,0,1773349,0
0,6,2703043,31,31,2,0,0,2702707,1
0,6,1309404,7,7,1,0,0,1307719,1
0,9,866564,64,64,1,0,2,864948,1
0,6,1100530,5,5,1,0,0,1098899,1
0,9,898602,66,66,1,0,2,896976,1
0,6,2534451,29,29,1,0,0,2532822,1
0,4,3179176,77,77,1,0,7,3177606,1
0,6,3892202,46,46,1,0,0,3890618,0
1,8,20123,71,71,3,1,4,19351,0
0,6,3825046,44,44,1,0,0,3823348,1
0,6,3041164,34,34,1,0,0,3039530,1
0,6,3423499,40,40,1,0,0,3421855,1
0,6,4345737,54,54,1,0,0,4344428,0
0,6,3165850,37,37,1,0,0,3164178,0
0,6,4410144,55,55,1,0,0,4408975,1
0,6,4192567,51,51,1,0,0,4190999,0
1,5,4451552,57,57,3,1,0,4450591,1
0,9,869621,65,65,1,0,2,868513,1
0,6,2911636,33,33,1,0,0,2909971,0
0,6,4006876,48,48,1,0,0,4005289,1
0,6,3356833,38,38,1,0,0,3355205,1
0,0,1501949,72,72,1,0,5,1500371,0
0,6,3919664,47,47,1,0,0,3918057,0
0,2,962558,63,63,1,0,1,960915,1
0,6,2436498,25,25,1,0,0,2434883,1
1,5,688614,0,0,3,1,0,686948,1
0,6,4114296,49,49,1,0,0,4112814,1
0,6,4277982,52,52,1,0,0,4276479,0
0,3,88885,70,70,1,0,3,87239,0
0,6,2584829,30,30,1,0,0,2583216,1
0,6,2400334,23,23,1,0,0,2399110,0
0,6,839943,1,1,1,0,0,838375,0
0,6,3501586,42,42,1,0,0,3500020,0
0,6,1948925,17,17,1,0,0,1947271,0
0,6,886860,2,2,1,0,0,885918,0
0,6,2137699,18,18,1,0,0,2136422,1
0,1,1750141,74,74,1,0,6,1748511,1
0,4,3142408,76,76,1,0,7,3140841,1
0,2,11476,62,62,1,0,1,9820,0
0,0,1581747,73,73,1,0,5,1580141,0
0,3,20550,69,69,1,0,3,18980,0
0,6,1938641,16,16,1,0,0,1936805,0
0,6,4180009,50,50,1,0,0,4178670,0
0,6,4669938,60,60,1,0,0,4669486,1
0,6,1676580,11,11,1,0,0,1675048,0
0,7,3147656,78,78,1,0,8,3146009,1
0,6,3441633,41,41,1,0,0,3439915,1
