Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,Nationality,TwitterHandle,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId,CyclingDiscipline
0,10,63563.0,28569,3,2,1008.0,135571,3,3,2,2,1,119427,64.0,6,,1,3,80663,17215,4,177.0,6,1
1,2,49095.0,18487,2,0,,137599,2,9,0,1,8,65648,58.0,3,132351.0,8,2,45553,9451,2,173.0,0,0
0,8,57111.0,21013,10,0,,163724,10,6,5,1,9,199200,58.0,7,,7,10,78180,11539,3,,6,0
0,5,43329.0,17902,5,4,,131925,5,2,4,1,3,68833,,5,124648.0,4,4,39987,6100,7,180.0,4,2
0,9,41886.0,13566,9,7,128269.0,140495,9,4,2,5,0,64917,65.0,2,133840.0,0,9,53957,2275,1,184.0,2,1
0,0,87842.0,30666,8,8,,216727,8,0,7,1,2,765724,72.0,10,,9,8,150321,95151,4,182.0,6,1
0,1,47686.0,17534,4,3,8603.0,140333,4,8,6,3,4,59773,72.0,1,142502.0,5,7,37589,2325,5,183.0,5,1
0,7,,25335,7,6,,184242,7,1,1,4,6,102035,,9,,10,6,93791,37447,6,177.0,6,1
0,6,,23436,0,0,,179795,0,6,5,1,5,885025,,4,,3,0,95660,23206,4,180.0,6,1
0,3,22917.0,6177,1,1,25109.0,140232,1,5,3,0,7,45643,65.0,0,134607.0,2,1,20659,1006,0,179.0,3,0
0,4,56210.0,20760,6,5,,132426,6,7,5,1,10,86759,,8,145691.0,6,5,65954,16807,4,187.0,1,0
