Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,Nationality,TwitterHandle,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,EventsParticipated,HeightCm,FreebaseId,CyclingDiscipline
0,0,56070,20777,5,5,203494.0,179769,5,0,1,3,5,86568,71.0,10,133261.0,7,5,79781,18575,1,180,8,3
0,8,49272,17881,7,6,13864.0,140294,7,8,6,5,2,76092,56.0,5,,4,7,38092,4863,5,169,4,1
0,9,47214,16722,10,9,34792.0,140674,10,6,0,7,8,64531,71.0,7,132670.0,10,10,52973,6228,6,183,6,0
0,1,22932,7530,0,0,6335.0,140231,0,6,3,8,7,46940,63.0,0,,2,0,37173,3224,4,170,3,0
1,5,39287,13240,1,2,66281.0,140835,1,4,3,9,3,55029,67.0,1,122451.0,9,1,21075,1310,5,178,1,3
0,4,55639,20535,4,4,,160352,4,3,3,2,0,89125,,8,,6,4,73388,14791,3,181,8,1
0,10,49154,16941,3,3,300070.0,140071,3,6,1,1,1,75873,54.0,4,133264.0,5,3,39969,3213,5,164,5,1
0,7,41076,13362,9,8,56034.0,139405,9,2,4,6,10,65995,70.0,6,,3,9,51551,3277,4,177,0,3
0,3,56436,20917,6,1,5649.0,156570,6,1,2,0,4,77380,78.0,9,,0,6,71706,9746,3,180,8,1
0,2,38736,12115,2,0,,140236,2,5,3,4,6,54674,64.0,3,,1,2,30329,2312,0,175,2,1
0,6,56041,20719,8,7,127549.0,174582,8,7,5,10,9,88889,65.0,2,135863.0,8,8,72449,18655,2,177,7,2
