sport_type,host_country,race_description,part_of_series,edition_number,race_name,google_knowledge_graph_id,race_winner,next_race,previous_race
0,3,6,4,15.0,5,5,0,5,5
0,2,2,2,104.0,2,0,1,2,2
0,2,0,0,101.0,0,7,7,0,0
0,2,2,2,104.0,2,0,1,2,2
0,2,1,3,105.0,3,3,3,3,3
0,2,0,0,101.0,0,7,7,0,0
1,0,7,6,,8,2,2,8,8
0,2,1,3,105.0,3,3,3,3,3
0,1,4,1,66.0,1,1,5,1,1
0,3,3,4,14.0,4,4,4,4,4
1,0,7,6,,8,2,2,8,8
0,2,2,2,104.0,2,0,1,2,2
0,3,6,4,15.0,5,5,0,5,5
0,2,1,3,105.0,3,3,3,3,3
0,3,3,5,5.0,6,6,6,6,6
0,3,3,5,5.0,6,6,6,6,6
0,2,0,0,101.0,0,7,7,0,0
0,3,6,4,15.0,5,5,0,5,5
0,4,5,4,,7,7,6,7,7
1,0,7,6,,8,2,2,8,8
0,4,5,4,,7,7,6,7,7
0,3,3,4,14.0,4,4,4,4,4
