sport_type,host_country,race_description,part_of_series,edition_number,race_name,google_knowledge_graph_id,race_winner,next_race,previous_race
1,3,2,1,74.0,3,9,12,3,2
1,7,0,10,57.0,1,1,4,1,1
1,4,1,11,,14,9,13,14,14
1,0,2,8,40.0,11,7,7,11,10
1,5,2,9,42.0,13,0,6,13,12
1,2,0,10,86.0,0,2,8,0,0
1,0,2,6,96.0,8,9,0,9,7
0,6,2,4,62.0,7,8,9,8,6
1,0,0,2,36.0,5,9,10,6,4
1,2,2,0,1.0,2,6,1,2,13
1,6,2,2,51.0,4,5,5,4,3
1,7,2,3,76.0,6,9,3,7,5
0,6,2,7,63.0,10,3,13,10,8
1,2,3,8,93.0,12,9,11,12,11
1,1,0,5,,9,4,2,5,9
