Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
0,1037760,371,371,1037092,1
1,18293,404,404,17649,0
0,1236,127,127,691,0
0,55025,361,361,54438,0
0,1457890,91,91,1457246,0
0,487260,206,206,486679,1
0,1995197,223,223,1994529,0
0,9057,388,388,8128,0
0,4555,135,135,3962,0
0,622513,28,28,621803,0
0,807166,156,156,806492,1
1,112468,401,401,111971,0
0,4870,343,343,4217,0
0,2682,270,270,1954,0
0,163066,9,9,162521,1
0,1943209,10,10,1942577,0
0,735451,97,97,734867,0
0,1357417,314,314,1356881,1
0,1481322,94,94,1480762,1
0,36247,74,74,35642,1
0,1187163,349,349,1186465,0
0,120884,36,36,120498,0
0,1894275,112,112,1893637,1
0,438865,354,354,438233,0
0,308712,372,372,308044,0
0,1033564,303,303,1032920,0
0,1578872,121,121,1578312,0
0,85370,63,63,84681,0
0,17407,267,267,16820,0
0,497483,128,128,496893,0
0,1707996,30,30,1707370,1
0,6677,380,380,6162,1
0,278070,228,228,277438,1
0,1686468,113,113,1685914,0
0,477620,211,211,476973,0
0,565167,383,383,564760,0
0,10321,129,129,9749,0
0,1685667,118,118,1685527,0
0,7629,236,236,6979,0
0,1645,358,358,1004,0
0,376974,57,57,376393,1
0,767988,277,277,767290,0
0,426818,141,141,426186,1
0,39701,54,54,39237,1
0,265007,265,265,264339,0
0,782,48,48,129,1
0,1118634,323,323,1117975,1
0,30799,75,75,30158,1
0,159847,69,69,159101,1
0,694973,311,311,694383,0
0,1610144,116,116,1609563,0
0,487905,173,173,487330,0
1,356421,430,430,355831,1
0,1921473,109,109,1920904,1
0,2027,41,41,1341,0
0,1739252,339,339,1738602,0
0,515441,212,212,514617,0
0,1109679,320,320,1109041,1
1,347837,19,19,347313,0
0,250738,327,327,250097,0
0,4939,8,8,4241,1
0,570400,77,77,569783,0
1,544317,150,150,543658,0
0,52129,271,271,51491,0
1,19103,381,381,18480,1
0,4829,264,264,4128,0
0,599763,239,239,598996,1
0,430625,13,13,430509,0
0,1142859,409,409,1142287,1
0,339516,231,231,338926,0
0,1413348,215,215,1412725,1
0,1066542,405,405,1065931,1
0,15668,347,347,15015,0
0,6518,308,308,5874,1
0,26110,310,310,25487,1
1,504309,428,428,503911,1
0,610947,369,369,610288,1
0,1935320,222,222,1934724,0
0,216763,326,326,216122,0
1,588625,161,161,587969,1
0,412598,287,287,411981,1
1,463493,102,102,462885,1
0,14001,394,394,13402,1
0,276224,140,140,275592,0
0,602338,324,324,601643,1
0,1845,389,389,1489,1
0,314714,124,124,314181,0
0,1464254,90,90,1463646,0
0,1100102,407,407,1099440,1
0,444695,33,33,444042,0
0,42175,386,386,41594,0
0,9261,131,131,8539,0
0,382637,59,59,382086,0
0,35038,307,307,34388,1
0,410050,254,254,409331,0
1,13194,352,352,12661,1
0,641578,84,84,640880,1
0,320021,423,423,319437,1
0,70385,304,304,69732,0
0,2893,384,384,2228,0
0,36160,21,21,35462,1
1,628319,188,188,627354,1
1,978860,282,282,978390,0
0,288480,178,178,287506,0
0,331967,157,157,331098,0
0,467996,367,367,467418,0
0,1344856,203,203,1344239,0
0,340144,413,413,339536,0
0,218124,170,170,217234,0
0,17055,50,50,16375,0
0,12594,202,202,11959,1
0,789660,155,155,789061,1
0,855201,25,25,854569,1
0,873,6,6,262,1
0,16035,345,345,15472,0
0,301818,285,285,301183,1
0,281,11,11,3,1
0,578960,78,78,578253,0
0,1665163,31,31,1664528,0
0,538452,149,149,537880,1
0,278450,250,250,277617,0
0,473006,260,260,472107,0
0,16573,169,169,15977,0
1,15631,125,125,14972,0
0,2130876,106,106,2130250,1
0,750998,205,205,750414,0
0,497850,300,300,497083,1
0,653543,85,85,652923,1
0,698962,98,98,698387,1
0,350824,414,414,350453,1
0,584282,136,136,583626,1
0,425782,145,145,425384,0
0,1183104,329,329,1182499,0
0,160801,403,403,160181,0
1,10872,105,105,10210,0
0,393310,288,288,392783,0
0,514088,299,299,513441,1
0,667099,5,5,666332,1
0,244449,294,294,243556,0
0,223254,295,295,222562,0
0,260483,180,180,259935,0
0,1069989,198,198,1069351,0
0,198335,44,44,197730,1
0,1235855,191,191,1235211,1
0,1109266,398,398,1108595,0
0,6197,387,387,5628,0
0,38888,80,80,38181,1
0,2159962,330,330,2159390,0
0,1411596,23,23,1410949,0
0,2152710,107,107,2152117,1
0,70633,61,61,70109,0
0,2442,291,291,1612,1
0,673589,189,189,672981,1
1,1671935,120,120,1671336,0
0,11230,376,376,10535,0
0,1875155,225,225,1874526,0
0,311313,422,422,310645,1
0,274287,176,176,273715,1
0,433446,210,210,432955,0
0,36542,385,385,35961,1
0,541203,104,104,540331,0
0,375081,123,123,374536,1
0,1134002,408,408,1133424,1
0,1473130,89,89,1472456,0
1,1261581,328,328,1260970,0
0,1121,3,3,531,0
0,405277,144,144,404699,0
0,1581481,220,220,1580900,1
0,1049,290,290,204,1
0,327963,424,424,327337,1
0,1392058,312,312,1391459,0
0,253089,181,181,252442,0
0,897457,279,279,896894,0
0,358436,284,284,358038,1
0,11470,49,49,11081,1
0,371048,283,283,370350,1
0,1932015,108,108,1931470,0
0,7470,275,275,6853,1
0,76266,286,286,75574,1
0,16265,14,14,15666,1
0,605996,245,245,605367,1
0,332148,411,411,331510,0
1,844685,370,370,844098,0
0,1790185,226,226,1789544,1
0,617680,240,240,617066,1
0,59685,51,51,58891,0
0,1591262,334,334,1590720,0
0,31626,359,359,31012,0
0,67780,415,415,67067,0
0,425359,255,255,424565,0
0,281837,182,182,281250,0
0,1169771,350,350,1169145,0
0,1192370,319,319,1191744,1
0,18926,390,390,18276,0
0,2103139,227,227,2102468,1
0,1094415,322,322,1093786,1
0,1559,53,53,987,1
0,395098,43,43,394403,1
0,128464,416,416,128075,0
0,1132814,321,321,1132212,1
1,385637,22,22,384969,0
0,1348,171,171,512,1
0,567879,382,382,567310,0
0,190891,68,68,190256,1
0,3660,200,200,3085,1
0,756041,100,100,755460,1
0,1653046,114,114,1652444,1
0,7200,138,138,6637,0
0,17644,351,351,17072,0
0,388432,199,199,388043,1
0,1001979,96,96,1001410,0
0,1611491,333,333,1610868,0
0,6125,12,12,5631,1
0,1806636,340,340,1806064,0
0,1150552,318,318,1149983,1
0,377041,365,365,376496,1
0,389569,256,256,388676,0
0,1212108,315,315,1211533,0
0,1793869,336,336,1793264,1
0,7249,55,55,6641,0
0,421453,417,417,420860,0
0,410649,146,146,410251,0
1,2936,1,1,2637,1
1,690105,152,152,689434,0
0,7534,346,346,7151,0
0,14571,378,378,14272,0
0,237931,292,292,237338,0
0,615493,18,18,614912,0
0,253619,174,174,252897,0
0,244194,184,184,243160,0
0,1176204,399,399,1175530,0
0,668902,153,153,668282,1
0,22995,309,309,22609,1
0,47042,81,81,46335,1
0,6670,234,234,6140,1
0,462219,366,366,461563,1
0,1079,130,130,750,0
1,1773473,337,337,1772775,1
0,1368555,313,313,1367977,1
0,170789,70,70,170208,1
1,44727,395,395,44119,1
0,917604,280,280,916954,0
0,7294,268,268,6638,0
0,9111,134,134,8734,0
0,633393,83,83,632488,1
1,1947,16,16,1330,1
0,1604078,117,117,1603452,0
0,219644,73,73,218985,1
0,1579,4,4,1004,1
0,462632,143,143,462006,0
0,1707,379,379,1054,0
0,555039,79,79,554104,0
1,891600,278,278,891058,1
0,522983,298,298,522417,1
0,897652,247,247,897068,0
0,445439,137,137,444747,0
0,5761,377,377,5141,0
0,407298,187,187,406639,0
0,95645,66,66,95094,1
0,296809,421,421,296102,1
0,438791,34,34,438168,1
0,296422,251,251,295724,0
0,311595,412,412,311224,1
0,22912,60,60,22523,0
1,22510,56,56,21845,0
0,262228,39,39,261515,0
0,603114,244,244,602248,1
0,610905,160,160,610333,0
1,862102,248,248,861431,0
0,8700,17,17,8095,0
0,1439745,92,92,1439215,1
0,9539,201,201,8904,1
0,367683,158,158,367096,0
0,28027,46,46,27344,0
0,406686,142,142,406078,0
0,32545,269,269,31979,0
1,11424,42,42,10828,0
0,465000,356,356,464038,0
1,874302,281,281,873739,1
0,1522297,88,88,1521722,0
0,456160,325,325,455483,0
1,28680,132,132,27985,0
0,478938,103,103,478315,0
0,494817,207,207,494134,1
0,21792,348,348,21193,0
0,649380,243,243,648745,1
1,499409,368,368,498789,0
0,21840,237,237,21079,0
0,551183,233,233,550740,0
0,53116,397,397,52718,0
0,302673,252,252,302005,0
0,633183,241,241,632827,1
0,1148872,410,410,1148204,0
0,548259,147,147,547909,0
0,627298,101,101,626603,1
0,555039,429,429,554545,1
0,269583,420,420,268954,0
0,1587490,217,217,1586741,0
0,1038285,195,195,1037734,1
0,266589,179,179,265723,0
0,21892,342,342,21179,0
0,400683,58,58,400036,1
0,11825,47,47,11139,0
0,564291,151,151,563632,1
0,1722444,341,341,1721857,1
0,1850809,111,111,1850192,1
0,1081012,406,406,1080440,1
0,217404,24,24,216745,0
0,2115566,27,27,2114982,1
0,5418,238,238,4696,1
0,266951,177,177,266226,0
0,643220,204,204,642618,0
0,238595,175,175,237978,1
0,174019,67,67,173294,1
0,33533,391,391,32910,1
0,66227,306,306,65685,0
0,1032696,196,196,1032121,1
0,1279824,192,192,1279111,1
0,549268,76,76,548651,0
1,1738968,29,29,1738420,0
0,110877,159,159,110344,1
1,44362,305,305,43754,1
0,375323,426,426,374682,1
0,1871216,110,110,1870641,0
0,48963,360,360,48349,0
0,63431,65,65,62859,0
0,559332,148,148,558976,0
0,21243,15,15,20602,1
1,807869,26,26,807330,1
0,17246,273,273,16593,0
0,11667,266,266,10975,1
0,1182146,317,317,1181541,1
0,777907,154,154,777242,0
0,474095,357,357,473496,0
0,548591,232,232,548190,0
