Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,42426,99,15,0,41221,0
0,447552,1,0,0,446896,0
0,1524263,38,14,0,1522857,0
0,919364,83,10,0,918156,0
0,10687,109,15,0,9590,0
0,1108489,108,23,0,1107152,1
0,33930,51,15,0,32737,0
0,340851,9,0,0,340480,0
0,580857,36,23,0,579490,0
1,6500,32,2,1,5433,0
1,597683,128,2,1,596868,1
0,480599,127,0,0,480417,0
0,1494962,39,4,0,1493559,1
0,437003,65,1,0,436320,0
0,726501,41,8,0,725125,1
0,1117420,107,10,0,1116176,1
1,630240,57,2,1,628903,1
0,1404649,104,10,0,1403372,0
1,3182,21,2,1,2247,0
0,85134,87,12,0,83866,1
0,1359,80,0,0,532,1
0,146779,91,5,0,145715,1
0,601068,111,15,0,599905,1
0,831522,13,15,0,830434,1
0,7259,7,0,0,6249,0
1,496522,93,2,1,495068,1
0,68405,137,17,0,67296,1
0,1047742,142,17,0,1046660,1
0,532332,151,23,0,531106,1
0,1898756,47,17,0,1897875,1
0,1944921,120,0,0,1944244,0
0,2480,74,17,0,1071,1
0,494627,43,21,0,493452,0
0,233697,3,0,0,233434,1
0,1587887,118,8,0,1586445,1
1,1867030,46,2,1,1865636,0
0,15753,11,17,0,14641,0
0,174865,132,10,0,173582,1
1,10644,92,2,1,9307,1
0,412929,52,23,0,411703,0
0,1267766,61,10,0,1266495,1
0,1506761,114,22,0,1505442,1
0,211328,152,17,0,209856,1
0,340376,73,1,0,339975,0
0,1172370,106,10,0,1171051,0
1,411413,88,2,1,410007,1
0,59441,98,17,0,58461,0
0,559992,89,23,0,558766,1
1,1789020,71,2,1,1787623,1
0,155219,154,6,0,154221,0
0,626028,42,15,0,624868,1
0,151073,139,17,0,149964,0
0,1733432,124,21,0,1732098,0
1,924253,84,2,1,923378,1
0,1651899,48,15,0,1651012,1
0,290343,72,21,0,289018,0
0,484137,79,15,0,482659,0
0,1002291,86,15,0,1001194,0
0,1751668,123,4,0,1750310,0
0,211061,153,4,0,209817,0
1,18783,26,2,1,17596,0
1,65502,30,2,1,63997,0
1,813285,54,2,1,812281,0
0,2018230,117,15,0,2016848,0
1,434666,126,2,1,433053,0
1,665716,129,2,1,664775,1
0,1248251,62,13,0,1246854,1
0,617159,56,23,0,615924,0
1,452810,94,2,1,452175,0
0,423600,146,17,0,422017,0
1,9275,49,2,1,7716,1
0,2090497,20,4,0,2089121,1
0,526360,150,23,0,525035,1
0,447752,149,23,0,446523,1
0,1933792,5,1,0,1933010,0
1,1778404,122,25,1,1777100,1
0,1127672,134,3,0,1126485,0
0,1741983,16,9,0,1740772,0
1,1072628,133,25,1,1071504,0
0,1152412,37,23,0,1151105,1
0,231983,81,7,0,230514,1
0,432268,6,17,0,431189,0
1,1015761,64,2,1,1014583,0
1,1365596,66,25,1,1364481,0
0,405983,8,1,0,405798,0
1,52782,136,2,1,51379,1
1,852,50,2,1,1,0
1,417432,101,2,1,415855,0
0,1601313,69,18,0,1599847,0
1,2053277,19,25,1,2051877,1
0,598434,75,0,0,597786,1
1,23787,25,2,1,22417,0
0,523945,112,23,0,522770,1
0,1622991,119,0,0,1622125,1
1,262696,60,2,1,261617,0
0,1413484,12,23,0,1412150,0
0,54854,27,0,0,53844,0
0,2157389,45,8,0,2156019,0
0,6378,59,15,0,4900,1
0,497535,155,0,0,496600,0
0,1093548,135,16,0,1092211,0
0,566165,35,18,0,564966,0
0,67849,97,17,0,66767,0
1,1804221,70,2,1,1803316,1
0,1547471,115,19,0,1546002,1
0,155993,110,20,0,154689,1
1,6733,24,2,1,6122,0
0,12244,29,15,0,11150,0
0,1499180,113,19,0,1497708,0
0,72377,31,15,0,71553,0
0,349644,10,21,0,348280,0
1,377112,2,25,1,375718,0
0,586,0,1,0,2,0
0,1398991,105,14,0,1398122,0
0,467679,95,0,0,466476,1
1,929394,77,2,1,928210,1
0,13267,22,0,0,11954,0
1,1459767,40,2,1,1458433,0
0,7956,34,20,0,6742,1
1,162444,140,25,1,161326,0
0,207419,58,0,0,207000,0
0,378535,53,18,0,377627,0
0,1683736,14,15,0,1682645,0
1,553803,90,2,1,552229,0
1,114367,138,2,1,112967,0
0,298468,78,15,0,296987,0
0,439354,100,15,0,437786,0
0,1420721,68,23,0,1419405,0
0,367224,148,0,0,366097,0
0,799780,141,0,0,799199,0
0,8841,17,17,0,7366,1
0,37052,130,24,0,35940,0
0,1361937,103,15,0,1361035,1
1,492874,55,2,1,492284,0
0,485,4,1,0,3,1
0,27971,82,5,0,26910,1
0,437973,96,0,0,437293,1
1,169772,33,2,1,168840,1
0,1951553,121,14,0,1950669,0
1,1386264,102,2,1,1384861,0
1,2074708,18,2,1,2073437,1
1,1071422,144,2,1,1070148,1
0,987463,85,0,0,986558,0
0,383794,23,17,0,382214,0
0,1370954,67,17,0,1369569,1
0,1156856,125,0,0,1155972,1
0,1026521,63,17,0,1025604,0
0,24760,145,15,0,23234,1
0,318880,147,15,0,317777,1
0,17944,131,15,0,16457,1
0,899374,76,3,0,898190,0
0,1672453,15,4,0,1671053,0
0,399489,28,21,0,398281,1
0,1558841,116,0,0,1557681,1
0,6048,44,9,0,4708,0
0,1065367,143,11,0,1064159,1
