languages,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,instagram_username,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,current_team,nationality,twitter_username,birthplace,uci_rider_id,native_name,weight_kg,birth_date,olympedia_people_id,last_name,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm
4,18,30026.0,7147.0,19,21,140921.0,140611.0,2,0,21,13,57601.0,14,62.0,3,132499.0,21,21,32008.0,563.0,12,172.0
6,5,58052.0,21800.0,0,14,,161334.0,9,4,7,6,89154.0,9,,20,,2,10,,20581.0,8,
8,26,,13274.0,13,15,11887.0,140884.0,18,7,19,24,54576.0,8,67.0,7,125029.0,23,15,15712.0,1008.0,0,180.0
5,1,46381.0,18610.0,3,9,77168.0,137427.0,12,3,12,22,71557.0,5,62.0,16,133837.0,0,9,63999.0,12474.0,4,173.0
5,4,47066.0,16881.0,0,13,41605.0,140633.0,4,3,1,26,59614.0,7,,12,,4,14,32178.0,2530.0,12,175.0
9,17,56041.0,20719.0,17,20,127549.0,174582.0,15,8,22,23,88889.0,13,65.0,8,135863.0,22,20,72449.0,18655.0,5,177.0
10,0,3262.0,387.0,1,1,1397142.0,137456.0,16,9,13,15,518429.0,0,62.0,1,111578.0,5,1,1567.0,3.0,11,176.0
5,13,,18234.0,12,17,4678.0,132358.0,4,3,18,1,75166.0,10,,19,,14,17,66542.0,10871.0,5,180.0
4,6,19255.0,3891.0,0,5,508772.0,140196.0,7,10,4,5,32532.0,2,71.0,5,113194.0,24,5,11292.0,716.0,10,183.0
6,2,22663.0,5789.0,5,2,1529344.0,140869.0,7,5,15,18,43936.0,1,69.0,4,126950.0,8,3,22017.0,713.0,2,186.0
10,0,3262.0,387.0,1,1,1397142.0,137456.0,16,9,13,15,518429.0,0,62.0,1,111578.0,5,1,1567.0,3.0,11,176.0
1,22,60759.0,22794.0,6,4,37069.0,168760.0,8,9,2,0,86857.0,9,61.0,21,,15,4,81087.0,1527.0,7,177.0
0,8,43387.0,14321.0,7,6,,140505.0,11,9,7,19,422366.0,3,60.0,6,133661.0,10,6,24864.0,2977.0,2,173.0
7,10,27794.0,12923.0,10,11,156620.0,140821.0,12,6,17,7,58528.0,6,65.0,11,120895.0,11,12,36053.0,2961.0,11,176.0
6,24,11585.0,1994.0,21,25,569371.0,140778.0,1,4,24,16,28378.0,17,65.0,2,111576.0,18,25,13069.0,133.0,12,181.0
4,23,66570.0,27708.0,20,24,,202331.0,19,10,10,14,109775.0,9,58.0,26,143137.0,20,24,119805.0,65025.0,8,170.0
5,3,,19953.0,4,3,9081.0,137740.0,0,3,5,12,81980.0,9,76.0,18,,13,2,77405.0,14737.0,5,189.0
6,2,22663.0,5789.0,5,2,1529344.0,140869.0,7,5,15,18,43936.0,1,69.0,4,126950.0,8,3,22017.0,713.0,2,186.0
8,25,70304.0,26482.0,8,8,,196333.0,17,7,7,3,107840.0,4,63.0,25,146032.0,1,8,108403.0,50303.0,8,178.0
10,7,3505.0,620.0,0,26,,131895.0,3,9,16,25,,9,64.0,0,,6,26,1804.0,121.0,12,175.0
4,6,19255.0,3891.0,0,5,508772.0,140196.0,7,10,4,5,32532.0,2,71.0,5,113194.0,24,5,11292.0,716.0,10,183.0
5,16,39004.0,,15,18,47028.0,138497.0,10,3,3,21,66298.0,11,,15,125024.0,7,18,60878.0,89540.0,1,
3,12,54668.0,21392.0,14,16,18425.0,135315.0,6,1,8,20,93654.0,9,71.0,13,,17,16,77634.0,22682.0,5,184.0
6,24,11585.0,1994.0,21,25,569371.0,140778.0,1,4,24,16,28378.0,17,65.0,2,111576.0,18,25,13069.0,133.0,12,181.0
0,11,43388.0,14319.0,11,12,67673.0,140293.0,1,9,6,17,68367.0,9,63.0,9,,12,13,58588.0,2278.0,12,173.0
4,21,56672.0,22018.0,0,23,52940.0,168758.0,5,10,23,11,86735.0,16,,22,143136.0,9,23,74063.0,16639.0,12,183.0
4,20,56666.0,18975.0,2,0,32176.0,133024.0,14,10,0,2,70590.0,9,58.0,17,133999.0,26,0,65132.0,20147.0,6,172.0
5,14,58116.0,22910.0,18,22,15237.0,170625.0,8,3,20,8,99713.0,15,78.0,23,142862.0,19,22,81488.0,27111.0,3,186.0
4,15,38259.0,13066.0,0,10,26443.0,140384.0,15,0,14,4,62919.0,9,72.0,14,,16,11,39964.0,2211.0,9,178.0
0,19,49272.0,17881.0,16,19,13864.0,140294.0,3,9,9,9,76092.0,12,56.0,10,,3,19,38092.0,4863.0,12,169.0
2,9,69190.0,25740.0,9,7,,196424.0,13,2,11,10,112082.0,9,,24,,25,7,115868.0,38195.0,8,175.0
9,17,56041.0,20719.0,17,20,127549.0,174582.0,15,8,22,23,88889.0,13,65.0,8,135863.0,22,20,72449.0,18655.0,5,177.0
