GeneClassification,GeneDescription,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,0,38827,223,223,1,25,35924,1
1,0,4679,181,181,1,134,1893,0
1,0,308397,302,302,1,58,305485,0
1,0,825842,310,310,1,40,823350,0
0,0,502030,131,131,0,0,499289,0
1,0,79193,79,79,1,3,76656,1
1,0,2449,0,0,1,152,11,0
0,0,7010,290,290,0,148,4233,1
0,0,66235,245,245,0,41,64469,1
1,0,21822,317,317,1,13,18838,1
1,0,3014,96,96,1,66,228,1
0,0,77950,18,18,0,24,74987,1
1,0,510295,141,141,1,27,507728,1
1,0,847503,311,311,1,40,845194,0
1,0,6673,230,230,1,139,3815,0
1,0,181574,314,314,1,30,180063,1
1,0,625252,226,226,1,28,622190,0
1,0,1133115,268,268,1,52,1130755,1
1,0,16715,184,184,1,46,14439,1
1,0,2940,210,210,1,136,73,1
0,0,8383,217,217,0,137,7271,0
0,0,17724,292,292,0,59,14986,1
1,0,13435,270,270,1,144,10745,0
0,0,86361,186,186,0,15,83876,1
1,0,225780,80,80,1,27,223900,0
1,0,578138,100,100,1,27,576360,0
1,0,504140,265,265,1,2,500865,0
1,0,636457,211,211,1,13,635763,0
1,0,847195,163,163,1,35,845501,0
1,0,492362,28,28,1,1,490971,0
1,0,236472,221,221,1,3,233641,0
0,0,779582,201,201,0,31,776703,0
1,0,7188,125,125,1,121,4384,0
1,0,8831,111,111,1,119,6234,1
0,0,650247,102,102,0,27,648161,0
1,0,984,304,304,1,151,31,0
1,0,1094,24,24,1,75,159,1
0,0,24358,271,271,0,144,21590,0
0,0,1225,54,54,0,79,1,1
1,0,628999,143,143,1,12,626735,0
1,0,13990,116,116,1,16,11384,1
1,0,28068,66,66,1,67,25282,1
1,0,3158,252,252,1,93,408,1
1,0,2351295,262,262,1,58,2348338,0
0,0,9939,58,58,0,102,8926,0
0,0,65081,85,85,0,25,62292,1
1,0,9052,244,244,1,142,7148,1
0,2,805554,313,313,0,40,804478,0
0,0,782600,202,202,0,31,781197,0
1,0,3790,208,208,1,89,806,0
1,0,1721524,42,42,1,58,1718519,1
0,0,2010044,11,11,0,56,2009265,0
0,0,794113,240,240,0,33,793295,0
1,0,1008775,187,187,1,58,1006142,0
0,0,56433,246,246,0,41,54619,1
1,0,654938,250,250,1,27,652152,0
1,0,1032018,51,51,1,44,1029001,0
0,0,1140600,194,194,0,46,1138639,0
1,0,411506,60,60,1,33,408474,0
0,0,1137976,137,137,0,57,1133828,0
0,0,1204,127,127,0,87,2,0
0,0,8397,16,16,0,9,5578,1
0,0,764760,200,200,0,31,762982,0
1,0,976,21,21,1,74,2,1
1,0,587182,272,272,1,37,584897,1
1,0,3258,41,41,1,77,436,0
1,0,6116,59,59,1,103,4224,1
0,0,606712,235,235,0,12,603989,0
1,0,21218,239,239,1,26,18921,1
0,0,2501,84,84,0,38,102,1
1,0,7457,212,212,1,41,4911,1
0,0,490870,47,47,0,1,489493,0
1,0,4777,19,19,1,70,2027,1
0,0,26225,204,204,0,65,24447,1
1,0,22430,45,45,1,34,19944,1
1,0,15107,260,260,1,2,12237,1
1,0,41742,307,307,1,44,39727,1
0,0,663320,256,256,0,24,660522,0
0,0,58458,115,115,0,16,55432,1
1,0,486237,25,25,1,47,483109,0
1,0,644271,99,99,1,58,641242,1
1,0,16574,220,220,1,138,14088,1
0,0,3713,282,282,0,97,2106,0
1,0,44770,26,26,1,50,42977,1
0,0,3597,232,232,0,140,1834,0
1,0,5794,136,136,1,123,3014,0
0,1,655728,168,168,0,18,653962,0
0,0,33262,308,308,0,44,31331,1
0,0,791878,122,122,0,37,790079,0
1,0,760085,241,241,1,33,757590,0
0,0,169312,68,68,0,55,166550,0
1,0,130785,105,105,1,20,128263,0
1,0,122539,188,188,1,14,120197,1
0,0,594892,224,224,0,28,591674,0
0,0,571445,196,196,0,21,567813,0
1,0,690966,177,177,1,32,687994,0
1,0,9553,114,114,1,85,7784,0
1,0,582823,22,22,1,21,581135,0
0,0,1917064,172,172,0,56,1914173,1
1,0,25743,228,228,1,14,24748,1
1,0,71114,193,193,1,4,69705,1
0,0,103187,323,323,0,9,101616,0
0,0,702008,178,178,0,32,700188,0
1,0,585311,225,225,1,28,582390,0
1,0,2350211,167,167,1,59,2347587,0
1,0,491613,134,134,1,41,488857,1
1,0,12191,229,229,1,14,9909,1
1,0,1182,93,93,1,115,1,1
1,0,59561,140,140,1,50,57681,1
0,0,14595,67,67,0,67,12280,1
1,0,9360,253,253,1,94,6577,0
1,0,14953,301,301,1,53,12005,1
1,0,29749,161,161,1,29,26915,1
1,0,430057,183,183,1,33,427406,0
1,0,14455,91,91,1,113,11690,0
0,0,30562,277,277,0,18,28739,1
0,0,4524,238,238,0,141,2574,0
0,0,4216,133,133,0,47,1460,1
0,0,19758,182,182,0,135,17038,0
0,0,47207,82,82,0,112,45534,1
0,0,36437,103,103,0,117,35517,1
1,0,5595,70,70,1,107,2761,1
1,0,912033,74,74,1,41,909235,0
1,0,2693,279,279,1,96,396,0
0,0,4036,65,65,0,67,1289,1
1,0,93761,73,73,1,65,90201,1
1,0,11733,75,75,1,82,9154,0
1,0,706189,15,15,1,29,704129,0
0,0,120500,322,322,0,9,118605,0
1,0,26060,257,257,1,2,23298,1
1,0,351197,215,215,1,62,348939,0
0,0,8589,30,30,0,42,6541,1
1,0,1425113,14,14,1,52,1422420,0
1,0,688837,89,89,1,26,685982,0
0,0,54516,95,95,0,41,53479,1
0,0,1739,12,12,0,72,3,1
0,0,201879,298,298,0,61,200095,0
1,0,1320804,151,151,1,59,1318300,0
1,0,628364,101,101,1,27,625434,0
0,0,3779,180,180,0,133,1517,0
0,0,64637,150,150,0,65,62859,1
1,0,4799,269,269,1,144,2103,0
1,0,7313,233,233,1,140,4734,0
0,0,19476,159,159,0,128,17815,1
1,0,7957,142,142,1,126,5381,0
1,0,829858,120,120,1,37,827087,0
1,0,2120212,106,106,1,58,2117660,0
1,0,411543,242,242,1,31,408877,0
1,0,848494,162,162,1,35,847454,0
1,0,8756,145,145,1,45,5919,1
0,0,169188,306,306,0,44,166855,1
1,0,16396,293,293,1,149,13598,0
1,0,492103,130,130,1,0,489575,0
0,0,3892,46,46,0,54,599,1
0,0,427483,286,286,0,46,425420,0
1,0,570499,249,249,1,27,567725,0
1,0,3857,104,104,1,118,1095,1
1,0,924785,234,234,1,57,922281,1
1,0,245943,63,63,1,4,244298,0
1,0,556405,237,237,1,28,554000,1
0,0,9141,218,218,0,137,8410,0
1,0,981807,276,276,1,52,979324,1
1,0,14712,219,219,1,91,11650,0
1,0,2360044,13,13,1,59,2358530,0
1,0,11256,251,251,1,92,8914,1
1,0,7825,92,92,1,114,5795,0
0,0,9869,55,55,0,58,8244,1
1,0,96498,206,206,1,29,94816,1
1,0,83774,185,185,1,15,82602,1
0,0,1981,296,296,0,99,2,0
1,0,483389,320,320,1,5,481422,0
0,0,85945,309,309,0,16,83153,1
0,0,21702,61,61,0,104,18811,0
0,0,22871,4,4,0,25,21810,1
1,0,5339,53,53,1,101,2904,1
0,0,728090,37,37,0,30,725151,0
1,0,3210,23,23,1,73,616,1
0,0,258722,216,216,0,9,256827,0
0,0,10587,179,179,0,132,8119,1
1,0,145152,315,315,1,13,142906,1
1,0,572075,299,299,1,17,569139,0
1,0,58311,297,297,1,57,56848,1
1,0,33122,280,280,1,42,30594,1
1,0,690828,273,273,1,37,688522,0
0,0,45706,258,258,0,2,43370,1
1,0,588116,3,3,1,8,586977,0
0,0,4613,118,118,0,5,1626,1
0,0,12865,288,288,0,39,9965,1
1,0,4342,83,83,1,32,1385,1
1,0,15683,254,254,1,95,12888,0
1,0,378832,39,39,1,63,376718,0
0,0,25602,135,135,0,51,22921,1
0,0,563158,321,321,0,21,560651,0
0,0,467624,170,170,0,11,464685,0
1,0,2020967,175,175,1,56,2018517,0
0,0,4567,57,57,0,80,1604,0
1,0,24449,113,113,1,85,21516,0
1,0,33240,56,56,1,41,30436,1
1,0,197559,191,191,1,9,195199,1
0,0,955,155,155,0,88,2,1
0,0,447897,284,284,0,46,446350,0
0,0,61849,48,48,0,65,60071,1
1,0,1824669,165,165,1,58,1821786,0
1,0,21022,64,64,1,105,18272,1
1,0,517997,132,132,1,0,514713,0
1,0,2028531,264,264,1,58,2025571,0
1,0,4543,138,138,1,124,1706,1
1,0,16034,126,126,1,24,13233,0
0,0,1337382,267,267,0,52,1335682,0
0,0,1973,1,1,0,154,3,1
1,0,1174681,77,77,1,48,1172813,0
0,0,3158,6,6,0,40,342,1
1,0,648458,160,160,1,22,645735,0
0,0,31215,300,300,0,68,30121,1
0,0,1171911,147,147,0,49,1168945,0
0,0,2772,318,318,0,13,301,1
1,0,265804,199,199,1,10,263906,0
0,0,496864,169,169,0,6,494066,0
1,0,1709527,108,108,1,59,1707056,1
1,0,29971,144,144,1,45,27197,1
1,0,5025,157,157,1,127,2677,1
1,0,474181,190,190,1,4,471830,0
0,0,20670,139,139,0,125,18052,1
0,0,1434052,154,154,0,52,1432280,0
1,0,2327020,261,261,1,58,2324351,0
1,0,30617,149,149,1,66,28410,1
0,0,750304,207,207,0,37,747923,0
1,0,10460,78,78,1,111,8049,1
1,0,754760,203,203,1,31,752910,0
1,0,6217,319,319,1,13,3602,1
1,0,396132,243,243,1,31,393928,0
1,0,128705,205,205,1,29,127131,1
1,0,496021,27,27,1,1,493463,0
1,0,56619,316,316,1,13,53854,1
0,0,4421,32,32,0,76,3684,1
0,0,117865,209,209,0,2,115973,1
0,0,6529,156,156,0,36,4547,1
1,0,174847,192,192,1,9,172793,1
1,0,8963,174,174,1,131,6399,1
0,0,6840,283,283,0,146,3826,0
1,0,1175229,146,146,1,49,1172704,0
1,0,110366,247,247,1,64,107442,1
1,0,7278,97,97,1,116,4399,0
0,0,67475,295,295,0,56,65139,1
1,0,1130391,195,195,1,46,1127446,0
1,0,11829,33,33,1,48,8980,1
1,0,1443,20,20,1,71,1,1
0,0,7112,281,281,0,145,4374,1
1,0,1113039,294,294,1,58,1110685,1
1,0,7245,289,289,1,147,4687,1
1,0,12451,173,173,1,130,9695,1
0,0,2274,52,52,0,78,1,0
1,0,2194888,107,107,1,59,2192474,1
1,0,905310,40,40,1,45,902803,0
0,0,729858,198,198,0,37,727477,0
1,0,214887,305,305,1,9,212992,0
0,0,34372,2,2,0,50,33320,1
0,0,38223,31,31,0,43,36197,1
1,0,18751,110,110,1,84,16475,1
1,0,2149200,263,263,1,58,2146741,0
1,0,3783,86,86,1,25,1453,1
1,0,596370,275,275,1,11,593812,0
1,0,19819,123,123,1,0,16985,1
0,0,392186,222,222,0,11,389424,0
0,0,36463,117,117,0,16,33455,1
1,0,439193,285,285,1,46,435576,0
0,0,598524,94,94,0,7,596251,0
1,0,342240,153,153,1,59,339421,1
1,0,107280,50,50,1,19,104554,0
1,0,2892,69,69,1,106,97,0
0,0,478312,10,10,0,11,477440,0
1,0,46833,76,76,1,110,44356,0
1,0,670094,38,38,1,59,667467,0
0,0,2028848,176,176,0,56,2027736,0
1,0,68416,259,259,1,2,66416,1
1,0,4460,128,128,1,87,2295,0
0,0,553364,248,248,0,18,550602,0
1,0,201254,158,158,1,60,198909,0
0,0,851849,121,121,0,37,849015,0
1,0,3538,291,291,1,98,857,1
1,0,12394,303,303,1,150,9605,0
0,0,748745,36,36,0,30,745776,0
1,0,14564,62,62,1,81,12819,1
0,0,39476,266,266,0,143,36720,1
1,0,13956,213,213,1,90,10954,0
1,0,68621,189,189,1,57,67503,1
0,0,645301,274,274,0,11,642806,0
1,0,5678,129,129,1,122,4257,1
1,0,458839,17,17,1,11,457553,0
0,0,811998,312,312,0,40,810235,0
1,0,26744,325,325,1,43,24147,1
0,0,968,8,8,0,153,3,0
1,0,905988,98,98,1,42,903148,0
1,0,9121,287,287,1,39,6152,1
1,0,582104,236,236,1,12,579438,0
1,0,79885,227,227,1,11,77750,1
1,0,2982,72,72,1,109,445,1
1,0,22938,87,87,1,56,21226,1
1,0,1573917,166,166,1,58,1571158,0
0,0,531490,34,34,0,3,528650,0
0,0,4734,124,124,0,86,2191,0
1,0,710712,197,197,1,37,708220,0
0,0,367390,214,214,0,62,364778,0
1,0,56555,324,324,1,43,54387,1
0,0,18183,231,231,0,139,15433,0
1,0,4073,5,5,1,69,1218,0
1,0,15577,71,71,1,108,12521,1
1,0,2071578,164,164,1,58,2068987,0
1,0,27589,109,109,1,83,25172,0
0,0,4119,44,44,0,34,967,1
1,0,27235,148,148,1,30,24623,1
1,0,783456,81,81,1,34,780772,0
0,0,11142,112,112,0,120,8839,1
1,0,242630,119,119,1,23,239769,1
1,0,10610,171,171,1,129,8169,1
1,0,106204,278,278,1,18,104012,1
1,0,16963,49,49,1,100,14936,0
1,0,9934,88,88,1,49,6965,1
1,0,577397,7,7,1,28,576201,0
1,0,1820,9,9,1,155,189,0
1,0,485801,35,35,1,3,483723,0
1,3,11541,326,326,1,43,8509,1
1,0,619021,152,152,1,14,617285,0
0,0,13820,29,29,0,25,12766,1
1,0,2325261,43,43,1,59,2323705,0
1,0,10910,90,90,1,113,8910,0
1,0,639965,255,255,1,24,637563,0
