Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1160395,346,346,3,1,55,1159709,0
1,18293,403,403,3,1,155,17649,0
0,7200,132,132,4,0,24,6637,0
0,55025,358,358,4,0,100,54438,0
0,1464254,86,86,4,0,96,1463646,0
0,494817,200,200,4,0,14,494134,1
0,2016292,328,328,4,0,62,2015537,0
0,9057,387,387,4,0,90,8128,0
0,4555,130,130,4,0,130,3962,0
0,683253,96,96,4,0,57,682675,0
1,844685,367,367,3,1,112,844098,0
1,112468,400,400,1,1,37,111971,0
0,4870,339,339,4,0,139,4217,0
0,2682,262,262,4,0,130,1954,0
0,158502,17,17,4,0,1,158113,0
0,1955674,331,331,4,0,159,1955171,0
0,756041,97,97,4,0,96,755460,1
0,1368555,308,308,4,0,75,1367977,1
0,1487064,90,90,4,0,28,1486369,1
1,44362,299,299,3,1,121,43754,1
0,265007,256,256,4,0,5,264339,0
0,128464,415,415,2,0,7,128075,0
0,1921473,106,106,4,0,57,1920904,1
0,458814,351,351,4,0,99,458125,0
0,316703,370,370,4,0,46,316059,0
0,548591,223,223,2,0,41,548190,0
0,1604078,114,114,4,0,75,1603452,0
0,85370,59,59,4,0,76,84681,0
0,17407,259,259,4,0,43,16820,0
0,1033564,296,296,4,0,166,1032920,0
1,1738968,26,26,3,1,41,1738420,0
0,6677,378,378,4,0,89,6162,1
0,278070,219,219,4,0,156,277438,1
0,1731530,335,335,4,0,57,1730895,0
0,477620,203,203,4,0,112,476973,0
0,567879,380,380,2,0,88,567310,0
0,10321,124,124,4,0,43,9749,0
0,1686468,110,110,4,0,96,1685914,0
0,7629,227,227,4,0,43,6979,0
0,1645,355,355,4,0,104,1004,0
0,376974,53,53,4,0,149,376393,1
1,807869,23,23,3,1,117,807330,1
0,426818,134,134,4,0,128,426186,1
0,39701,50,50,4,0,43,39237,1
0,307213,257,257,4,0,14,306524,0
0,782,44,44,4,0,126,129,1
0,1132814,316,316,4,0,57,1132212,1
0,36247,70,70,4,0,63,35642,1
0,170789,66,66,4,0,31,170208,1
0,717564,268,268,4,0,122,716974,1
0,1637787,112,112,4,0,57,1637185,1
0,487905,167,167,4,0,149,487330,0
1,628319,181,181,3,1,65,627354,1
0,1932015,105,105,4,0,96,1931470,0
0,2027,38,38,4,0,71,1341,0
0,1743790,334,334,4,0,57,1743146,0
0,515441,204,204,4,0,65,514617,0
0,1118634,318,318,4,0,151,1117975,1
1,347837,16,16,3,1,9,347313,0
0,250738,322,322,4,0,156,250097,0
0,1579,2,2,4,0,165,1004,1
0,578960,74,74,4,0,114,578253,0
0,552848,142,142,4,0,162,552180,1
0,52129,263,263,4,0,130,51491,0
1,19103,379,379,3,1,31,18480,1
0,4829,255,255,4,0,38,4128,0
0,603114,236,236,4,0,15,602248,1
0,436400,10,10,4,0,26,435816,0
0,1148872,409,409,4,0,34,1148204,0
0,339516,222,222,4,0,82,338926,0
0,1581481,212,212,4,0,84,1580900,1
0,1081012,405,405,4,0,168,1080440,1
0,15668,343,343,4,0,20,15015,0
0,6518,302,302,4,0,149,5874,1
0,33001,18,18,4,0,47,32291,1
1,504309,427,427,3,1,144,503911,1
0,668902,146,146,4,0,77,668282,1
0,1995197,214,214,4,0,148,1994529,0
0,216763,321,321,4,0,142,216122,0
1,588625,154,154,3,1,108,587969,1
0,416038,382,382,4,0,64,415541,0
1,463493,99,99,3,1,79,462885,1
0,14001,393,393,4,0,152,13402,1
1,385637,19,19,3,1,55,384969,0
0,602338,319,319,4,0,92,601643,1
0,1845,388,388,2,0,87,1489,1
0,375081,120,120,4,0,25,374536,1
0,1473130,85,85,4,0,27,1472456,0
0,1134002,407,407,4,0,48,1133424,1
0,444695,30,30,4,0,110,444042,0
0,42175,385,385,4,0,148,41594,0
0,9261,126,126,4,0,43,8539,0
0,382637,55,55,4,0,156,382086,0
0,35038,301,301,4,0,120,34388,1
0,416102,245,245,4,0,23,415509,0
1,13194,348,348,3,1,105,12661,1
0,653543,82,82,4,0,54,652923,1
0,320021,422,422,4,0,97,319437,1
0,78452,298,298,4,0,85,77844,0
0,2893,383,383,4,0,146,2228,0
0,38888,77,77,4,0,56,38181,1
0,22995,303,303,2,0,56,22609,1
0,1066542,404,404,4,0,69,1065931,1
0,438865,350,350,4,0,21,438233,0
0,345916,151,151,4,0,133,345353,0
1,499409,365,365,3,1,55,498789,0
0,262228,36,36,4,0,167,261515,0
0,350824,413,413,2,0,98,350453,1
0,224418,164,164,4,0,21,223792,0
0,17055,46,46,4,0,43,16375,0
0,1049,282,282,4,0,68,204,1
0,807166,149,149,4,0,116,806492,1
1,874302,273,273,3,1,117,873739,1
0,281,8,8,5,0,73,3,1
0,16035,341,341,4,0,53,15472,0
0,311595,411,411,2,0,98,311224,1
0,6125,9,9,4,0,73,5631,1
0,582243,75,75,4,0,158,581596,0
0,1670681,27,27,4,0,122,1670067,0
1,544317,144,144,1,1,112,543658,0
0,285006,244,244,4,0,133,284026,0
0,482096,252,252,4,0,109,481446,0
0,16573,162,162,4,0,126,15977,0
0,1236,123,123,4,0,0,691,0
0,2152710,104,104,4,0,159,2152117,1
0,218124,163,163,4,0,21,217234,0
0,505974,293,293,4,0,15,505327,1
0,314714,121,121,4,0,25,314181,0
0,729959,94,94,4,0,17,729363,0
0,358436,276,276,2,0,56,358038,1
0,594102,230,230,4,0,43,593512,1
0,22696,71,71,4,0,61,22061,1
1,1261581,323,323,3,1,129,1260970,0
0,160801,402,402,4,0,49,160181,0
1,10872,102,102,3,1,102,10210,0
0,412598,278,278,4,0,45,411981,1
0,517192,292,292,4,0,6,516578,1
0,53893,305,305,4,0,42,53279,1
0,253563,286,286,4,0,131,252895,0
0,237931,284,284,4,0,23,237338,0
0,266589,174,174,4,0,21,265723,0
0,1078119,190,190,4,0,159,1077559,0
0,468817,295,295,4,0,6,467864,1
0,1243238,184,184,4,0,159,1242540,1
0,1176204,398,398,4,0,5,1175530,0
0,6197,386,386,4,0,153,5628,0
0,47042,78,78,4,0,31,46335,1
0,374682,40,40,4,0,17,374062,0
0,1420673,89,89,4,0,159,1420101,0
0,388432,192,192,2,0,74,388043,1
0,70633,57,57,4,0,126,70109,0
0,11230,373,373,4,0,125,10535,0
0,694973,306,306,4,0,70,694383,0
0,1677970,116,116,4,0,136,1677395,0
0,5761,374,374,4,0,22,5141,0
0,1886263,215,215,4,0,101,1885670,0
0,311313,421,421,4,0,135,310645,1
0,282372,171,171,4,0,47,281740,1
0,456160,320,320,4,0,118,455483,0
0,36542,384,384,4,0,148,35961,1
0,541203,101,101,4,0,65,540331,0
0,377041,362,362,4,0,25,376496,1
0,1142859,408,408,4,0,48,1142287,1
0,1481322,91,91,4,0,75,1480762,1
0,1306828,206,206,4,0,91,1306226,1
0,1739,5,5,4,0,34,1236,1
0,410649,138,138,2,0,31,410251,0
0,1587490,209,209,4,0,91,1586741,0
0,2442,283,283,4,0,29,1612,1
0,327963,423,423,4,0,97,327337,1
0,1411596,20,20,4,0,17,1410949,0
0,260483,175,175,4,0,99,259935,0
0,917604,272,272,4,0,101,916954,0
0,371048,275,275,4,0,98,370350,1
0,11470,45,45,2,0,126,11081,1
0,377176,139,139,4,0,98,376607,0
0,1943209,7,7,4,0,57,1942577,0
0,7470,267,267,4,0,126,6853,1
0,120884,33,33,2,0,106,120498,0
0,21243,13,13,4,0,16,20602,1
0,617680,231,231,4,0,15,617066,1
0,340144,412,412,4,0,98,339536,0
1,862102,240,240,3,1,1,861431,0
0,1875155,216,216,4,0,48,1874526,0
0,633183,232,232,2,0,95,632827,1
0,59685,47,47,4,0,76,58891,0
0,1611491,329,329,4,0,122,1610868,0
0,31626,356,356,4,0,22,31012,0
0,76266,277,277,4,0,47,75574,1
0,430625,11,11,4,0,133,430509,0
0,288480,173,173,4,0,99,287506,0
0,1187163,345,345,4,0,167,1186465,0
0,1200244,311,311,4,0,57,1199621,0
0,18926,389,389,4,0,150,18276,0
0,2115566,24,24,4,0,96,2114982,1
0,1109679,315,315,4,0,96,1109041,1
0,1559,49,49,4,0,43,987,1
0,413954,417,417,4,0,17,413337,0
0,159847,65,65,4,0,98,159101,1
0,1139142,314,314,4,0,57,1138561,1
0,462219,363,363,4,0,115,461563,1
0,1348,165,165,4,0,43,512,1
0,1344856,196,196,4,0,123,1344239,0
0,203566,68,68,2,0,56,203195,1
0,3660,193,193,4,0,43,3085,1
0,1001979,93,93,4,0,164,1001410,0
1,1671935,117,117,3,1,120,1671336,0
0,3008,160,160,4,0,142,2760,1
0,17644,347,347,4,0,154,17072,0
0,393310,279,279,4,0,10,392783,0
0,1025055,189,189,4,0,75,1024453,0
0,1654543,29,29,4,0,149,1654004,1
0,11006,12,12,4,0,139,10434,1
0,1840810,108,108,4,0,57,1840178,0
0,1182146,312,312,4,0,57,1181541,1
1,356421,430,430,3,1,137,355831,1
0,398667,247,247,4,0,23,398035,0
0,1235855,185,185,2,0,96,1235211,1
0,1806636,336,336,4,0,145,1806064,0
0,7249,51,51,4,0,43,6641,0
0,452612,280,280,4,0,96,451995,0
0,425782,137,137,2,0,47,425384,0
0,1121,1,1,4,0,161,531,0
0,725245,148,148,4,0,116,724664,1
0,7534,342,342,2,0,147,7151,0
0,14571,376,376,4,0,101,14272,0
0,244449,287,287,4,0,119,243556,0
0,622513,25,25,4,0,96,621803,0
0,261062,172,172,4,0,31,260553,0
0,253089,176,176,4,0,21,252442,0
0,305429,371,371,4,0,9,304515,0
1,690105,145,145,3,1,55,689434,0
0,26110,304,304,4,0,31,25487,1
0,55203,79,79,4,0,31,54550,0
0,6670,225,225,4,0,43,6140,1
0,467996,364,364,4,0,162,467418,0
0,1079,125,125,2,0,76,750,0
0,1784731,332,332,4,0,145,1784156,1
0,1392058,307,307,4,0,164,1391459,0
0,174019,63,63,4,0,47,173294,1
1,44727,394,394,3,1,66,44119,1
1,978860,274,274,1,1,117,978390,0
0,7294,260,260,4,0,43,6638,0
0,9111,129,129,2,0,76,8734,0
0,641578,81,81,4,0,54,640880,1
0,2852,15,15,4,0,36,2211,0
0,1610144,113,113,4,0,75,1609563,0
1,225709,67,67,3,1,33,225092,1
0,873,4,4,4,0,32,262,1
0,462632,136,136,4,0,97,462006,0
0,1707,377,377,4,0,87,1054,0
0,570400,73,73,4,0,114,569783,0
0,897457,271,271,4,0,60,896894,0
0,528985,291,291,4,0,15,528356,1
0,930600,241,241,4,0,167,929947,1
0,459742,248,248,4,0,26,459083,0
0,8892,375,375,4,0,4,8245,0
0,410431,179,179,4,0,63,409799,0
0,95645,62,62,4,0,111,95094,1
0,296809,420,420,4,0,97,296102,1
0,438791,31,31,4,0,142,438168,1
0,302673,243,243,4,0,46,302005,0
0,332148,410,410,4,0,98,331510,0
0,22912,56,56,2,0,130,22523,0
0,20624,72,72,4,0,67,19953,1
0,276224,133,133,4,0,81,275592,0
0,605996,237,237,4,0,6,605367,1
0,610905,153,153,4,0,135,610333,0
1,893116,238,238,3,1,11,892445,1
0,9993,32,32,4,0,127,9376,1
0,1448091,87,87,4,0,17,1447573,1
0,12594,195,195,4,0,94,11959,1
0,389569,246,246,4,0,109,388676,0
0,28027,42,42,4,0,126,27344,0
0,406686,135,135,4,0,97,406078,0
0,32545,261,261,4,0,126,31979,0
1,11424,39,39,3,1,107,10828,0
0,474095,353,353,4,0,113,473496,0
1,891600,270,270,1,1,41,891058,1
0,1570983,119,119,4,0,96,1570405,1
0,487260,199,199,4,0,124,486679,1
1,28680,127,127,3,1,163,27985,0
0,478938,100,100,4,0,3,478315,0
0,1109266,397,397,4,0,138,1108595,0
0,21792,344,344,4,0,40,21193,0
0,652493,235,235,4,0,6,651543,1
0,538452,143,143,4,0,117,537880,1
0,21840,228,228,4,0,130,21079,0
0,567898,122,122,2,0,62,567485,0
0,53116,396,396,5,0,37,52718,0
0,308712,369,369,4,0,26,308044,0
0,641268,233,233,4,0,132,640657,1
0,1591262,330,330,4,0,70,1590720,0
0,559332,141,141,2,0,80,558976,0
0,627298,98,98,4,0,83,626603,1
0,555039,428,428,4,0,97,554545,1
0,269583,419,419,4,0,135,268954,0
1,1591401,210,210,3,1,129,1590901,0
0,1060193,187,187,4,0,57,1059636,1
0,272757,178,178,4,0,21,271798,0
0,21892,338,338,4,0,53,21179,0
0,400683,54,54,4,0,156,400036,1
0,11825,43,43,4,0,126,11139,0
0,610947,366,366,4,0,167,610288,1
0,1183104,324,324,4,0,39,1182499,0
0,1871216,107,107,4,0,17,1870641,0
0,1100102,406,406,4,0,101,1099440,1
0,223254,288,288,4,0,23,222562,0
0,2130876,103,103,4,0,96,2130250,1
0,5418,229,229,4,0,76,4696,1
0,274287,170,170,4,0,98,273715,1
0,643220,197,197,4,0,65,642618,0
0,253619,168,168,4,0,31,252897,0
0,190891,64,64,4,0,98,190256,1
0,33533,390,390,4,0,146,32910,1
0,66227,300,300,4,0,120,65685,0
0,1038285,188,188,4,0,96,1037734,1
0,1299223,183,183,4,0,96,1298663,0
0,555039,76,76,4,0,78,554104,0
0,1790185,217,217,4,0,34,1789544,1
0,110877,152,152,5,0,160,110344,1
0,70385,297,297,4,0,157,69732,0
0,375323,425,425,4,0,128,374682,1
0,1894275,109,109,4,0,28,1893637,1
0,48963,357,357,4,0,104,48349,0
0,63431,61,61,4,0,126,62859,0
0,563485,92,92,2,0,18,563114,0
1,1947,14,14,3,1,140,1330,1
0,849658,22,22,4,0,122,849029,1
0,17246,265,265,4,0,43,16593,0
0,11667,258,258,4,0,43,10975,1
0,1192370,313,313,4,0,159,1191744,1
0,789660,147,147,4,0,58,789061,1
0,484940,354,354,4,0,51,484143,0
0,551183,224,224,2,0,160,550740,0
0,1665163,28,28,4,0,149,1664528,0
0,15815,360,360,4,0,50,15231,0
0,423275,201,201,4,0,5,422700,0
0,50225,395,395,4,0,101,49587,0
0,23909,361,361,4,0,141,23259,0
0,1935320,213,213,4,0,122,1934724,0
0,1439745,88,88,4,0,57,1439215,1
0,1646736,211,211,4,0,19,1646206,0
0,5356,349,349,4,0,134,4736,1
0,281837,177,177,4,0,99,281250,0
0,217404,21,21,4,0,23,216745,0
0,431207,426,426,4,0,143,430704,0
0,565167,381,381,2,0,80,564760,0
0,4939,6,6,4,0,1,4241,1
0,497547,250,250,4,0,23,496699,0
