Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1662950,13,13,2,1,18,1661937,1
0,384182,75,75,4,0,13,382887,0
0,1957918,57,57,8,0,51,1956215,0
0,740372,22,22,9,0,23,739299,0
0,1356346,48,48,8,0,30,1354634,1
0,401051,45,45,0,0,1,400292,0
1,545819,21,21,24,1,26,544815,0
0,807440,72,72,17,0,37,806025,0
1,120630,14,14,24,1,49,119065,0
0,2350,5,5,13,0,6,965,0
0,183296,63,63,19,0,5,181743,1
0,96204,71,71,5,0,6,95182,1
1,2122182,2,2,2,1,13,2120788,1
1,440871,73,73,2,1,29,439477,0
1,373406,51,51,2,1,27,371496,1
0,276965,34,34,14,0,12,276033,1
0,2133734,55,55,1,0,0,2133172,1
1,1720929,30,30,24,1,2,1719919,0
0,802557,79,79,16,0,28,801154,0
1,464293,19,19,2,1,47,462872,1
1,428550,44,44,2,1,42,427162,0
0,406809,78,78,11,0,19,405529,0
0,432759,18,18,22,0,8,431323,0
0,488962,26,26,1,0,43,488378,0
1,603942,60,60,2,1,26,602953,1
0,649350,3,3,10,0,25,647746,1
0,1053526,27,27,18,0,14,1052240,1
0,434782,74,74,10,0,35,433358,0
0,532018,81,81,10,0,38,530630,0
1,6897,4,4,24,1,22,5479,0
0,421131,41,41,10,0,16,419701,0
1,1480218,11,11,2,1,54,1478512,1
1,1111176,69,69,24,1,15,1109698,0
0,168069,0,0,12,0,9,166519,0
0,406516,40,40,10,0,13,405110,0
1,5338,43,43,24,1,24,4406,1
1,461547,46,46,2,1,42,460189,0
1,190053,62,62,2,1,14,189334,0
0,489416,6,6,0,0,43,489063,0
0,3277,17,17,21,0,32,1805,0
0,375903,7,7,6,0,4,374896,1
0,445437,42,42,11,0,11,444157,0
1,401095,20,20,2,1,3,399644,0
0,5790,24,24,17,0,34,4375,1
1,17774,66,66,2,1,46,16488,1
0,1623870,29,29,10,0,44,1622425,0
0,1178108,70,70,18,0,3,1176633,0
0,1206373,50,50,0,0,11,1204937,0
0,915863,36,36,1,0,23,915636,0
0,10843,64,64,0,0,50,9875,1
0,2077637,31,31,10,0,40,2076276,0
0,161,65,65,1,0,39,3,1
0,4346,58,58,20,0,7,2898,0
1,411951,37,37,2,1,30,410611,0
1,1613551,56,56,2,1,24,1612028,0
1,486119,28,28,24,1,15,484647,1
0,21672,12,12,0,0,21,20227,1
0,848504,1,1,10,0,26,847224,1
0,1885991,15,15,12,0,30,1884423,1
0,224155,35,35,20,0,52,222680,1
0,42175,59,59,20,0,46,40730,0
0,1861827,33,33,13,0,10,1860490,0
1,2138530,54,54,2,1,24,2137184,1
1,6645,68,68,2,1,20,5179,1
1,21584,9,9,2,1,48,19890,1
0,452391,23,23,19,0,16,450994,0
0,129767,80,80,15,0,33,128835,0
0,1181813,53,53,0,0,45,1181490,1
1,377047,76,76,2,1,41,375671,0
0,407538,25,25,0,0,31,407386,1
1,395492,77,77,2,1,9,394080,0
1,19699,10,10,2,1,17,17999,0
1,1461,39,39,2,1,36,1,0
0,1673448,16,16,6,0,30,1672462,0
0,56906,8,8,19,0,53,55425,1
1,5370,61,61,2,1,46,3925,0
1,587224,82,82,2,1,15,585836,0
0,1876953,32,32,21,0,0,1875676,0
0,1345315,49,49,3,0,30,1343381,1
1,385849,47,47,2,1,42,384458,0
0,18574,38,38,1,0,8,17966,0
0,1142020,52,52,23,0,44,1140743,0
0,39044,67,67,7,0,9,37485,1
