GENDER,POSTHUMOUS_TITLE,GOOGLE_KNOWLEDGE_GRAPH_ID,MOTHER_NAME,DEATH_DATE,SIBLING_NAME,FULL_NAME,BIRTH_DATE
1,75,17,17,7,0,31,31
0,29,53,17,44,0,13,79
1,3,31,15,53,0,38,69
1,59,37,27,27,0,33,28
0,79,62,10,75,0,76,42
0,48,42,3,80,0,71,46
0,39,41,15,74,0,75,84
1,64,10,2,82,0,47,41
1,56,47,9,17,0,17,67
1,48,13,15,86,0,1,0
1,24,34,3,18,2,27,55
1,4,39,0,64,0,58,73
1,71,22,15,34,0,41,45
1,78,76,8,36,0,30,56
1,26,2,13,43,0,43,59
0,48,51,15,79,0,11,70
0,36,81,7,77,0,77,39
0,66,71,14,2,0,83,6
0,31,73,17,56,0,62,14
1,15,27,23,61,0,46,17
1,74,6,6,24,0,42,12
1,69,18,10,76,0,16,81
0,60,57,1,12,0,84,18
1,72,19,15,52,0,28,80
0,44,74,9,46,0,82,43
0,32,83,6,63,0,15,9
1,17,35,9,41,0,52,51
0,61,85,0,28,0,8,66
0,46,69,25,25,0,6,54
1,68,33,9,15,0,20,48
0,0,26,14,0,0,60,4
0,42,49,1,67,0,9,11
0,70,54,13,29,0,64,71
1,23,4,1,13,0,49,40
1,1,84,22,39,1,48,24
0,48,52,8,65,0,72,33
1,11,8,3,49,0,36,49
1,48,38,18,78,0,45,63
0,48,63,17,85,0,61,75
1,9,20,11,47,0,22,37
1,65,77,4,72,1,44,15
0,25,1,5,4,0,66,7
1,73,21,22,45,0,32,2
0,22,44,4,6,0,73,32
0,18,80,7,66,0,85,29
0,54,59,14,35,0,12,5
0,55,68,17,15,0,63,58
0,47,40,3,21,0,69,32
1,76,25,5,31,0,26,38
1,50,28,15,23,0,53,22
0,48,43,20,9,0,4,52
1,48,7,15,86,0,23,35
0,40,60,13,58,0,65,66
1,5,75,26,59,0,24,74
0,41,45,11,73,0,87,19
0,37,85,24,55,0,5,25
1,14,30,12,71,0,50,44
1,20,11,13,37,0,35,53
1,48,32,17,20,0,34,83
0,45,65,9,22,0,80,64
1,12,14,26,54,0,21,47
0,43,85,17,51,0,70,65
1,8,12,9,48,0,37,78
0,49,70,5,38,0,86,20
1,6,24,8,69,0,57,62
1,2,29,26,70,0,55,60
0,62,66,9,16,0,0,72
1,52,15,14,1,0,25,3
1,10,5,14,68,0,54,61
0,51,67,9,19,0,68,57
1,63,78,7,42,0,40,13
1,77,23,11,10,0,19,27
1,19,16,2,5,0,51,23
1,16,79,2,14,1,17,16
1,27,3,10,30,0,29,36
0,33,64,0,83,0,78,82
0,58,72,21,26,0,2,34
0,57,61,17,8,0,81,42
0,38,85,17,84,0,7,68
0,48,48,15,81,0,67,30
0,34,46,26,62,0,14,50
1,7,0,11,50,0,39,8
1,13,9,10,60,0,18,76
0,30,50,15,33,0,74,85
0,53,56,19,32,0,79,10
1,67,82,16,57,0,59,1
0,35,55,13,40,0,10,77
1,28,36,15,11,0,56,21
0,21,58,26,3,0,3,26
