Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,0,301826,242,242,2,0,299487
1,0,125132,82,82,2,0,122370
0,0,387675,28,28,1,1,385183
0,0,736453,80,80,3,0,733583
1,1,190552,81,81,2,0,188093
1,0,1516533,43,43,2,0,1514173
0,0,476728,160,160,2,0,474101
1,0,54199,31,31,2,0,51578
1,0,988200,208,208,2,0,985546
1,0,1062895,233,233,2,0,1060310
0,0,246580,88,88,2,0,243767
0,0,758419,46,46,2,0,756089
0,0,488327,204,204,3,0,485541
0,0,322020,236,236,1,1,319249
0,0,33755,25,25,2,0,30969
1,0,423886,68,68,2,0,421607
1,0,993191,44,44,2,0,990858
1,0,1150558,194,194,1,1,1147775
0,0,1152306,222,222,2,0,1149583
0,0,1161129,167,167,2,0,1158613
1,0,32977,216,216,1,1,30248
1,0,33431,24,24,2,0,30843
1,0,504459,247,247,2,0,501763
1,0,1757922,190,190,2,0,1755496
0,0,553480,175,175,3,0,550610
0,0,16153,29,29,2,0,13502
0,0,355891,244,244,2,0,353552
0,0,309384,109,109,2,0,306937
0,0,25495,52,52,2,0,22811
1,0,8691,197,197,2,0,6085
0,0,200907,151,151,2,0,198367
1,0,15222,213,213,2,0,12538
0,0,867065,115,115,2,0,864531
1,0,1966199,102,102,2,0,1963551
0,0,557682,143,143,2,0,555076
0,0,1024944,232,232,2,0,1022305
0,0,556640,254,254,2,0,553878
0,0,1176004,166,166,2,0,1173581
1,0,156435,33,33,3,0,153649
1,0,447956,178,178,2,0,445458
0,0,735391,127,127,2,0,733043
0,0,1102343,226,226,2,0,1099539
0,0,1314205,91,91,2,0,1311887
1,0,1034195,210,210,2,0,1031508
1,0,650434,39,39,3,0,647633
1,0,1800605,107,107,2,0,1797939
0,0,187941,231,231,2,0,185287
0,0,17633,20,20,1,1,14982
0,0,4209,120,120,2,0,1423
0,0,198843,126,126,2,0,196225
0,0,1065877,200,200,2,0,1063010
0,0,432191,134,134,2,0,429708
0,0,536061,258,258,2,0,533287
1,0,568671,174,174,2,0,566338
0,0,1123469,221,221,1,1,1120611
0,0,443238,158,158,2,0,440629
0,0,422008,202,202,2,0,419294
1,0,125047,38,38,2,0,122324
1,0,50888,153,153,2,0,48174
0,0,107074,256,256,1,1,104540
0,0,622377,41,41,2,0,620053
0,0,404953,162,162,2,0,402317
1,0,352788,251,251,2,0,350182
0,0,185153,22,22,2,0,182502
0,0,389747,165,165,1,1,387120
1,0,373899,27,27,2,0,371611
0,0,475012,141,141,2,0,472298
0,0,7162,18,18,2,0,4697
0,0,378614,164,164,2,0,375975
1,0,23290,218,218,2,0,20606
0,0,9867,62,62,2,0,7462
0,0,473501,203,203,3,0,470631
0,0,1713823,7,7,2,0,1711409
0,0,381075,237,237,2,0,378301
0,0,14845,49,49,3,0,11996
0,0,8092,214,214,2,0,5759
1,0,13979,199,199,1,1,11352
0,0,1053239,111,111,2,0,1050549
0,0,15062,87,87,2,0,12438
1,0,1100880,196,196,1,1,1098211
1,0,8115,173,173,3,0,5269
1,0,379418,171,171,2,0,376740
1,0,2047179,186,186,2,0,2044399
1,0,665447,75,75,3,0,662586
0,0,519004,253,253,2,0,516413
0,0,1324430,90,90,2,0,1322082
0,0,1156973,235,235,2,0,1154469
1,0,9580,198,198,1,1,6749
0,0,428427,89,89,3,0,425755
1,0,1096585,234,234,2,0,1093946
0,0,810651,170,170,2,0,808318
0,0,12594,152,152,2,0,9967
1,0,9089,217,217,2,0,6579
0,0,45075,123,123,1,1,42286
1,0,1611964,99,99,1,1,1609262
0,0,1828534,106,106,2,0,1825916
1,0,483376,96,96,2,0,480707
0,0,1865809,104,104,2,0,1862957
0,0,139709,255,255,2,0,138117
0,0,404584,117,117,2,0,402206
0,0,1731005,192,192,3,0,1728183
1,0,2060220,185,185,2,0,2057611
0,0,255561,16,16,1,1,253126
1,0,12158,10,10,2,0,9363
0,0,21771,85,85,2,0,19363
0,0,506933,17,17,3,0,504105
0,0,465591,163,163,2,0,462814
1,0,292921,245,245,2,0,290183
0,0,579976,259,259,2,0,577358
1,0,16377,145,145,2,0,13513
1,0,199898,35,35,1,1,197364
0,0,1633076,188,188,1,1,1630521
0,0,602587,42,42,2,0,600077
0,0,768058,77,77,2,0,765323
1,0,1129346,169,169,2,0,1126764
0,0,20976,59,59,2,0,18310
0,0,5331,150,150,2,0,2932
1,0,204433,64,64,2,0,201761
0,0,1825289,189,189,2,0,1822929
0,0,700388,14,14,2,0,697620
1,0,6553,119,119,2,0,4166
0,0,1169591,223,223,3,0,1166769
1,0,13678,156,156,2,0,10931
1,0,565683,139,139,2,0,563344
0,0,262330,243,243,2,0,259847
0,0,1251196,182,182,2,0,1248512
1,0,1015945,209,209,2,0,1013150
1,0,1147282,168,168,2,0,1144757
1,0,721934,76,76,2,0,719244
0,0,1582479,187,187,1,1,1579936
1,0,237391,72,72,2,0,234584
1,0,218715,57,57,2,0,215884
0,0,11062,4,4,2,0,8450
1,0,1570228,98,98,4,0,1568267
0,0,308185,67,67,1,1,306188
0,0,561205,47,47,2,0,558770
0,0,410579,135,135,2,0,407808
0,0,57145,58,58,3,0,54284
0,0,849988,206,206,2,0,847319
1,0,456596,15,15,2,0,453903
1,0,60414,227,227,2,0,57859
1,0,1007699,207,207,2,0,1005114
1,0,7898,9,9,2,0,5274
0,0,245264,50,50,2,0,242583
0,0,4732,122,122,2,0,2051
0,0,21506,60,60,2,0,18858
1,0,23129,125,125,3,0,20358
0,0,472189,71,71,2,0,469499
0,0,1014233,133,133,1,1,1011738
0,0,34218,61,61,2,0,31414
1,0,2102129,101,101,2,0,2099463
1,0,82609,137,137,3,0,79808
0,0,1317329,97,97,2,0,1314768
1,0,396615,252,252,1,1,394090
1,0,585607,83,83,2,0,583331
1,0,10603,6,6,3,0,7772
1,0,460231,148,148,2,0,457457
0,0,276688,211,211,1,1,274223
1,0,187696,249,249,2,0,185057
1,0,10893,92,92,2,0,8359
1,0,4709,30,30,2,0,2067
0,0,119436,257,257,2,0,116878
1,0,14331,230,230,2,0,11776
1,0,1650945,11,11,2,0,1648582
0,0,7054,121,121,2,0,4541
0,0,476059,149,149,1,1,473501
1,0,3590,212,212,2,0,942
0,0,1816759,191,191,2,0,1814429
1,0,2010450,108,108,2,0,2008033
1,0,529696,177,177,2,0,526820
0,0,280853,65,65,2,0,278046
0,0,436968,246,246,1,1,434224
1,0,408724,138,138,1,1,406415
0,0,1036042,116,116,2,0,1033382
0,0,25731,8,8,3,0,22858
0,0,35248,53,53,2,0,32438
1,0,2099,2,2,4,0,3
0,0,903444,114,114,1,1,900637
1,0,559805,147,147,1,1,557001
1,0,2171498,184,184,2,0,2169063
0,0,817323,79,79,2,0,814468
1,0,35322,193,193,2,0,32611
0,0,585177,205,205,3,0,582301
1,0,41459,219,219,3,0,38613
0,0,584285,176,176,0,0,581721
0,0,421319,161,161,2,0,418704
0,0,16042,110,110,3,0,13142
1,0,629809,112,112,3,0,627020
1,0,620072,45,45,2,0,617640
1,0,86749,154,154,1,1,84020
0,0,1115182,220,220,2,0,1112378
0,0,546370,48,48,2,0,543824
0,0,22835,146,146,2,0,20457
0,0,65602,23,23,2,0,62846
0,0,321121,172,172,2,0,318503
1,0,3099,86,86,2,0,313
1,0,2201057,56,56,2,0,2198634
0,0,1882048,103,103,1,1,1879670
0,0,2065088,100,100,1,1,2062416
1,0,8030,144,144,2,0,5538
1,0,54570,26,26,3,0,51787
1,0,12466,229,229,2,0,9926
0,0,1745786,12,12,2,0,1743231
0,0,1189938,225,225,2,0,1187140
1,0,596823,95,95,2,0,594229
1,0,565358,84,84,2,0,563163
1,0,935144,130,130,2,0,932427
1,0,7331,93,93,3,0,4482
1,0,167573,36,36,3,0,164778
1,0,191757,113,113,2,0,188965
1,0,344245,13,13,2,0,341906
1,0,205713,248,248,2,0,202903
0,0,546874,142,142,2,0,544250
0,0,1851640,105,105,2,0,1848668
0,0,468388,69,69,3,0,465485
0,0,14547,19,19,2,0,12235
0,0,425184,136,136,2,0,422410
1,0,249052,73,73,2,0,246272
0,0,7271,21,21,2,0,4884
0,0,3982,1,1,2,0,1541
1,0,21057,155,155,2,0,18763
0,0,399549,238,238,2,0,396772
0,0,11601,40,40,2,0,9187
1,0,175571,94,94,2,0,172800
