SportType,StageDistanceKm,ProCyclingStatsRaceId,StartLocation,StageType,StageDate,RaceEvent,NextStage,StageWinner,PreviousStage,StageNumber,StageDescription
1,89.0,210021.0,60,3,46,18,35,9,35,19,2
1,180.0,,35,3,63,29,59,31,56,6,2
1,188.3,170999.0,38,3,18,12,21,1,20,3,2
1,20.3,,32,1,26,17,32,14,32,3,12
1,203.1,255570.0,12,3,55,26,51,0,48,3,2
0,3.95,163662.0,30,5,12,7,72,15,65,0,2
1,31.0,181552.0,61,1,37,15,29,48,28,20,8
1,161.0,279164.0,48,2,76,31,65,13,60,18,2
1,162.5,163719.0,29,3,14,6,11,40,10,7,2
1,161.3,255764.0,65,3,57,25,49,28,46,4,2
0,6.1,163630.0,17,5,11,5,10,27,65,0,2
1,239.0,,22,0,27,14,23,33,23,3,4
1,12.2,270408.0,4,1,70,27,52,23,49,2,2
1,221.5,,62,0,2,2,3,5,3,6,2
1,35.0,279155.0,64,1,73,31,62,34,62,9,2
1,38.4,,7,1,10,3,71,48,9,9,2
1,10.1,247150.0,63,1,52,22,71,12,43,8,2
1,181.0,247150.0,51,0,51,22,44,24,42,7,2
1,158.5,181541.0,3,3,33,15,25,20,30,10,8
1,212.5,171069.0,69,0,23,11,19,32,18,3,6
1,4.02,181008.0,24,5,29,16,73,27,65,0,9
1,181.0,181536.0,10,0,32,15,30,6,29,6,8
1,,,70,6,5,4,5,50,5,3,2
1,203.0,279162.0,56,3,75,31,64,19,59,16,2
1,201.5,,46,0,1,2,2,49,2,4,2
1,181.0,171029.0,15,3,19,9,14,16,12,4,2
1,165.1,268344.0,11,3,67,28,54,44,50,12,2
1,10.05,170994.0,63,1,17,10,71,37,17,7,2
1,15.1,247208.0,39,1,53,21,40,36,65,1,7
1,16.8,163710.0,18,1,13,8,12,15,11,8,2
1,209.0,170992.0,54,2,16,10,17,32,16,5,2
1,117.3,,52,2,9,3,9,32,8,3,2
1,160.5,171071.0,71,2,24,11,20,11,19,5,6
1,65.0,181549.0,5,3,36,15,28,30,27,17,8
1,,,66,0,6,4,6,35,6,4,2
1,176.3,268338.0,68,3,65,28,57,41,53,7,2
1,,,32,0,4,4,4,14,4,2,2
1,194.0,247147.0,67,3,49,22,42,22,40,4,2
1,108.5,181542.0,1,3,34,15,26,14,25,11,8
1,196.0,,2,3,64,29,60,42,57,7,2
1,59.5,210022.0,1,3,47,18,36,51,36,20,2
1,133.3,293155.0,45,2,79,33,70,46,65,1,2
1,185.0,210016.0,34,3,45,18,34,39,34,15,2
1,181.0,,16,3,30,13,22,20,21,4,5
1,160.5,210006.0,42,3,42,18,37,8,37,6,2
1,202.0,247148.0,47,3,50,22,43,39,41,5,2
1,129.0,,41,3,31,13,71,0,22,7,5
1,18.5,255569.0,6,1,54,26,50,37,47,2,2
1,16.85,209947.0,25,1,41,19,71,33,67,5,9
1,163.2,279333.0,33,2,78,32,69,18,64,11,11
1,192.9,268340.0,0,3,66,28,53,4,54,9,2
1,187.9,,57,3,25,17,31,29,31,2,3
1,11.2,209931.0,72,1,38,20,39,26,65,1,10
1,178.0,,14,0,28,14,24,0,24,5,0
1,16.6,279309.0,28,1,77,34,68,25,63,6,2
1,197.8,256320.0,10,0,60,24,47,20,65,1,2
1,171.04,256066.0,58,0,59,23,46,14,45,5,2
1,173.9,139127.0,26,0,3,1,1,45,1,6,1
1,74.6,279159.0,8,3,74,31,63,10,58,13,2
1,3.87,209942.0,44,5,39,19,74,17,65,0,9
1,217.0,247146.0,22,2,48,22,41,28,39,3,2
1,40.7,268353.0,31,1,69,28,56,52,52,20,2
1,175.5,181543.0,9,3,35,15,27,14,26,12,8
1,185.5,,37,4,0,0,0,47,0,2,2
1,5.1,,55,1,7,3,7,48,65,1,2
1,27.2,210014.0,50,1,44,18,33,20,33,13,2
1,39.8,171035.0,21,1,21,9,13,48,14,10,2
1,161.1,,55,2,8,3,8,21,7,2,2
1,171.0,170991.0,40,3,15,10,16,30,15,4,2
1,193.0,,2,2,62,29,58,2,55,5,2
1,19.6,279147.0,23,1,71,31,66,34,65,1,2
1,16.53,256065.0,20,1,58,23,45,3,44,4,2
1,7.5,268305.0,27,1,61,30,61,33,65,1,2
1,129.7,268350.0,59,3,68,28,55,41,51,17,2
1,217.0,171031.0,53,0,20,9,15,38,13,6,2
1,107.6,209946.0,36,3,40,19,75,33,66,4,9
1,4.05,255760.0,49,5,56,25,48,37,65,0,2
1,14.0,171067.0,19,1,22,11,18,14,65,1,6
1,218.0,279153.0,13,3,72,31,67,7,61,7,2
1,200.0,210008.0,43,0,43,18,38,43,38,8,2
