Entity_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,419867,28,28,0,33,419010,1
0,1404526,43,43,0,53,1403861,1
0,25097,61,61,0,25,24648,0
0,1771495,44,44,0,13,1771046,0
0,334491,37,37,0,50,333733,1
0,2126663,22,22,0,34,2125983,1
0,106626,2,2,0,49,106183,0
0,1500372,20,20,0,7,1500022,0
0,1589372,23,23,0,34,1589025,1
0,187539,4,4,0,17,186739,0
0,249755,31,31,0,2,248955,0
0,18478,13,13,0,25,17702,0
0,455384,88,88,0,48,454782,0
0,582312,0,0,0,5,581629,1
0,2189977,80,80,0,21,2189303,1
0,249191,30,30,0,27,247920,0
0,192020,68,68,0,28,191304,0
0,360949,36,36,0,30,360191,1
0,5270,60,60,0,25,4815,1
0,1188592,74,74,0,7,1187834,1
0,541726,15,15,0,25,540743,1
0,260224,51,51,0,52,259535,1
0,1795788,47,47,0,10,1795339,1
0,1266329,78,78,0,38,1265664,0
0,229245,104,104,0,36,228751,0
0,439937,91,91,0,3,439305,0
0,47774,63,63,0,25,46746,0
0,215252,107,107,0,8,214692,0
0,2006097,82,82,0,9,2005645,0
0,241884,25,25,0,35,241294,0
0,404244,65,65,0,51,403621,1
1,187858,11,11,1,39,187097,0
0,1335494,33,33,0,32,1334871,1
0,407069,57,57,0,36,406629,0
0,190450,99,99,0,44,190100,0
0,1379076,72,72,0,6,1378327,1
0,19040,54,54,0,25,18594,0
0,1249825,35,35,0,34,1249373,1
0,873951,9,9,0,12,873346,0
0,491545,93,93,0,3,490745,1
0,447197,92,92,0,17,446745,1
0,1327169,34,34,0,7,1326369,0
1,311877,50,50,1,29,310678,0
0,508560,16,16,2,30,507559,1
0,1480543,79,79,0,1,1479323,1
0,1915099,46,46,0,10,1914353,1
0,2108845,48,48,0,7,2108303,1
0,24241,27,27,0,25,23690,0
0,369901,12,12,0,43,369557,1
0,533902,105,105,0,0,533237,1
0,1292754,32,32,0,7,1292116,0
0,17745,70,70,0,12,16912,1
1,509814,67,67,3,18,509014,0
0,58473,1,1,0,19,57784,0
0,1027295,100,100,0,31,1026840,0
1,374729,76,76,1,11,373830,1
0,258510,77,77,0,44,258202,0
0,976756,40,40,0,46,976091,1
0,3241,97,97,0,20,2789,0
0,2054734,8,8,0,32,2054069,1
0,469905,59,59,0,16,469240,0
0,293595,56,56,0,42,292942,0
0,21345,87,87,0,27,20596,0
0,533360,14,14,0,15,532377,1
0,1125325,75,75,0,6,1124525,1
0,1146722,86,86,0,15,1145835,1
0,30522,85,85,0,41,29761,1
0,1962152,45,45,0,21,1961658,1
0,2014286,49,49,0,41,2013333,1
0,985522,38,38,0,6,984710,1
0,535778,102,102,2,53,534804,1
0,574747,29,29,0,15,573722,0
0,981065,39,39,0,23,980400,1
0,548988,17,17,0,53,548008,1
0,972438,41,41,0,7,971773,1
0,2720,96,96,0,20,1839,0
0,522763,55,55,0,28,521789,1
1,1694721,6,6,1,14,1693825,1
0,434224,90,90,0,17,433772,0
0,25672,62,62,0,25,25139,0
0,835812,95,95,4,25,835600,0
0,1117094,98,98,0,40,1116687,0
0,6198,5,5,0,45,5503,1
0,614408,94,94,0,22,613791,1
0,213832,24,24,0,17,212933,1
0,1966887,83,83,0,30,1966264,0
0,3147,52,52,0,25,2389,1
0,121362,106,106,0,26,120919,0
0,386361,58,58,0,16,385708,0
0,166893,3,3,0,47,166510,1
0,16682,71,71,0,4,16377,1
0,203789,69,69,0,28,203085,0
0,1533448,18,18,0,7,1532690,0
0,1351182,73,73,0,50,1350433,1
0,1474,7,7,0,37,1025,1
0,430215,103,103,0,30,429457,1
0,26420,53,53,0,25,25257,1
0,1129040,101,101,0,10,1128585,1
0,390327,10,10,0,30,389875,1
0,2167272,81,81,0,9,2166841,1
0,4118,26,26,0,25,3549,0
0,45033,89,89,0,24,44497,0
0,576203,42,42,0,5,575301,1
0,930230,64,64,0,10,929781,1
0,1962116,84,84,0,32,1960989,0
0,561672,66,66,0,0,560914,1
0,989439,21,21,0,7,989029,1
0,1512529,19,19,0,30,1511897,1
