Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1330,9,9,9,67,2,0
0,30308,48,48,7,10,27168,1
1,56857,120,120,2,18,54575,1
0,1097,10,10,8,56,1,0
1,5564,34,34,2,34,2433,1
1,2735,75,75,2,61,246,1
1,929052,122,122,2,86,925927,0
0,52289,82,82,7,9,48939,1
0,581462,110,110,6,23,578019,0
0,212280,147,147,9,29,211864,0
1,38881,130,130,2,60,36347,0
0,297517,76,76,7,87,294389,0
1,81368,19,19,2,84,80808,1
0,720,140,140,9,26,1,1
1,742903,101,101,2,78,741965,0
1,28960,0,0,2,86,27503,1
0,429068,81,81,7,85,425925,0
1,118859,95,95,2,34,115842,1
1,69438,35,35,2,62,67273,0
0,6138,37,37,8,73,5206,0
0,315827,124,124,7,80,312663,0
0,639,65,65,9,68,1,1
1,99546,108,108,2,26,97369,0
1,32123,55,55,2,52,29739,1
0,48514,137,137,7,52,47612,1
1,3506,77,77,2,5,2283,1
0,116617,51,51,7,43,113450,0
0,541,43,43,3,1,26,0
0,4229,136,136,7,53,1371,1
0,33235,5,5,9,79,30782,1
0,763,7,7,1,24,5,0
1,767496,93,93,2,10,766105,0
0,567659,24,24,1,17,567123,0
1,99066,111,111,2,83,97825,1
0,318588,152,152,7,42,315535,0
0,1011,6,6,9,37,1,0
0,546,142,142,9,65,1,1
1,4884,47,47,2,73,1753,1
1,213521,148,148,2,52,212382,0
1,11203,39,39,2,58,8075,1
1,74545,150,150,2,70,72053,1
0,2066,18,18,9,85,3,1
0,704,12,12,4,15,18,1
0,81855,145,145,7,13,78709,1
1,341238,26,26,2,74,338959,1
1,306062,91,91,2,52,305283,0
0,300,98,98,8,24,1,0
1,99079,49,49,2,3,97820,1
0,35758,4,4,8,79,35156,1
0,33620,83,83,7,70,30504,1
0,521345,22,22,7,57,518232,0
0,54155,54,54,7,37,50976,1
0,48145,1,1,5,20,47690,1
0,1005,15,15,9,66,1,1
0,9252,126,126,9,81,7177,0
0,1242,14,14,8,33,3,0
1,573456,41,41,2,29,572590,0
0,632799,45,45,7,71,629461,0
1,53098,125,125,2,23,49949,1
0,1771,17,17,9,16,5,0
0,55385,128,128,7,55,52233,1
1,5181,104,104,2,88,4192,0
1,3425,117,117,2,69,855,1
0,765509,31,31,7,77,762384,0
0,716461,42,42,7,52,713525,0
0,153763,102,102,6,54,151067,1
0,307836,151,151,9,42,304756,0
0,227216,74,74,9,71,225387,0
0,43791,67,67,7,79,40663,1
1,100486,50,50,2,45,98009,0
0,975350,133,133,6,76,972864,1
1,1651,92,92,2,13,830,1
0,4790,123,123,7,19,1644,1
0,30678,113,113,8,41,29548,1
0,642289,106,106,7,49,639173,0
0,40231,109,109,8,14,38468,1
0,1291,11,11,9,92,11,1
1,694715,132,132,2,32,691713,0
0,5115,52,52,6,36,2545,1
1,5807,129,129,2,32,3882,1
1,762911,103,103,2,32,760413,0
0,100844,29,29,8,72,99663,0
1,506465,68,68,2,40,504186,1
1,1242856,78,78,2,50,1242191,1
1,57661,38,38,2,58,55166,1
1,824374,60,60,2,32,822413,0
1,672501,85,85,2,86,670264,0
0,484,139,139,9,61,2,1
0,7732,62,62,7,36,4595,0
0,506906,99,99,0,87,503742,0
1,96937,119,119,2,64,96035,1
0,3141,88,88,8,30,982,1
0,302755,57,57,9,42,301802,0
0,1289,8,8,9,91,3,0
1,492209,21,21,2,83,489726,0
0,703218,16,16,9,25,701626,0
1,7840,64,64,2,8,6842,1
1,383983,3,3,2,61,383429,1
1,6751,105,105,2,90,5450,0
0,304,127,127,8,82,2,0
0,40333,118,118,7,22,37199,1
0,6322,40,40,7,17,3197,1
1,673825,80,80,2,74,670661,0
1,201983,146,146,2,52,197949,0
1,232598,154,154,2,29,230508,0
1,46653,84,84,2,16,44743,1
1,789292,94,94,2,10,788021,0
1,714709,100,100,2,74,711560,0
0,11360,89,89,7,43,8184,1
0,11460,143,143,8,72,9091,1
0,772874,149,149,7,82,769737,0
1,341160,155,155,2,86,338881,1
0,135805,156,156,7,27,132644,0
0,326955,28,28,7,10,323962,0
1,4234,73,73,2,44,3116,1
1,371763,2,2,10,38,371065,1
0,562767,56,56,7,58,559651,0
1,676357,27,27,2,93,675068,0
0,4123,87,87,6,2,1628,1
0,24175,33,33,7,17,21059,1
1,8113,61,61,2,90,5945,0
0,696,114,114,8,81,1,0
1,552643,116,116,2,27,550361,1
0,225838,90,90,7,31,222980,0
0,46094,72,72,6,63,43491,1
0,296392,23,23,7,52,293633,0
1,36371,141,141,2,59,34218,1
0,220362,115,115,6,10,217744,0
1,532553,153,153,2,6,531252,0
0,34862,86,86,1,7,34431,1
1,638513,69,69,2,41,636579,0
1,685611,66,66,2,28,683131,0
0,9728,36,36,7,39,6585,0
0,5438,138,138,8,72,3198,1
0,13944,59,59,6,0,11467,1
