Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1662950,13,13,2,18,1661937,1
1,395492,78,78,2,9,394080,0
0,1957918,58,58,8,50,1956215,0
0,740372,22,22,9,23,739299,0
0,1356346,49,49,8,30,1354634,1
0,401051,45,45,0,1,400292,0
1,545819,21,21,24,26,544815,0
0,807440,73,73,17,37,806025,0
1,120630,14,14,24,48,119065,0
0,2350,5,5,13,6,965,0
0,183296,64,64,19,5,181743,1
0,96204,72,72,5,6,95182,1
1,2122182,2,2,2,13,2120788,1
1,440871,74,74,2,29,439477,0
1,373406,52,52,2,27,371496,1
0,276965,34,34,14,12,276033,1
0,2133734,56,56,1,0,2133172,1
1,1720929,30,30,24,2,1719919,0
0,802557,80,80,16,28,801154,0
1,464293,19,19,2,46,462872,1
1,461547,47,47,2,41,460189,0
0,406809,79,79,11,19,405529,0
0,432759,18,18,22,8,431323,0
0,488962,26,26,1,42,488378,0
1,603942,61,61,2,26,602953,1
0,649350,3,3,10,25,647746,1
0,1053526,27,27,18,14,1052240,1
0,434782,75,75,10,35,433358,0
1,587224,82,82,2,15,585836,0
1,6897,4,4,24,22,5479,0
0,421131,41,41,10,16,419701,0
1,1480218,11,11,2,53,1478512,1
1,1111176,70,70,24,15,1109698,0
0,168069,0,0,12,9,166519,0
1,413826,42,42,2,29,412408,0
1,5338,44,44,24,24,4406,1
1,472830,46,46,2,41,471442,0
1,190053,63,63,2,14,189334,0
0,489416,6,6,0,42,489063,0
0,3277,17,17,21,32,1805,0
0,375903,7,7,6,4,374896,1
0,445437,43,43,11,11,444157,0
1,401095,20,20,2,3,399644,0
0,5790,24,24,17,34,4375,1
1,17774,67,67,2,45,16488,1
0,1623870,29,29,10,43,1622425,0
0,1178108,71,71,18,3,1176633,0
0,1206373,51,51,0,11,1204937,0
0,915863,36,36,1,23,915636,0
0,10843,65,65,0,49,9875,1
0,2077637,31,31,10,39,2076276,0
0,161,66,66,1,38,3,1
0,4346,59,59,20,7,2898,0
1,411951,37,37,2,30,410611,0
1,1613551,57,57,2,24,1612028,0
1,486119,28,28,24,15,484647,1
0,21672,12,12,0,21,20227,1
0,848504,1,1,10,26,847224,1
0,1885991,15,15,12,30,1884423,1
0,224155,35,35,20,51,222680,1
0,42175,60,60,20,45,40730,0
0,1861827,33,33,13,10,1860490,0
1,2138530,55,55,2,24,2137184,1
1,6645,69,69,2,20,5179,1
1,21584,9,9,2,47,19890,1
0,452391,23,23,19,16,450994,0
0,129767,81,81,15,33,128835,0
0,1181813,54,54,0,44,1181490,1
0,384182,76,76,4,13,382887,0
0,407538,25,25,0,31,407386,1
0,406516,40,40,10,13,405110,0
1,19699,10,10,2,17,17999,0
1,1461,39,39,2,36,1,0
0,1673448,16,16,6,30,1672462,0
0,56906,8,8,19,52,55425,1
1,5370,62,62,2,45,3925,0
1,377047,77,77,2,40,375671,0
0,1876953,32,32,21,0,1875676,0
0,1345315,50,50,3,30,1343381,1
1,385849,48,48,2,41,384458,0
0,18574,38,38,1,8,17966,0
0,1142020,53,53,23,43,1140743,0
0,39044,68,68,7,9,37485,1
