StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
0,72,313057,145,0,15,312338
1,28,81801,39,0,45,80905
1,86,15410,226,1,38,14340
1,36,2151652,65,0,20,2150759
1,15,749937,92,0,14,749176
1,53,1088191,237,0,19,1087412
1,4,432941,203,1,14,432381
1,21,497744,120,1,15,496932
1,88,33929,166,0,2,32910
1,73,1227756,105,0,20,1227118
1,88,652441,51,1,8,651695
0,42,402463,84,0,5,401243
0,28,18040,107,0,58,16886
1,65,394684,22,0,14,394031
1,56,1098996,238,0,19,1097833
1,56,663709,103,0,19,662936
0,75,738,2,0,23,1
1,0,12258,153,0,69,11053
0,61,2162466,64,0,20,2161639
1,3,937169,156,1,19,936387
1,14,269718,147,1,20,269074
1,9,946792,5,0,14,945539
1,87,4632,135,0,32,3406
1,84,563168,88,1,14,561921
1,44,477748,119,1,15,476525
0,61,731234,55,0,20,730422
0,28,1832,59,0,47,591
0,25,217780,244,0,5,216641
1,20,1034038,239,0,19,1032938
0,84,779639,93,1,14,778437
0,38,10709,218,1,78,9531
0,40,23056,192,0,74,22262
1,4,667923,91,1,14,666610
0,7,497406,33,1,4,496306
1,39,365512,35,0,4,364310
0,28,9985,149,0,66,9303
0,2,4174,28,1,42,2966
0,9,1057942,131,0,14,1056725
0,58,589228,206,0,14,588062
1,0,26139,26,0,42,25351
1,26,182780,41,1,12,181743
0,51,196658,242,0,5,195561
0,65,387281,10,0,14,386064
0,3,1887968,127,1,19,1886823
1,28,1860,160,0,70,1114
0,9,581117,205,0,14,580287
0,72,386514,172,0,15,385279
1,58,599280,204,0,14,598465
0,56,745129,159,1,9,744176
0,61,1422032,54,0,20,1421220
1,13,1921338,125,1,19,1920505
0,95,13702,25,1,41,12743
0,72,1173402,230,0,15,1172566
0,81,210588,243,0,5,209491
0,79,17599,76,1,51,16553
0,65,1049347,132,0,14,1048619
0,29,358168,101,0,19,357524
0,80,1247221,177,1,18,1246121
0,9,878597,141,0,14,877761
0,28,18090,95,0,53,17131
0,79,1778534,129,0,19,1777443
0,72,1193619,231,0,15,1192936
1,101,5205,96,1,54,4201
1,55,2202990,63,0,20,2202343
0,96,153559,234,0,80,152606
0,92,4472,216,0,76,3321
1,55,975187,116,0,20,974237
0,55,1745136,191,0,20,1744339
1,1,27009,44,1,28,25858
0,95,38006,197,0,75,37197
1,69,1147481,174,0,18,1146423
1,33,226729,42,0,12,226322
0,70,76658,38,1,45,76494
1,55,983808,114,0,20,982858
0,97,914563,155,0,19,913814
0,72,400728,173,0,15,399566
1,73,979496,115,0,20,978543
1,44,493669,121,1,15,492404
1,94,3831,167,1,73,3070
0,68,3587,161,1,71,2544
1,28,10011,37,0,44,9199
1,73,1447013,53,0,20,1446237
0,83,36547,223,0,37,35690
1,89,531335,170,0,1,530982
0,72,462427,171,0,15,461594
1,36,1905082,66,0,20,1904309
0,55,1474427,52,0,20,1473666
0,59,1098330,232,0,15,1097515
1,2,15525,109,0,31,14710
1,11,2102,111,1,59,1101
0,50,1062126,196,0,16,1060936
0,9,705599,90,0,14,704769
1,6,77581,7,0,8,76523
0,9,837722,210,0,14,837087
1,45,1677,74,0,49,712
0,72,272963,214,0,15,272211
0,17,11639,198,1,75,10170
1,29,2187940,183,0,19,2187290
0,100,1471918,180,0,18,1470884
1,28,2879,133,0,62,2091
0,60,12102,220,0,35,11231
1,4,551759,86,1,14,550737
1,23,9906,4,0,24,8728
0,9,863354,140,0,14,862533
0,5,2640,168,1,33,1327
1,13,2049687,186,1,19,2048413
0,39,384191,36,0,4,383100
1,54,323886,158,0,11,323095
0,90,571633,47,0,7,570836
0,14,663114,16,1,20,662260
1,24,826530,12,0,19,825718
0,0,31139,60,0,48,29922
0,18,1229889,176,0,18,1228786
0,80,1218003,106,0,20,1217665
0,4,290434,79,1,14,289571
1,6,1022329,213,0,14,1021526
1,57,36628,45,0,28,35402
1,98,987733,113,0,20,987176
0,83,31870,222,0,37,31118
1,26,295086,99,1,12,293887
1,65,941707,6,0,14,940901
0,64,2901,221,1,36,1762
0,49,1588977,122,0,18,1588012
0,62,644758,118,0,6,643769
1,91,17814,235,0,80,16873
1,97,750678,154,0,19,750031
0,53,335,9,0,25,3
1,66,7239,181,1,0,5971
0,41,41030,151,1,68,39978
0,0,19059,165,0,72,18244
1,4,1152958,194,1,14,1151783
0,73,1694274,67,0,20,1693627
1,35,2521,108,1,58,1283
0,72,247509,144,0,15,246700
0,98,684782,56,0,20,683826
0,9,1070767,195,0,14,1069991
0,26,137805,157,1,12,136807
1,9,461022,201,0,14,460051
0,47,1577124,188,0,19,1576114
1,0,11189,49,0,46,10047
1,71,13960,13,1,26,13361
0,0,39296,61,0,48,38151
1,6,375903,34,0,4,374896
0,92,12268,236,0,81,10958
1,80,2029082,20,0,20,2027874
0,28,13009,152,0,68,11804
0,90,550504,48,0,7,549704
1,34,11743,224,0,37,10985
0,35,556235,169,1,1,555144
0,72,1148502,228,0,15,1147669
0,76,381597,14,1,10,380962
1,19,9178,73,0,29,8375
0,49,2155792,184,0,19,2155145
0,48,41345,77,1,30,40839
0,74,29968,163,1,72,28721
0,100,1648331,123,0,18,1647294
0,65,492438,202,0,14,491209
0,99,37518,30,0,27,36670
1,100,1522877,179,0,18,1521903
1,48,178084,110,0,17,176870
0,84,15379,219,0,78,14528
0,82,77977,40,0,3,77144
0,6,617253,207,0,14,616495
1,28,3650,148,0,65,2478
1,9,537352,87,0,14,536177
1,61,35179,43,1,13,34406
1,28,614,50,0,46,222
1,97,1912694,126,0,19,1911738
1,26,287088,98,1,12,285889
0,59,1165493,229,0,15,1164663
1,28,37248,164,0,72,35989
1,54,55904,31,1,27,55386
1,56,1783506,128,0,19,1782673
0,25,432927,247,0,5,431740
1,28,13082,112,0,60,12327
0,93,320234,146,0,15,319014
1,4,827468,209,1,14,826311
0,28,28969,24,0,40,28568
1,77,3769,1,0,22,3023
0,103,5008,8,0,25,4142
1,33,227094,19,0,12,226831
0,0,14090,62,0,48,12945
1,14,1026,225,0,79,841
0,0,1863,102,0,57,1015
1,61,1989097,190,0,20,1988282
0,8,445921,18,1,4,445157
0,6,247162,11,0,14,246347
1,6,1018268,212,0,14,1017216
0,28,23025,134,0,63,22318
1,85,1675,215,0,34,854
0,102,26635,162,1,72,25832
1,61,2097143,189,0,20,2096334
0,29,2142542,185,0,19,2141583
0,31,392050,85,0,12,391007
1,63,19523,46,0,28,18321
0,55,1679298,70,0,20,1678525
0,0,10624,94,0,52,9845
0,46,255296,142,0,15,254511
0,9,305564,83,0,14,304740
0,27,486743,57,0,1,485586
0,6,277578,81,0,14,276769
0,65,822069,208,0,14,821287
0,39,177073,104,1,21,175745
1,52,265814,200,0,11,265029
0,28,18784,97,0,55,18002
1,9,992655,211,0,14,991897
0,9,297062,78,0,14,295851
1,37,13592,100,1,56,12324
1,0,30765,27,0,42,29968
