StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
1,3,12909,145,0,113,10807
0,125,6110,101,0,101,3849
0,133,477337,9,0,9,476408
0,41,477141,200,0,7,476586
0,93,16869,155,0,116,14662
1,16,4025,166,0,16,1761
1,14,20192,204,1,29,18165
1,125,3770,49,0,89,732
1,22,828777,110,1,48,827212
1,42,9061,54,1,74,6806
0,41,2776,158,0,117,509
1,30,211189,119,1,34,209180
1,48,7765,26,1,43,5519
1,1,3747,22,0,72,1363
0,55,555948,172,0,20,553549
0,71,487264,95,0,17,485114
0,7,763294,177,0,26,761027
0,38,1178466,118,0,44,1176085
1,36,53359,117,1,40,52601
0,73,471716,221,0,5,470270
1,24,45480,198,1,122,43330
0,41,609383,77,1,20,607077
0,2,5633,10,1,62,4134
0,113,813661,183,1,38,811541
0,58,243718,97,0,19,243449
1,31,56175,83,0,5,53914
1,82,120751,188,0,3,119534
0,64,14957,62,0,76,12933
0,29,356577,108,1,53,354673
0,21,371476,173,0,18,369323
1,56,50723,123,1,106,48507
0,98,611448,113,0,10,610807
1,62,67467,84,0,5,65254
1,86,1621,63,1,95,2
1,130,4679,116,0,40,2307
1,125,11646,126,0,107,9286
0,21,45278,102,0,18,42840
1,1,47037,179,0,120,44773
0,123,487691,27,0,18,485538
0,40,619207,207,1,9,617003
1,52,828692,196,0,49,827244
0,89,909033,29,1,40,906619
0,92,1062,3,0,71,1
1,63,15153,210,0,30,12949
1,25,96434,223,1,5,94266
1,61,65232,219,0,52,62692
0,21,710857,47,0,23,709519
1,101,76316,25,0,52,74154
0,67,799420,226,1,32,796943
1,125,7491,129,0,22,5182
1,125,2056,48,0,88,2
0,125,4947,43,0,86,2638
1,14,441740,92,1,29,439797
0,112,2326647,15,0,54,2325364
0,114,777368,225,1,32,775140
1,132,51771,235,1,36,49540
1,87,59089,38,0,57,56687
0,51,552888,220,1,15,550654
1,87,79561,120,0,57,77369
0,72,1451239,131,1,52,1449053
0,118,1009290,42,0,39,1006993
1,93,170211,125,1,50,168412
1,125,4516,52,0,91,3179
1,95,122003,230,1,11,119982
1,110,5046,160,0,118,2860
0,16,1375691,122,1,46,1373202
1,85,27070,143,0,16,24536
1,38,224206,203,1,35,222371
0,12,689616,80,1,54,687517
1,14,372955,231,1,29,370655
0,16,1204656,199,1,46,1202680
1,67,11060,144,1,32,8994
1,119,2096,148,1,114,747
0,125,1138,5,0,108,2
1,31,8253,104,1,42,6340
0,74,1189025,190,1,52,1186812
0,126,496899,103,1,1,495853
1,100,1474,14,0,31,101
0,133,1039862,75,0,38,1037046
1,50,20107,67,0,51,17801
1,46,14203,56,0,33,11819
1,3,391932,7,0,59,389746
0,79,3932,163,0,119,1401
0,69,915393,61,0,34,914149
0,91,682195,68,0,19,679628
0,40,457048,89,1,9,454787
0,34,580782,170,0,21,579763
