National_Library_Of_Israel_J9u_Id,Freebase_Id,Library_Of_Congress_Authority_Id,Commons_Category,Main_Category,Nl_Cr_Aut_Id,Quora_Topic_Id
9.870072649415052e+17,5,3,9,9,7,9
9.870075315095052e+17,11,12,8,8,11,8
9.870075548096051e+17,6,1,0,0,2,0
9.870075547915052e+17,3,8,11,11,1,11
9.870075548070052e+17,12,2,2,2,3,2
9.870075597778052e+17,0,10,5,5,5,5
9.870075354600051e+17,8,11,3,3,12,3
9.870075525332051e+17,7,0,4,4,4,4
9.870075609817052e+17,10,4,10,10,0,10
9.870075596548051e+17,2,5,7,7,10,7
9.870075617917052e+17,4,7,12,12,9,12
9.870075596513052e+17,9,6,1,1,8,1
9.870075525048051e+17,1,9,6,6,6,6
