EntityType,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,301826,243,243,2,0,86,31,299487,0
1,0,32772,96,96,1,1,115,4,29866,1
0,0,373899,28,28,2,0,26,5,371611,1
0,0,736453,79,79,3,0,70,23,733583,0
0,1,190552,80,80,2,0,50,21,188093,1
0,0,1516533,42,42,2,0,60,32,1514173,1
0,0,476728,161,161,2,0,104,15,474101,0
0,0,54199,31,31,2,0,45,58,51578,1
0,0,988200,209,209,2,0,34,23,985546,1
0,0,1062895,234,234,2,0,82,31,1060310,1
0,0,246580,87,87,2,0,6,19,243767,0
0,0,758419,45,45,2,0,21,22,756089,0
0,0,488327,205,205,3,0,22,23,485541,0
1,0,322020,237,237,1,1,90,19,319249,0
0,0,33755,26,26,2,0,54,44,30969,0
0,0,355891,245,245,2,0,115,6,353552,0
0,0,993191,43,43,2,0,60,32,990858,1
1,0,1150558,195,195,1,1,85,23,1147775,1
0,0,1152306,223,223,2,0,114,24,1149583,0
0,0,1161129,168,168,2,0,110,32,1158613,0
1,0,32977,217,217,1,1,113,85,30248,1
0,0,33431,25,25,2,0,95,55,30843,1
0,0,504459,247,247,2,0,109,12,501763,1
0,0,1757922,191,191,2,0,33,32,1755496,1
0,0,553480,176,176,3,0,64,1,550610,0
0,0,16153,29,29,2,0,45,56,13502,0
0,0,292921,246,246,2,0,118,6,290183,1
0,0,256062,181,181,2,0,120,5,253732,0
0,0,25495,51,51,2,0,95,61,22811,0
0,0,8691,198,198,2,0,29,78,6085,1
0,0,200907,151,151,2,0,48,11,198367,0
0,0,15222,214,214,2,0,8,82,12538,1
0,0,867065,115,115,2,0,70,23,864531,0
0,0,1966199,102,102,2,0,39,31,1963551,1
0,0,557682,143,143,2,0,104,15,555076,0
0,0,1024944,233,233,2,0,82,31,1022305,0
0,0,556640,254,254,2,0,94,7,553878,0
0,0,1176004,167,167,2,0,102,32,1173581,0
0,0,156435,33,33,3,0,82,19,153649,1
0,0,447956,179,179,2,0,63,24,445458,1
0,0,735391,127,127,2,0,72,31,733043,0
0,0,1102343,227,227,2,0,76,24,1099539,0
0,0,1314205,90,90,2,0,110,32,1311887,0
0,0,1034195,211,211,2,0,5,23,1031508,1
0,0,650434,38,38,3,0,37,14,647633,1
0,0,1800605,107,107,2,0,72,31,1797939,1
0,0,125132,81,81,2,0,46,4,122370,1
1,0,17633,21,21,1,1,63,53,14982,0
0,0,4209,120,120,2,0,66,69,1423,0
0,0,187941,232,232,2,0,36,5,185287,0
0,0,1065877,201,201,2,0,108,26,1063010,0
0,0,432191,134,134,2,0,17,16,429708,0
0,0,536061,258,258,2,0,84,15,533287,0
0,0,568671,175,175,2,0,2,32,566338,1
1,0,1123469,222,222,1,1,91,24,1120611,0
0,0,443238,159,159,2,0,103,15,440629,0
0,0,422008,203,203,2,0,32,17,419294,0
1,0,86749,154,154,1,1,67,3,84020,1
0,0,50888,153,153,2,0,51,20,48174,1
1,0,107074,256,256,1,1,71,2,104540,0
0,0,622377,40,40,2,0,10,31,620053,0
0,0,404953,163,163,2,0,84,15,402317,0
0,0,352788,251,251,2,0,108,18,350182,1
0,0,185153,23,23,2,0,129,27,182502,0
1,0,389747,166,166,1,1,127,15,387120,0
0,0,309384,109,109,2,0,120,5,306937,0
0,0,475012,141,141,2,0,112,7,472298,0
0,0,7162,19,19,2,0,45,51,4697,0
0,0,378614,165,165,2,0,84,15,375975,0
0,0,23290,219,219,2,0,72,50,20606,1
0,0,9867,61,61,2,0,95,63,7462,0
0,0,473501,204,204,3,0,121,23,470631,0
0,0,1713823,7,7,2,0,83,30,1711409,0
0,0,381075,238,238,2,0,17,16,378301,0
0,0,14845,48,48,3,0,50,60,11996,0
0,0,8092,215,215,2,0,43,83,5759,0
1,0,13979,200,200,1,1,0,80,11352,1
0,0,1053239,111,111,2,0,3,23,1050549,0
0,0,15062,86,86,2,0,45,66,12438,0
1,0,1100880,197,197,1,1,38,23,1098211,1
0,0,8115,174,174,3,0,44,49,5269,1
0,0,379418,172,172,2,0,51,34,376740,1
0,0,2047179,187,187,2,0,79,31,2044399,1
0,0,665447,74,74,3,0,22,23,662586,1
0,0,519004,253,253,2,0,73,7,516413,0
0,0,1324430,89,89,2,0,60,32,1322082,0
0,0,1156973,236,236,2,0,30,31,1154469,0
1,0,9580,199,199,1,1,37,79,6749,1
0,0,428427,88,88,3,0,81,20,425755,0
0,0,1096585,235,235,2,0,98,31,1093946,1
0,0,810651,171,171,2,0,123,22,808318,0
0,0,12594,152,152,2,0,45,76,9967,0
0,0,9089,218,218,2,0,23,85,6579,1
1,0,45075,123,123,1,1,25,72,42286,0
1,0,1611964,99,99,1,1,80,30,1609262,1
0,0,1828534,106,106,2,0,82,31,1825916,0
0,0,483376,95,95,2,0,105,24,480707,1
0,0,1865809,104,104,2,0,72,31,1862957,0
0,0,139709,255,255,2,0,87,1,138117,0
0,0,404584,117,117,2,0,89,22,402206,0
0,0,1731005,193,193,3,0,9,29,1728183,0
0,0,2060220,186,186,2,0,98,31,2057611,1
1,0,255561,17,17,1,1,38,23,253126,0
0,0,12158,10,10,2,0,53,43,9363,1
0,0,21771,84,84,2,0,45,64,19363,0
0,0,506933,18,18,3,0,70,23,504105,0
0,0,465591,164,164,2,0,111,15,462814,0
0,0,262330,244,244,2,0,81,6,259847,0
0,0,579976,259,259,2,0,84,15,577358,0
0,0,16377,145,145,2,0,45,74,13513,1
1,0,199898,35,35,1,1,90,19,197364,1
1,0,1633076,189,189,1,1,28,31,1630521,0
0,0,602587,41,41,2,0,82,31,600077,0
0,0,768058,76,76,2,0,70,23,765323,0
0,0,1129346,170,170,2,0,60,32,1126764,1
0,0,20976,58,58,2,0,10,46,18310,0
0,0,5331,150,150,2,0,95,75,2932,0
0,0,204433,63,63,2,0,44,14,201761,1
0,0,1825289,190,190,2,0,60,32,1822929,0
0,0,700388,14,14,2,0,104,15,697620,0
0,0,6553,119,119,2,0,61,68,4166,1
0,0,1169591,224,224,3,0,105,24,1166769,0
0,0,13678,157,157,2,0,16,3,10931,1
0,0,565683,139,139,2,0,115,6,563344,1
1,0,476059,149,149,1,1,101,5,473501,0
0,0,1251196,183,183,2,0,119,30,1248512,0
0,0,1015945,210,210,2,0,70,23,1013150,1
0,0,1147282,169,169,2,0,60,32,1144757,1
0,0,721934,75,75,2,0,34,23,719244,1
1,0,1582479,188,188,1,1,93,31,1579936,0
0,0,237391,71,71,2,0,20,9,234584,1
0,0,218715,56,56,2,0,69,17,215884,1
0,0,11062,4,4,2,0,35,39,8450,0
0,0,1570228,98,98,4,0,40,30,1568267,1
1,0,308185,66,66,1,1,85,23,306188,0
0,0,561205,46,46,2,0,117,8,558770,0
0,0,410579,135,135,2,0,17,16,407808,0
0,0,57145,57,57,3,0,88,46,54284,0
0,0,849988,207,207,2,0,78,23,847319,0
1,0,408107,16,16,1,1,23,5,405750,0
0,0,60414,228,228,2,0,13,87,57859,1
0,0,1007699,208,208,2,0,70,23,1005114,1
0,0,7898,9,9,2,0,62,42,5274,1
0,0,245264,49,49,2,0,2,0,242583,0
0,0,4732,122,122,2,0,95,71,2051,0
0,0,21506,59,59,2,0,95,62,18858,0
0,0,23129,125,125,3,0,95,73,20358,1
0,0,472189,70,70,2,0,48,18,469499,0
1,0,1014233,133,133,1,1,28,31,1011738,0
0,0,34218,60,60,2,0,95,62,31414,0
0,0,2102129,101,101,2,0,98,31,2099463,1
0,0,82609,137,137,3,0,41,19,79808,1
0,0,1317329,97,97,2,0,83,30,1314768,0
1,0,396615,252,252,1,1,11,18,394090,1
0,0,585607,82,82,2,0,118,6,583331,1
0,0,10603,6,6,3,0,1,40,7772,1
0,0,460231,148,148,2,0,24,13,457457,1
1,0,276688,212,212,1,1,93,24,274223,0
0,0,187696,249,249,2,0,15,9,185057,1
0,0,10893,91,91,2,0,58,33,8359,1
0,0,4709,30,30,2,0,50,57,2067,1
0,0,119436,257,257,2,0,14,2,116878,0
0,0,14331,231,231,2,0,24,88,11776,1
0,0,1650945,11,11,2,0,126,31,1648582,1
0,0,7054,121,121,2,0,50,70,4541,0
0,0,456596,15,15,2,0,36,5,453903,1
0,0,3590,213,213,2,0,29,82,942,1
0,0,1816759,192,192,2,0,110,32,1814429,0
0,0,2010450,108,108,2,0,111,32,2008033,1
0,0,529696,178,178,2,0,64,1,526820,1
0,0,280853,64,64,2,0,128,23,278046,0
0,0,423886,67,67,2,0,115,6,421607,1
